date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.13,76.95,27.67,28.06,27.41,-5.91,-1.63,6.15,74.6,17.76,2.75,101.06,101130.0,101060.0
2021-01-02,101.13,72.22,27.42,27.93,26.91,-4.59,-2.12,5.07,65.2,16.41,0.17,101.07,101130.0,101070.0
2021-01-03,101.04,76.49,27.43,27.99,26.72,-4.87,-2.13,5.36,66.4,17.41,0.15,100.97,101040.0,100970.0
2021-01-04,101.09,74.38,27.92,28.42,27.25,-4.24,-1.11,4.41,75.4,17.41,0.56,101.03,101090.0,101030.0
2021-01-05,101.11,75.05,28.05,28.49,27.47,-4.0,-1.42,4.29,70.5,17.71,0.82,101.04,101110.0,101040.0
2021-01-06,101.02,76.12,27.98,28.5,27.31,-3.77,-1.26,4.03,71.5,17.91,1.59,100.95,101020.0,100950.0
2021-01-07,100.91,75.2,28.14,28.72,27.61,-3.2,-2.33,3.98,53.9,17.88,0.25,100.84,100910.0,100840.0
2021-01-08,100.87,78.27,28.13,28.92,27.33,-4.61,-1.01,4.76,77.6,18.6,0.08,100.8,100870.0,100800.0
2021-01-09,100.91,78.0,28.37,29.0,27.77,-6.13,-0.49,6.24,85.4,18.8,0.47,100.84,100910.0,100840.0
2021-01-10,100.95,78.3,28.04,28.46,27.59,-5.76,-0.02,5.77,89.8,18.51,0.55,100.89,100950.0,100890.0
2021-01-11,101.07,75.13,28.07,28.77,27.43,-4.63,-0.96,4.8,78.3,17.75,0.22,101.01,101070.0,101010.0
2021-01-12,101.1,73.29,27.97,28.4,27.61,-5.5,-0.19,5.55,88.0,17.22,0.95,101.03,101100.0,101030.0
2021-01-13,101.13,72.27,27.44,27.8,26.86,-5.82,0.32,5.85,93.1,16.45,0.15,101.06,101130.0,101060.0
2021-01-14,101.11,71.0,27.34,28.0,26.67,-4.87,-1.44,5.14,73.5,16.06,0.0,101.04,101110.0,101040.0
2021-01-15,101.0,72.19,27.47,28.06,26.81,-4.44,-1.06,4.61,76.6,16.48,0.04,100.94,101000.0,100940.0
2021-01-16,100.95,71.59,27.47,28.12,26.82,-4.15,-2.22,4.72,61.8,16.34,0.2,100.89,100950.0,100890.0
2021-01-17,101.06,71.69,27.56,28.21,26.79,-4.74,-3.02,5.63,57.5,16.44,0.45,100.99,101060.0,100990.0
2021-01-18,101.07,74.66,28.14,28.78,27.41,-7.11,0.03,7.25,90.3,17.72,0.86,101.0,101070.0,101000.0
2021-01-19,101.09,73.6,27.63,28.32,27.05,-6.02,-0.39,6.05,86.3,16.94,0.15,101.02,101090.0,101020.0
2021-01-20,101.19,70.85,27.51,28.38,26.7,-4.22,-1.61,4.68,69.2,16.16,0.01,101.12,101190.0,101120.0
2021-01-21,101.18,63.63,27.13,27.92,26.25,-2.91,-3.11,4.34,43.1,14.17,0.0,101.12,101180.0,101120.0
2021-01-22,101.14,66.3,26.83,27.25,26.26,-2.16,-3.26,3.93,33.5,14.54,0.03,101.07,101140.0,101070.0
2021-01-23,101.09,65.23,27.16,27.98,26.29,-2.9,-2.84,4.08,45.5,14.57,0.04,101.03,101090.0,101030.0
2021-01-24,101.16,67.9,27.03,27.43,26.31,-3.02,-3.5,4.68,40.8,15.07,0.09,101.09,101160.0,101090.0
2021-01-25,101.18,63.28,27.04,27.67,26.4,-2.67,-3.59,4.53,36.7,14.04,0.01,101.11,101180.0,101110.0
2021-01-26,101.07,67.26,27.03,27.81,26.19,-1.88,-3.49,4.02,28.2,14.94,0.0,101.0,101070.0,101000.0
2021-01-27,101.05,75.89,27.42,28.16,26.49,-2.59,-2.61,3.73,44.7,17.27,0.54,100.98,101050.0,100980.0
2021-01-28,101.1,78.88,27.83,28.61,27.14,-3.98,-2.55,4.84,57.3,18.38,0.53,101.03,101100.0,101030.0
2021-01-29,101.14,79.38,27.77,28.22,27.16,-2.62,-1.95,3.34,53.3,18.42,1.09,101.07,101140.0,101070.0
2021-01-30,101.12,77.5,27.87,28.93,26.83,-3.35,-2.65,4.29,51.6,18.08,2.73,101.06,101120.0,101060.0
2021-01-31,101.19,77.09,27.74,28.47,26.94,-4.22,-1.41,4.49,71.5,17.84,0.68,101.12,101190.0,101120.0
2021-02-01,101.29,73.32,28.02,28.76,27.4,-4.77,-4.09,6.32,49.4,17.23,0.36,101.22,101290.0,101220.0
2021-02-02,101.27,72.33,27.72,28.82,26.86,-3.69,-4.72,6.01,38.0,16.69,0.0,101.21,101270.0,101210.0
2021-02-03,101.24,72.55,27.55,28.72,26.34,-2.67,-4.47,5.23,30.8,16.58,0.0,101.17,101240.0,101170.0
2021-02-04,101.22,75.44,27.86,28.98,26.64,-3.53,-2.95,4.65,50.1,17.56,0.11,101.16,101220.0,101160.0
2021-02-05,101.14,75.17,28.15,28.79,27.54,-4.37,-1.4,4.6,72.2,17.84,0.22,101.07,101140.0,101070.0
2021-02-06,101.05,75.19,27.95,28.78,27.19,-3.89,-1.01,4.07,75.5,17.63,0.17,100.98,101050.0,100980.0
2021-02-07,101.04,73.07,28.31,29.1,27.38,-2.84,-2.34,3.8,50.4,17.5,0.5,100.97,101040.0,100970.0
2021-02-08,101.1,77.82,27.4,28.02,26.75,-2.04,-5.03,5.43,22.0,17.68,2.01,101.03,101100.0,101030.0
2021-02-09,101.06,70.59,27.03,27.78,26.31,-1.22,-5.97,6.12,11.6,15.67,0.11,100.99,101060.0,100990.0
2021-02-10,101.03,59.63,27.12,28.5,25.56,-2.09,-3.34,4.04,32.0,13.21,0.0,100.97,101030.0,100970.0
2021-02-11,101.12,57.09,27.6,28.39,26.59,-1.72,-2.3,2.91,36.8,13.07,0.0,101.06,101120.0,101060.0
2021-02-12,101.15,71.91,27.82,28.67,26.87,-3.71,-2.37,4.41,57.4,16.72,1.14,101.09,101150.0,101090.0
2021-02-13,101.23,74.13,27.78,28.19,27.21,-2.59,-1.68,3.12,57.0,17.19,2.64,101.16,101230.0,101160.0
2021-02-14,101.19,74.78,27.79,28.42,27.03,-2.25,-1.87,2.95,50.3,17.36,6.01,101.12,101190.0,101120.0
2021-02-15,101.09,75.77,27.68,28.08,27.07,-1.77,-2.38,3.09,36.7,17.5,1.15,101.03,101090.0,101030.0
2021-02-16,101.06,73.27,27.76,28.7,26.88,-2.54,-3.77,4.55,33.9,16.98,0.11,100.99,101060.0,100990.0
2021-02-17,101.1,72.89,27.61,28.63,26.43,-2.98,-2.75,4.19,47.3,16.74,0.0,101.03,101100.0,101030.0
2021-02-18,101.19,76.62,27.98,28.56,27.14,-5.52,-0.72,5.66,82.5,18.0,1.06,101.13,101190.0,101130.0
2021-02-19,101.28,75.05,28.13,28.7,27.57,-7.02,0.52,7.16,94.2,17.76,1.78,101.21,101280.0,101210.0
2021-02-20,101.24,71.79,28.1,28.93,27.43,-7.25,-1.31,7.38,79.8,16.95,0.11,101.18,101240.0,101180.0
2021-02-21,101.2,70.84,28.09,28.87,27.37,-4.98,-2.17,5.46,66.5,16.73,0.14,101.13,101200.0,101130.0
2021-02-22,101.18,68.46,28.14,28.93,27.4,-3.79,-2.17,4.38,60.2,16.2,0.04,101.11,101180.0,101110.0
