date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.45,85.03,21.28,26.77,17.43,-3.23,-0.43,3.37,82.5,13.18,0.01,100.92,101450.0,100920.0
2021-01-02,101.43,84.74,20.46,26.71,15.82,-3.07,-0.59,3.2,79.1,12.55,0.0,100.91,101430.0,100910.0
2021-01-03,101.29,85.22,20.84,27.28,15.94,-2.76,-0.55,2.95,78.7,12.93,0.0,100.77,101290.0,100770.0
2021-01-04,101.29,85.72,21.32,27.25,15.7,-2.73,-0.54,2.88,78.8,13.5,0.0,100.77,101290.0,100770.0
2021-01-05,101.28,87.01,23.44,28.96,18.9,-2.88,-0.39,3.12,82.3,15.52,0.21,100.76,101280.0,100760.0
2021-01-06,101.22,89.7,23.46,26.84,21.12,-2.75,-0.64,2.91,76.8,16.09,0.08,100.7,101220.0,100700.0
2021-01-07,101.06,85.59,23.75,28.88,20.29,-2.71,-0.29,2.89,83.9,15.46,0.0,100.54,101060.0,100540.0
2021-01-08,101.03,84.38,23.71,29.24,20.03,-3.07,0.08,3.14,91.6,15.28,0.01,100.51,101030.0,100510.0
2021-01-09,101.1,83.09,22.9,29.01,18.02,-3.12,0.13,3.2,92.3,14.25,0.0,100.58,101100.0,100580.0
2021-01-10,101.15,81.0,23.59,29.63,19.52,-2.49,-0.57,2.79,77.1,14.33,0.0,100.63,101150.0,100630.0
2021-01-11,101.24,82.71,23.79,29.91,18.33,-2.24,-0.3,2.51,82.5,14.94,0.0,100.72,101240.0,100720.0
2021-01-12,101.29,83.11,23.93,29.9,19.1,-2.35,-0.1,2.6,87.6,15.13,0.0,100.77,101290.0,100770.0
2021-01-13,101.26,81.74,24.48,30.28,19.61,-1.79,-0.08,2.23,87.5,15.38,0.0,100.74,101260.0,100740.0
2021-01-14,101.21,79.17,24.21,29.84,20.23,-1.29,-0.14,1.92,83.6,14.49,0.0,100.69,101210.0,100690.0
2021-01-15,101.18,80.85,24.08,29.93,20.28,-1.0,0.9,1.54,132.2,14.71,0.0,100.65,101180.0,100650.0
2021-01-16,101.07,79.21,24.27,30.23,19.7,-1.06,1.15,1.84,137.2,14.6,0.0,100.54,101070.0,100540.0
2021-01-17,101.22,78.94,23.75,29.49,19.49,-1.51,1.04,2.33,124.4,14.11,0.0,100.69,101220.0,100690.0
2021-01-18,101.33,82.45,23.58,28.6,19.52,-2.27,0.67,2.44,106.5,14.64,0.0,100.8,101330.0,100800.0
2021-01-19,101.27,75.15,24.01,29.7,19.41,-1.06,0.48,1.43,114.3,13.56,0.0,100.74,101270.0,100740.0
2021-01-20,101.26,71.71,23.95,30.58,18.17,0.01,0.73,1.23,180.7,12.74,0.0,100.73,101260.0,100730.0
2021-01-21,101.16,73.23,24.42,31.47,18.07,0.25,1.15,1.6,192.2,13.37,0.0,100.64,101160.0,100640.0
2021-01-22,101.2,79.54,24.37,30.59,19.11,-1.27,0.42,2.11,108.4,14.68,0.0,100.68,101200.0,100680.0
2021-01-23,101.22,78.42,24.46,30.65,19.93,-1.17,1.0,1.71,130.5,14.48,0.0,100.7,101220.0,100700.0
2021-01-24,101.28,73.98,24.25,30.91,18.62,0.2,1.54,1.78,187.4,13.33,0.0,100.76,101280.0,100760.0
2021-01-25,101.31,74.11,24.41,31.71,18.9,-0.17,2.01,2.17,175.1,13.47,0.0,100.79,101310.0,100790.0
2021-01-26,101.26,74.44,24.33,31.61,18.66,-0.48,1.88,2.29,165.7,13.4,0.0,100.74,101260.0,100740.0
2021-01-27,101.31,76.49,24.44,30.91,19.21,-1.01,2.08,2.58,154.2,14.07,0.0,100.79,101310.0,100790.0
2021-01-28,101.38,77.25,24.63,30.82,20.25,-2.0,1.46,2.54,126.2,14.4,0.01,100.86,101380.0,100860.0
2021-01-29,101.4,76.16,25.16,31.39,20.6,-1.6,1.47,2.31,132.6,14.52,0.0,100.88,101400.0,100880.0
2021-01-30,101.33,73.9,25.38,31.75,20.9,-1.34,1.08,1.96,128.9,14.24,0.0,100.8,101330.0,100800.0
2021-01-31,101.43,73.9,25.2,31.49,20.69,-1.74,0.4,2.11,102.8,14.11,0.31,100.9,101430.0,100900.0
2021-02-01,101.61,76.02,24.33,30.51,19.66,-2.77,-0.08,2.92,88.4,13.81,0.08,101.09,101610.0,101090.0
2021-02-02,101.6,73.78,24.05,30.71,19.44,-2.17,0.08,2.47,92.0,13.12,0.02,101.07,101600.0,101070.0
2021-02-03,101.53,66.57,23.74,31.02,18.37,-1.81,0.87,2.26,115.7,11.38,0.0,101.0,101530.0,101000.0
2021-02-04,101.52,66.14,23.71,31.1,18.94,-1.73,1.33,2.33,127.5,11.28,0.0,100.99,101520.0,100990.0
2021-02-05,101.39,64.37,23.54,31.21,18.17,-1.67,0.88,2.15,117.9,10.79,0.0,100.86,101390.0,100860.0
2021-02-06,101.31,64.2,23.85,31.92,17.83,-1.6,0.37,2.18,102.9,10.91,0.0,100.78,101310.0,100780.0
2021-02-07,101.38,62.7,24.11,31.95,18.63,-1.41,-0.85,2.33,58.7,10.88,0.0,100.85,101380.0,100850.0
2021-02-08,101.47,70.66,23.82,31.58,17.57,-2.41,0.41,2.72,99.7,12.11,0.0,100.95,101470.0,100950.0
2021-02-09,101.39,68.2,24.16,31.83,18.89,-1.64,0.62,2.11,110.5,11.92,0.0,100.87,101390.0,100870.0
2021-02-10,101.25,64.38,24.46,32.83,18.88,-1.26,1.21,1.85,133.8,11.3,0.0,100.73,101250.0,100730.0
2021-02-11,101.21,67.1,24.3,32.42,18.22,-1.98,1.83,2.8,132.8,11.78,0.0,100.69,101210.0,100690.0
2021-02-12,101.3,64.51,24.4,32.39,18.93,-1.56,2.0,2.58,142.1,11.35,0.0,100.78,101300.0,100780.0
2021-02-13,101.36,63.48,24.61,33.01,18.57,-1.73,1.93,2.68,138.2,11.32,0.0,100.84,101360.0,100840.0
