date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.49,71.73,15.64,21.84,10.56,-0.43,-1.31,1.59,18.2,8.16,0.0,96.23,101490.0,96230.0
2021-01-02,101.48,74.45,15.38,20.8,10.84,-0.7,-1.07,1.66,33.0,8.39,0.0,96.21,101480.0,96210.0
2021-01-03,101.33,77.75,15.82,21.84,12.05,-0.71,-1.41,1.81,26.9,8.99,0.0,96.1,101330.0,96100.0
2021-01-04,101.38,79.6,15.57,21.81,11.05,-1.02,-1.66,2.28,31.7,9.05,0.0,96.16,101380.0,96160.0
2021-01-05,101.35,78.07,16.26,22.23,11.77,-0.83,-1.41,2.01,30.6,9.27,0.0,96.14,101350.0,96140.0
2021-01-06,101.15,75.29,17.43,22.64,12.82,-0.38,-0.84,1.55,24.2,9.71,0.0,95.92,101150.0,95920.0
2021-01-07,101.13,81.9,16.99,21.28,14.14,-0.6,-0.44,1.24,53.8,10.31,0.0,95.88,101130.0,95880.0
2021-01-08,101.18,82.93,16.82,21.39,13.78,-0.75,-0.75,1.38,45.1,10.29,0.0,95.93,101180.0,95930.0
2021-01-09,101.09,80.87,17.1,21.32,14.04,-0.33,-0.32,0.94,45.7,10.26,0.0,95.84,101090.0,95840.0
2021-01-10,101.08,87.86,15.83,18.87,13.67,-0.12,0.25,1.07,154.7,10.29,0.0,95.83,101080.0,95830.0
2021-01-11,101.32,92.11,15.25,18.42,13.57,-0.92,-0.41,1.23,65.9,10.37,0.35,96.06,101320.0,96060.0
2021-01-12,101.38,92.9,14.75,17.76,12.96,-0.92,-0.71,1.26,52.2,10.13,0.68,96.09,101380.0,96090.0
2021-01-13,101.37,85.15,15.2,19.03,12.29,-0.43,-0.15,0.93,71.3,9.52,0.09,96.09,101370.0,96090.0
2021-01-14,101.38,86.98,14.32,18.54,11.65,-0.36,-0.03,1.1,84.7,9.17,0.0,96.14,101380.0,96140.0
2021-01-15,101.19,84.49,14.65,19.67,10.68,-0.75,-0.27,1.19,70.4,9.07,0.0,95.96,101190.0,95960.0
2021-01-16,101.15,84.76,14.52,18.76,11.35,-0.44,-0.41,0.92,47.3,9.05,0.0,95.88,101150.0,95880.0
2021-01-17,101.48,81.82,15.35,21.14,10.88,-0.79,-1.23,1.78,32.6,9.19,0.0,96.21,101480.0,96210.0
2021-01-18,101.42,80.19,15.93,21.12,11.18,-0.94,-1.67,2.15,29.3,9.37,0.27,96.14,101420.0,96140.0
2021-01-19,101.1,86.28,15.23,19.08,12.61,1.45,1.44,2.13,225.2,9.73,4.68,95.8,101100.0,95800.0
2021-01-20,101.18,90.91,13.51,16.4,11.45,0.74,0.93,1.52,218.4,9.16,9.55,95.87,101180.0,95870.0
2021-01-21,101.33,86.34,13.51,17.91,10.45,-0.52,-0.41,1.31,51.6,8.63,2.58,96.0,101330.0,96000.0
2021-01-22,101.4,80.61,13.89,19.22,9.18,-0.78,-0.84,1.5,42.9,8.2,0.01,96.13,101400.0,96130.0
2021-01-23,101.21,73.49,15.45,20.61,10.74,0.15,-0.42,1.33,340.7,8.3,0.0,95.93,101210.0,95930.0
2021-01-24,101.34,79.58,15.08,18.92,12.66,1.06,0.58,1.31,241.1,8.84,0.0,96.03,101340.0,96030.0
2021-01-25,101.49,78.99,14.45,18.88,11.03,0.17,-0.17,1.1,313.7,8.38,0.0,96.18,101490.0,96180.0
2021-01-26,101.42,76.45,14.68,19.75,10.59,0.33,-0.43,1.55,323.0,8.23,0.0,96.1,101420.0,96100.0
2021-01-27,101.48,73.66,14.93,20.57,10.57,-0.27,-0.75,1.37,19.9,8.02,0.0,96.16,101480.0,96160.0
