date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.53,80.15,16.09,24.63,10.04,0.14,0.79,1.47,189.7,9.2,0.0,96.98,101530.0,96980.0
2021-01-02,101.51,75.41,16.61,23.37,11.22,0.27,0.52,1.34,207.2,8.96,0.0,96.96,101510.0,96960.0
2021-01-03,101.36,75.63,16.9,24.29,11.24,-0.14,0.49,1.33,164.4,9.1,0.0,96.83,101360.0,96830.0
2021-01-04,101.37,72.97,17.34,25.2,10.88,-0.22,0.68,1.42,162.0,9.02,0.0,96.86,101370.0,96860.0
2021-01-05,101.38,76.1,17.33,24.22,12.83,0.58,0.63,1.5,222.7,9.54,0.0,96.87,101380.0,96870.0
2021-01-06,101.21,83.66,17.34,23.84,12.49,1.48,0.67,1.94,245.6,10.57,0.0,96.7,101210.0,96700.0
2021-01-07,101.17,82.56,17.65,24.42,12.72,1.3,1.06,2.03,230.9,10.52,0.0,96.63,101170.0,96630.0
2021-01-08,101.25,81.93,17.17,24.03,12.27,0.75,0.83,1.54,222.0,10.14,0.0,96.68,101250.0,96680.0
2021-01-09,101.17,82.25,16.9,23.79,12.4,1.15,0.77,1.76,236.1,9.99,0.0,96.63,101170.0,96630.0
2021-01-10,101.15,83.84,16.87,23.06,12.42,1.71,0.89,2.16,242.5,10.35,0.0,96.61,101150.0,96610.0
2021-01-11,101.38,85.57,17.56,23.26,13.56,1.26,0.76,1.83,238.9,10.92,0.0,96.81,101380.0,96810.0
2021-01-12,101.45,86.23,15.94,22.49,11.8,1.03,0.79,1.59,232.4,10.05,0.01,96.85,101450.0,96850.0
2021-01-13,101.5,83.45,14.43,21.32,10.15,1.01,0.79,1.67,232.0,8.67,0.0,96.88,101500.0,96880.0
2021-01-14,101.54,79.37,14.24,21.26,8.76,0.3,0.31,1.32,224.1,8.1,0.0,96.93,101540.0,96930.0
2021-01-15,101.32,85.23,14.3,21.27,8.86,0.18,0.41,1.52,203.0,8.84,0.0,96.72,101320.0,96720.0
2021-01-16,101.28,85.08,14.87,20.96,10.95,0.78,0.17,1.42,257.6,9.15,0.0,96.67,101280.0,96670.0
2021-01-17,101.55,84.23,14.93,21.07,10.3,-0.81,0.6,1.62,126.9,9.17,0.0,96.96,101550.0,96960.0
2021-01-18,101.44,82.67,16.38,23.7,10.42,-0.53,0.89,1.8,149.3,9.81,0.0,96.85,101440.0,96850.0
2021-01-19,101.27,84.77,15.35,21.13,11.8,1.79,1.6,2.49,228.3,9.34,0.35,96.65,101270.0,96650.0
2021-01-20,101.24,84.03,15.1,20.06,11.51,1.31,0.86,1.8,236.7,9.24,2.2,96.62,101240.0,96620.0
2021-01-21,101.37,82.8,14.11,20.59,9.84,0.88,0.51,1.83,239.8,8.39,0.2,96.72,101370.0,96720.0
