date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.67,54.36,15.17,23.3,7.26,2.16,0.15,2.35,266.0,5.5,0.0,100.98,101670.0,100980.0
2021-01-02,101.57,60.81,16.86,25.06,9.24,1.99,0.94,2.42,244.7,6.95,0.0,100.88,101570.0,100880.0
2021-01-03,101.37,57.79,18.8,25.92,12.02,0.82,0.7,1.82,229.7,7.51,0.0,100.68,101370.0,100680.0
2021-01-04,101.43,59.41,19.75,27.09,14.1,-0.55,1.23,1.72,155.8,8.26,0.0,100.76,101430.0,100760.0
2021-01-05,101.46,67.02,19.87,27.22,14.06,0.65,0.92,1.75,215.3,9.42,0.0,100.78,101460.0,100780.0
2021-01-06,101.26,61.83,21.56,29.9,16.29,3.06,0.02,3.17,269.6,9.48,0.0,100.58,101260.0,100580.0
2021-01-07,101.15,60.47,20.59,29.52,14.18,3.36,-0.36,3.4,276.0,8.82,0.0,100.46,101150.0,100460.0
2021-01-08,101.23,65.14,19.63,27.84,13.33,3.17,-0.53,3.35,279.4,8.81,0.0,100.54,101230.0,100540.0
2021-01-09,101.15,62.89,20.82,29.44,14.58,3.36,0.41,3.47,263.0,9.27,0.0,100.47,101150.0,100470.0
2021-01-10,101.15,71.57,20.91,28.33,16.04,3.95,0.19,4.04,267.3,10.67,0.0,100.47,101150.0,100470.0
2021-01-11,101.38,66.82,19.24,26.53,14.04,3.68,-0.66,3.76,280.2,8.88,0.0,100.69,101380.0,100690.0
2021-01-12,101.53,54.91,15.59,23.78,9.97,3.21,-0.66,3.43,281.5,5.64,0.0,100.84,101530.0,100840.0
2021-01-13,101.54,45.35,13.57,22.01,6.16,2.61,0.09,2.74,268.0,4.13,0.0,100.84,101540.0,100840.0
2021-01-14,101.57,47.21,13.41,21.25,6.01,1.96,0.38,2.04,259.0,4.29,0.0,100.87,101570.0,100870.0
2021-01-15,101.4,45.84,13.25,22.11,5.77,2.25,0.84,2.44,249.5,4.12,0.0,100.71,101400.0,100710.0
2021-01-16,101.26,42.68,14.39,23.23,6.35,2.28,0.83,2.54,249.9,4.09,0.0,100.57,101260.0,100570.0
2021-01-17,101.59,45.24,14.73,22.32,7.25,-0.54,1.21,1.94,155.9,4.57,0.0,100.9,101590.0,100900.0
2021-01-18,101.57,59.38,15.06,22.88,7.63,0.29,1.42,1.78,191.6,6.13,0.0,100.88,101570.0,100880.0
2021-01-19,101.24,55.66,16.27,24.41,9.12,2.26,0.5,2.46,257.6,6.14,0.0,100.55,101240.0,100550.0
2021-01-20,101.18,53.72,16.65,24.92,11.13,3.72,0.07,3.84,269.0,6.18,0.0,100.49,101180.0,100490.0
2021-01-21,101.26,47.85,15.29,23.89,7.51,3.47,-0.26,3.57,274.3,4.81,0.0,100.56,101260.0,100560.0
2021-01-22,101.48,40.96,15.86,23.63,8.66,0.76,0.53,1.54,234.9,4.41,0.0,100.78,101480.0,100780.0
2021-01-23,101.35,44.56,16.0,24.22,7.81,1.14,1.23,1.9,222.7,4.75,0.0,100.66,101350.0,100660.0
2021-01-24,101.39,41.79,17.76,26.16,9.15,0.91,0.66,1.86,234.1,5.02,0.0,100.7,101390.0,100700.0
2021-01-25,101.57,48.47,17.34,25.3,9.92,1.74,0.07,2.01,267.7,5.73,0.0,100.88,101570.0,100880.0
2021-01-26,101.58,54.99,15.92,24.37,8.76,2.54,-0.71,2.73,285.6,5.85,0.0,100.88,101580.0,100880.0
2021-01-27,101.66,42.75,14.54,23.37,6.71,2.79,-0.81,2.98,286.1,4.1,0.0,100.96,101660.0,100960.0
2021-01-28,101.74,37.41,14.82,23.12,5.75,1.29,0.05,1.82,267.8,3.64,0.0,101.04,101740.0,101040.0
2021-01-29,101.66,42.87,14.8,23.86,7.71,2.41,0.02,2.68,269.5,4.21,0.02,100.96,101660.0,100960.0
2021-01-30,101.58,42.39,12.96,22.91,4.99,3.42,-0.03,3.47,270.5,3.65,0.0,100.87,101580.0,100870.0
2021-01-31,101.71,39.1,14.0,23.92,5.19,2.73,0.1,2.85,267.8,3.56,0.0,101.01,101710.0,101010.0
2021-02-01,101.85,38.54,14.88,24.22,6.47,2.43,0.04,2.66,269.1,3.79,0.0,101.15,101850.0,101150.0
2021-02-02,101.78,37.08,16.3,25.31,7.16,1.77,0.1,2.14,266.6,4.01,0.0,101.08,101780.0,101080.0
2021-02-03,101.66,37.8,18.23,27.0,8.71,1.02,0.71,2.08,235.2,4.59,0.0,100.97,101660.0,100970.0
2021-02-04,101.6,39.52,19.09,28.38,9.91,0.28,1.2,1.66,193.2,5.01,0.0,100.91,101600.0,100910.0
2021-02-05,101.44,43.41,19.45,28.84,11.46,0.1,0.54,1.98,190.6,5.71,0.0,100.75,101440.0,100750.0
2021-02-06,101.53,60.14,16.8,23.32,12.58,2.14,-0.38,3.0,280.1,7.02,0.59,100.83,101530.0,100830.0
2021-02-07,101.55,46.2,16.71,25.74,9.51,3.33,-0.39,3.37,276.7,5.02,0.0,100.85,101550.0,100850.0
2021-02-08,101.63,44.22,16.51,26.47,8.22,3.3,-0.54,3.36,279.4,4.8,0.0,100.94,101630.0,100940.0
2021-02-09,101.46,40.26,18.09,27.05,8.89,1.98,0.16,2.34,265.4,4.89,0.0,100.76,101460.0,100760.0
2021-02-10,101.29,39.53,19.58,27.2,11.26,0.58,0.69,1.43,220.1,5.35,0.0,100.6,101290.0,100600.0
2021-02-11,101.26,40.97,20.17,28.23,11.65,1.56,0.16,2.15,264.1,5.79,0.0,100.57,101260.0,100570.0
2021-02-12,101.35,41.38,20.17,29.21,11.97,1.24,0.45,2.22,249.9,5.68,0.0,100.66,101350.0,100660.0
2021-02-13,101.43,37.27,20.61,28.84,13.09,0.73,-0.24,1.38,287.9,5.32,0.0,100.73,101430.0,100730.0
2021-02-14,101.37,37.22,20.3,28.86,11.34,1.36,-0.16,2.19,276.9,5.19,0.0,100.68,101370.0,100680.0
2021-02-15,101.22,36.43,19.89,29.03,11.43,2.33,-0.76,2.81,288.1,4.89,0.0,100.53,101220.0,100530.0
2021-02-16,101.2,39.14,20.41,30.0,11.59,1.64,-0.09,2.53,273.0,5.46,0.0,100.51,101200.0,100510.0
2021-02-17,101.31,40.41,22.39,29.9,15.41,0.41,-0.29,1.6,305.5,6.46,0.01,100.62,101310.0,100620.0
2021-02-18,101.53,39.17,23.01,30.6,16.53,0.24,0.12,1.24,243.6,6.44,0.07,100.84,101530.0,100840.0
2021-02-19,101.71,40.03,21.85,30.28,14.88,0.17,-0.55,1.81,343.2,5.96,0.01,101.01,101710.0,101010.0
2021-02-20,101.69,33.77,21.18,29.72,11.92,2.07,-0.38,2.15,280.4,4.89,0.0,101.0,101690.0,101000.0
2021-02-21,101.56,32.59,21.17,31.18,11.92,2.97,-0.08,3.02,271.5,4.7,0.0,100.86,101560.0,100860.0
2021-02-22,101.44,34.25,21.22,30.68,11.6,2.4,-0.08,2.49,271.9,4.96,0.0,100.75,101440.0,100750.0
2021-02-23,101.23,34.17,22.33,30.9,13.34,2.17,0.1,2.32,267.4,5.44,0.0,100.54,101230.0,100540.0
2021-02-24,101.02,35.51,22.76,33.12,14.33,2.91,0.48,3.22,260.6,5.58,0.0,100.34,101020.0,100340.0
2021-02-25,100.82,32.94,23.06,34.49,13.45,4.13,-0.71,4.29,279.8,5.22,0.0,100.14,100820.0,100140.0
2021-02-26,100.65,33.65,23.13,34.53,13.95,2.98,-0.62,3.14,281.7,5.42,0.0,99.97,100650.0,99970.0
2021-02-27,100.63,32.81,24.0,34.93,13.94,4.18,-0.97,4.32,283.0,5.64,0.0,99.96,100630.0,99960.0
2021-02-28,100.75,34.67,25.51,35.66,16.41,4.04,-0.29,4.33,274.1,6.53,0.0,100.07,100750.0,100070.0
2021-03-01,101.05,33.22,25.43,35.87,16.51,3.26,-1.39,3.73,293.1,6.05,0.0,100.37,101050.0,100370.0
2021-03-02,101.22,26.65,22.74,32.42,14.73,3.64,-0.97,4.13,284.8,4.08,0.0,100.54,101220.0,100540.0
2021-03-03,101.17,23.66,22.86,32.84,12.38,2.31,-0.02,2.52,270.5,3.65,0.0,100.48,101170.0,100480.0
2021-03-04,101.08,24.73,24.18,34.58,13.91,2.99,0.12,3.31,267.6,4.23,0.0,100.4,101080.0,100400.0
2021-03-05,100.92,27.73,24.86,35.35,15.43,3.35,0.61,3.64,259.7,4.96,0.0,100.24,100920.0,100240.0
2021-03-06,101.0,25.15,24.41,34.78,15.62,3.9,-1.15,4.18,286.4,4.22,0.0,100.32,101000.0,100320.0
2021-03-07,101.1,23.22,25.27,35.31,16.48,0.58,-0.15,2.39,284.6,4.24,0.0,100.42,101100.0,100420.0
2021-03-08,101.23,30.36,24.58,34.89,15.57,-2.19,0.42,2.56,100.9,5.28,0.0,100.55,101230.0,100550.0
2021-03-09,101.11,30.99,26.4,36.45,17.39,-0.16,-0.08,2.35,65.0,5.98,0.0,100.43,101110.0,100430.0
2021-03-10,101.11,27.8,27.82,36.84,18.71,0.76,0.06,2.3,265.5,5.91,0.0,100.43,101110.0,100430.0
2021-03-11,101.21,25.18,28.79,36.78,20.09,0.17,0.06,1.4,250.1,5.83,0.0,100.53,101210.0,100530.0
2021-03-12,101.36,35.32,28.85,37.49,19.63,-0.9,0.8,1.53,131.6,8.0,0.08,100.68,101360.0,100680.0
2021-03-13,101.33,39.91,27.04,34.82,20.06,2.55,0.18,2.87,266.0,8.31,0.32,100.65,101330.0,100650.0
2021-03-14,101.1,34.49,26.86,35.8,19.52,3.3,-0.19,3.79,273.4,7.06,0.0,100.42,101100.0,100420.0
2021-03-15,101.02,29.06,26.82,35.93,17.97,2.91,-0.47,3.28,279.1,5.87,0.0,100.34,101020.0,100340.0
2021-03-16,100.99,26.94,26.73,36.51,17.94,3.55,-1.1,3.75,287.2,5.42,0.0,100.31,100990.0,100310.0
2021-03-17,100.92,24.75,26.95,36.81,18.74,3.88,-0.49,3.97,277.1,4.98,0.0,100.24,100920.0,100240.0
2021-03-18,100.9,23.78,27.62,37.44,18.79,3.46,-1.06,3.75,287.1,5.1,0.0,100.23,100900.0,100230.0
2021-03-19,100.81,22.43,29.1,39.13,19.68,3.16,-0.16,3.33,272.9,5.18,0.0,100.14,100810.0,100140.0
2021-03-20,100.68,29.71,29.34,37.37,22.42,4.17,-0.89,4.29,282.0,7.26,0.0,100.0,100680.0,100000.0
2021-03-21,100.74,25.06,29.24,38.31,20.98,3.64,-1.16,3.93,287.7,5.71,0.0,100.06,100740.0,100060.0
2021-03-22,100.96,20.42,30.02,39.41,22.18,2.93,-1.18,3.42,291.9,5.08,0.0,100.29,100960.0,100290.0
2021-03-23,101.0,19.48,31.29,40.58,21.77,2.93,-1.16,3.28,291.5,5.35,0.0,100.33,101000.0,100330.0
2021-03-24,100.96,23.78,31.52,39.4,26.08,5.35,-1.91,5.7,289.7,6.47,0.0,100.29,100960.0,100290.0
2021-03-25,100.9,17.94,29.77,37.87,22.46,5.59,-2.14,6.02,291.0,4.45,0.0,100.22,100900.0,100220.0
2021-03-26,100.9,13.79,28.31,37.41,20.56,4.87,-0.99,5.03,281.5,2.97,0.0,100.22,100900.0,100220.0
2021-03-27,100.84,19.07,28.43,38.03,19.25,3.05,-0.35,3.17,276.6,4.35,0.0,100.17,100840.0,100170.0
2021-03-28,100.64,17.93,30.39,39.55,21.33,1.55,-0.04,2.44,271.4,4.49,0.0,99.97,100640.0,99970.0
2021-03-29,100.4,18.31,31.44,39.67,23.75,1.17,-0.62,2.57,298.0,5.13,0.0,99.73,100400.0,99730.0
2021-03-30,99.9,18.18,31.93,42.09,22.13,3.66,0.05,3.99,269.3,4.86,0.0,99.24,99900.0,99240.0
2021-03-31,99.77,13.89,31.15,40.6,21.97,5.18,-0.79,5.27,278.6,3.53,0.0,99.11,99770.0,99110.0
2021-04-01,100.04,9.11,29.43,40.36,19.24,4.6,-0.37,4.68,274.7,2.01,0.0,99.37,100040.0,99370.0
2021-04-02,100.43,8.32,28.54,39.48,18.1,3.26,-0.78,3.53,283.4,1.81,0.0,99.76,100430.0,99760.0
2021-04-03,100.67,8.72,29.0,39.69,19.89,2.45,-1.69,3.15,304.6,2.02,0.0,100.0,100670.0,100000.0
2021-04-04,100.72,7.62,28.85,40.18,19.52,3.37,-1.31,3.93,291.2,1.66,0.0,100.05,100720.0,100050.0
2021-04-05,100.84,9.97,29.59,39.57,20.56,-0.33,1.05,2.36,162.4,2.39,0.0,100.17,100840.0,100170.0
2021-04-06,100.72,12.77,31.33,41.74,21.51,-1.33,0.84,2.82,122.2,3.31,0.0,100.05,100720.0,100050.0
2021-04-07,100.69,22.63,32.44,42.31,23.13,-2.79,-0.02,3.27,89.7,6.18,0.0,100.02,100690.0,100020.0
2021-04-08,100.55,22.2,32.84,41.95,23.76,-0.7,-0.41,2.3,59.5,6.23,0.0,99.89,100550.0,99890.0
2021-04-09,100.66,16.99,32.31,40.77,23.38,0.21,-1.2,2.21,349.9,4.69,0.09,99.99,100660.0,99990.0
2021-04-10,100.81,15.92,32.56,41.5,24.06,2.67,-0.16,2.95,273.3,4.49,0.01,100.14,100810.0,100140.0
2021-04-11,100.89,11.2,32.34,42.25,22.9,3.47,-0.88,3.68,284.2,3.15,0.0,100.22,100890.0,100220.0
2021-04-12,100.9,9.53,32.53,42.32,23.68,4.13,-1.26,4.34,287.0,2.74,0.0,100.23,100900.0,100230.0
2021-04-13,100.73,12.88,33.1,42.78,24.09,4.15,-0.47,4.34,276.5,3.84,0.0,100.07,100730.0,100070.0
2021-04-14,100.59,13.35,33.41,42.97,23.85,3.52,-0.94,3.76,284.9,4.0,0.0,99.93,100590.0,99930.0
2021-04-15,100.52,13.34,33.96,42.85,25.54,1.11,-0.17,2.54,278.9,4.11,0.0,99.86,100520.0,99860.0
2021-04-16,100.54,15.7,33.94,42.27,24.95,2.0,0.17,2.4,265.2,4.84,0.0,99.87,100540.0,99870.0
2021-04-17,100.66,20.29,33.43,41.7,25.26,-1.63,0.59,2.78,109.9,6.12,0.05,100.0,100660.0,100000.0
