date,TMP2m,TMP2m_max,TMP2m_min,RH2m,PRCP,WS,WD,U10m,V10m,QV2m,PRmsl,SLP,PS,PS_Pa
2026-03-31,,,,,0.0,,0.0,,,,,,,
2026-04-01,,,,,0.0,,0.0,,,,,,,
2026-04-02,,,,,0.0,,0.0,,,,,,,
2026-04-03,,,,,0.0,,0.0,,,,,,,
2026-04-04,,,,,0.0,,0.0,,,,,,,
2026-04-05,,,,,0.0,,0.0,,,,,,,
2026-04-06,,,,,0.0,,0.0,,,,,,,
2026-04-07,,,,,0.0,,0.0,,,,,,,
2026-04-08,,,,,0.0,,0.0,,,,,,,
2026-04-09,,,,,0.0,,0.0,,,,,,,
2026-04-10,,,,,0.0,,0.0,,,,,,,
2026-04-11,,,,,0.0,,0.0,,,,,,,
2026-04-12,,,,,0.0,,0.0,,,,,,,
2026-04-13,,,,,0.0,,0.0,,,,,,,
2026-04-14,,,,,0.0,,0.0,,,,,,,
2026-04-15,,,,,0.0,,0.0,,,,,,,
2026-04-16,,,,,0.0,,0.0,,,,,,,
2026-04-17,,,,,0.0,,0.0,,,,,,,
2026-04-18,,,,,0.0,,0.0,,,,,,,
2026-04-19,28.6,28.6,28.6,,0.0,4.6389,0.0,-0.0,-4.6389,,,,,
2026-04-20,32.25,37.8,26.7,62.0,0.0,7.7778,163.0,-2.274,7.4379,18.7033,100780.0,1007.8,1006.6,100660.0
2026-04-21,32.05,37.3,26.8,60.0,0.0,7.0833,161.0,-2.3061,6.6974,17.891,100750.0,1007.5,1006.4,100640.0
2026-04-22,32.45,37.5,27.4,58.0,0.0,6.8056,155.0,-2.8762,6.1679,17.6901,100750.0,1007.5,1006.3,100630.0
2026-04-23,32.1,37.0,27.2,57.0,0.0,6.8056,161.0,-2.2157,6.4348,17.0461,100690.0,1006.9,1005.8,100580.0
2026-04-24,32.4,37.5,27.3,58.0,0.0,7.0278,164.0,-1.9371,6.7555,17.6485,100690.0,1006.9,1005.8,100580.0
2026-04-25,32.5,36.9,28.1,58.0,0.0,7.4167,158.0,-2.7783,6.8766,17.7282,100820.0,1008.2,1007.0,100700.0
2026-04-26,32.05,36.8,27.3,60.0,0.0,7.4444,161.0,-2.4237,7.0389,17.8856,100780.0,1007.8,1006.7,100670.0
2026-04-27,32.6,38.3,26.9,57.0,0.0,8.0,172.0,-1.1134,7.9221,17.5525,100620.0,1006.2,1005.1,100510.0
2026-04-28,32.55,37.8,27.3,63.0,0.0,7.9722,173.0,-0.9716,7.9128,19.3704,100610.0,1006.1,1004.9,100490.0
2026-04-29,33.2,37.9,28.5,64.0,0.0,7.9167,169.0,-1.5106,7.7712,20.4165,100640.0,1006.4,1005.3,100530.0
2026-04-30,33.95,39.1,28.8,59.0,0.0,8.6667,174.0,-0.9059,8.6192,19.6102,100690.0,1006.9,1005.8,100580.0
2026-05-01,35.0,40.2,29.8,59.0,0.0,8.4722,178.0,-0.2957,8.4671,20.8163,100650.0,1006.5,1005.3,100530.0
2026-05-02,34.85,40.6,29.1,51.0,0.0,9.5,178.0,-0.3315,9.4942,17.8339,100520.0,1005.2,1004.1,100410.0
2026-05-03,35.3,41.1,29.5,51.0,0.0,9.1389,175.0,-0.7965,9.1041,18.2876,100530.0,1005.3,1004.2,100420.0
2026-05-04,33.85,38.7,29.0,62.0,1.6,7.2778,165.0,-1.8836,7.0298,20.522,100600.0,1006.0,1004.9,100490.0
2026-05-05,31.85,34.9,28.8,71.0,0.3,2.9722,147.0,-1.6188,2.4927,20.9794,100720.0,1007.2,1006.0,100600.0
2026-05-06,31.9,34.9,28.9,71.0,0.4,3.1111,140.0,-1.9998,2.3832,21.0482,100670.0,1006.7,1005.6,100560.0
2026-05-07,31.0,33.9,28.1,67.0,0.0,3.9167,106.0,-3.7649,1.0796,18.8438,100690.0,1006.9,1005.7,100570.0
2026-05-08,28.5,30.9,26.1,73.0,2.6,4.8056,84.0,-4.7792,-0.5023,17.749,100770.0,1007.7,1006.6,100660.0
2026-05-09,28.4,30.6,26.2,79.0,8.3,3.1667,75.0,-3.0588,-0.8196,19.1082,100790.0,1007.9,1006.8,100680.0
2026-05-10,29.2,32.0,26.4,74.0,0.8,4.1667,64.0,-3.745,-1.8265,18.766,100680.0,1006.8,1005.7,100570.0
2026-05-11,29.85,32.5,27.2,71.0,0.3,3.9444,52.0,-3.1083,-2.4284,18.6984,100650.0,1006.5,1005.4,100540.0
2026-05-12,30.5,33.5,27.5,70.0,0.3,4.6111,49.0,-3.48,-3.0252,19.1627,100540.0,1005.4,1004.3,100430.0
2026-05-13,31.55,35.1,28.0,69.0,0.0,5.0,35.0,-2.8679,-4.0958,20.0972,100390.0,1003.9,1002.8,100280.0
2026-05-14,31.15,34.0,28.3,72.0,0.6,4.4722,33.0,-2.4357,-3.7507,20.5223,100310.0,1003.1,1001.9,100190.0
2026-05-15,30.05,33.0,27.1,81.0,6.0,4.3333,77.0,-4.2223,-0.9748,21.6845,100340.0,1003.4,1002.3,100230.0
2026-05-16,30.35,33.9,26.8,78.0,2.9,3.5833,148.0,-1.8989,3.0388,21.2321,100370.0,1003.7,1002.6,100260.0
2026-05-17,31.6,35.4,27.8,72.0,5.1,4.8889,170.0,-0.8489,4.8146,21.0299,100460.0,1004.6,1003.4,100340.0
2026-05-18,31.6,35.2,28.0,72.0,1.2,5.0,180.0,-0.0,5.0,21.0299,100450.0,1004.5,1003.4,100340.0
2026-05-19,33.1,37.3,28.9,64.0,0.2,3.6111,217.0,2.1732,2.884,20.3416,100440.0,1004.4,1003.3,100330.0
2026-05-20,35.0,40.2,29.8,55.0,0.0,4.7222,232.0,3.7212,2.9073,19.4471,100350.0,1003.5,1002.3,100230.0
2026-05-21,35.5,39.6,31.4,59.0,0.0,4.5278,199.0,1.4741,4.2811,21.4732,100350.0,1003.5,1002.3,100230.0
2026-05-22,34.15,38.0,30.3,59.0,0.0,4.9167,227.0,3.5958,3.3532,19.8611,100550.0,1005.5,1004.4,100440.0
2026-05-23,33.55,35.8,31.3,59.0,0.0,5.0833,270.0,5.0833,0.0,19.1786,100650.0,1006.5,1005.4,100540.0
2026-05-24,34.6,39.0,30.2,56.0,2.4,6.6111,227.0,4.8351,4.5088,19.312,100610.0,1006.1,1005.0,100500.0
