date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.58,73.16,17.28,23.99,10.32,-1.6,-0.73,2.07,65.6,8.98,0.0,98.43,101580.0,98430.0
2021-01-02,101.51,72.8,18.26,24.72,11.88,-1.48,-0.24,1.68,80.9,9.46,0.0,98.38,101510.0,98380.0
2021-01-03,101.34,68.74,19.0,26.19,13.25,-1.56,0.32,1.68,101.6,9.31,0.0,98.21,101340.0,98210.0
2021-01-04,101.38,70.43,18.6,27.0,11.72,-2.13,0.08,2.19,92.1,9.22,0.0,98.25,101380.0,98250.0
2021-01-05,101.44,70.13,19.63,27.63,12.09,-2.01,-0.44,2.26,77.5,9.77,0.0,98.29,101440.0,98290.0
2021-01-06,101.32,64.99,21.55,28.34,15.51,-0.48,0.35,1.19,126.1,10.27,0.0,98.17,101320.0,98170.0
2021-01-07,101.17,62.66,22.26,28.6,16.8,-1.24,-0.28,1.56,77.5,10.45,0.0,98.02,101170.0,98020.0
2021-01-08,101.17,70.55,21.57,28.09,16.18,-2.25,-1.11,2.66,63.8,11.34,0.0,98.03,101170.0,98030.0
2021-01-09,101.17,71.49,21.89,29.37,15.47,-2.16,0.45,2.34,101.7,11.43,0.0,98.03,101170.0,98030.0
2021-01-10,101.23,68.15,22.27,28.89,17.2,-0.23,0.4,0.9,149.5,11.34,0.0,98.09,101230.0,98090.0
2021-01-11,101.36,72.02,21.94,29.22,16.2,-1.5,-0.88,2.29,59.7,11.7,0.0,98.22,101360.0,98220.0
2021-01-12,101.46,72.54,20.58,27.81,14.51,-1.83,-0.98,2.29,61.9,10.78,0.0,98.29,101460.0,98290.0
2021-01-13,101.43,59.82,18.75,27.23,11.99,-1.38,-1.21,2.3,48.6,7.68,0.0,98.26,101430.0,98260.0
2021-01-14,101.43,50.59,16.69,26.09,8.25,-1.63,-1.09,2.34,56.1,5.62,0.0,98.27,101430.0,98270.0
2021-01-15,101.31,48.25,15.89,25.93,6.63,-1.08,-0.32,1.95,73.4,4.99,0.0,98.16,101310.0,98160.0
