date,TMP2m,TMP2m_max,TMP2m_min,RH2m,PRCP,WS,WD,U10m,V10m,QV2m,PRmsl,SLP,PS,PS_Pa
2026-03-31,,,,,0.0,,0.0,,,,,,,
2026-04-01,,,,,0.0,,0.0,,,,,,,
2026-04-02,,,,,0.0,,0.0,,,,,,,
2026-04-03,,,,,0.0,,0.0,,,,,,,
2026-04-04,,,,,0.0,,0.0,,,,,,,
2026-04-05,,,,,0.0,,0.0,,,,,,,
2026-04-06,,,,,0.0,,0.0,,,,,,,
2026-04-07,,,,,0.0,,0.0,,,,,,,
2026-04-08,,,,,0.0,,0.0,,,,,,,
2026-04-09,,,,,0.0,,0.0,,,,,,,
2026-04-10,,,,,0.0,,0.0,,,,,,,
2026-04-11,,,,,0.0,,0.0,,,,,,,
2026-04-12,,,,,0.0,,0.0,,,,,,,
2026-04-13,,,,,0.0,,0.0,,,,,,,
2026-04-14,,,,,0.0,,0.0,,,,,,,
2026-04-15,,,,,0.0,,0.0,,,,,,,
2026-04-16,,,,,0.0,,0.0,,,,,,,
2026-04-17,,,,,0.0,,0.0,,,,,,,
2026-04-18,,,,,0.0,,0.0,,,,,,,
2026-04-19,33.5,33.5,33.5,,0.0,4.25,0.0,-0.0,-4.25,,,,,
2026-04-20,34.5,39.4,29.6,16.0,0.0,5.5278,306.0,4.4721,-3.2491,5.5824,100390.0,1003.9,979.7,97970.0
2026-04-21,35.0,39.7,30.3,12.0,0.0,6.3889,285.0,6.1712,-1.6536,4.3027,100360.0,1003.6,979.4,97940.0
2026-04-22,36.15,41.3,31.0,12.0,0.0,5.25,286.0,5.0466,-1.4471,4.589,100280.0,1002.8,978.7,97870.0
2026-04-23,36.6,41.3,31.9,11.0,0.0,4.6389,270.0,4.6389,0.0,4.3081,100350.0,1003.5,979.4,97940.0
2026-04-24,37.45,42.3,32.6,13.0,0.0,3.3889,294.0,3.0959,-1.3784,5.3407,100270.0,1002.7,978.7,97870.0
2026-04-25,38.1,42.8,33.4,15.0,0.0,6.0833,296.0,5.4677,-2.6668,6.3809,100380.0,1003.8,979.8,97980.0
2026-04-26,38.2,42.9,33.5,16.0,0.0,6.9444,303.0,5.8241,-3.7822,6.8579,100200.0,1002.0,978.0,97800.0
2026-04-27,38.6,43.2,34.0,14.0,0.0,10.1389,307.0,8.0973,-6.1017,6.1458,99930.0,999.3,975.4,97540.0
2026-04-28,35.35,40.8,29.9,25.0,0.1,10.3611,349.0,1.977,-10.1707,9.2005,99990.0,999.9,975.8,97580.0
2026-04-29,33.6,37.9,29.3,28.0,3.8,10.9722,4.0,-0.7654,-10.9455,9.3419,100080.0,1000.8,976.5,97650.0
2026-04-30,33.45,38.6,28.3,28.0,2.6,9.0556,95.0,-9.0211,0.7892,9.2537,100180.0,1001.8,977.5,97750.0
2026-05-01,32.5,37.6,27.4,32.0,0.0,4.7778,112.0,-4.4299,1.7898,10.0276,100210.0,1002.1,977.7,97770.0
2026-05-02,34.6,39.4,29.8,27.0,0.0,3.3889,106.0,-3.2576,0.9341,9.5334,100000.0,1000.0,975.8,97580.0
2026-05-03,35.7,40.7,30.7,26.0,0.0,8.3056,120.0,-7.1928,4.1528,9.7607,99980.0,999.8,975.6,97560.0
2026-05-04,28.4,31.7,25.1,50.0,0.0,7.6389,111.0,-7.1315,2.7375,12.3654,100540.0,1005.4,980.7,98070.0
2026-05-05,26.75,30.8,22.7,66.0,2.6,2.4167,96.0,-2.4034,0.2526,14.7925,100900.0,1009.0,983.9,98390.0
2026-05-06,28.5,34.3,22.7,57.0,0.1,2.1944,335.0,0.9274,-1.9888,14.1769,100670.0,1006.7,981.9,98190.0
2026-05-07,27.1,30.5,23.7,53.0,0.6,5.3333,115.0,-4.8336,2.254,12.125,100740.0,1007.4,982.4,98240.0
2026-05-08,28.25,34.4,22.1,54.0,0.4,4.0278,103.0,-3.9245,0.9061,13.2129,100800.0,1008.0,983.1,98310.0
2026-05-09,30.15,35.5,24.8,46.0,0.0,3.3056,93.0,-3.301,0.173,12.5597,100770.0,1007.7,983.0,98300.0
2026-05-10,31.8,37.3,26.3,43.0,0.0,3.3889,114.0,-3.0959,1.3784,12.9114,100700.0,1007.0,982.4,98240.0
2026-05-11,32.5,37.7,27.3,41.0,0.0,2.7778,115.0,-2.5175,1.1739,12.8131,100650.0,1006.5,982.0,98200.0
2026-05-12,33.35,38.8,27.9,45.0,7.0,4.8056,114.0,-4.3901,1.9546,14.8111,100380.0,1003.8,979.3,97930.0
2026-05-13,32.9,39.1,26.7,47.0,0.3,3.25,111.0,-3.0341,1.1647,15.1134,100180.0,1001.8,977.5,97750.0
2026-05-14,32.65,39.4,25.9,40.0,0.2,4.2778,180.0,-0.0,4.2778,12.6755,100090.0,1000.9,976.6,97660.0
2026-05-15,34.3,40.0,28.6,31.0,0.0,4.6667,308.0,3.6774,-2.8731,10.7559,100160.0,1001.6,977.3,97730.0
2026-05-16,34.7,40.4,29.0,29.0,0.0,4.75,314.0,3.4169,-3.2996,10.2761,100240.0,1002.4,978.2,97820.0
2026-05-17,35.6,41.3,29.9,26.0,0.1,5.9722,302.0,5.0647,-3.1648,9.6876,100160.0,1001.6,977.5,97750.0
2026-05-18,36.65,43.3,30.0,25.0,0.0,5.1667,293.0,4.7559,-2.0188,9.8895,99960.0,999.6,975.6,97560.0
2026-05-19,37.75,44.4,31.1,18.0,0.0,4.4722,283.0,4.3576,-1.006,7.5436,100050.0,1000.5,976.5,97650.0
2026-05-20,37.85,43.6,32.1,20.0,0.0,3.2222,270.0,3.2222,0.0,8.4381,99970.0,999.7,975.8,97580.0
2026-05-21,38.0,42.8,33.2,22.0,0.0,5.2222,270.0,5.2222,0.0,9.3592,100010.0,1000.1,976.2,97620.0
2026-05-22,37.0,42.0,32.0,19.0,0.0,3.9722,291.0,3.7084,-1.4235,7.6268,100270.0,1002.7,978.7,97870.0
2026-05-23,36.45,41.3,31.6,22.0,0.0,5.0278,298.0,4.4393,-2.3604,8.5729,100290.0,1002.9,978.8,97880.0
2026-05-24,36.15,42.3,30.0,22.0,0.0,4.6667,281.0,4.5809,-0.8904,8.4406,100190.0,1001.9,977.8,97780.0
2026-05-25,37.9,43.0,32.8,19.0,0.0,4.5833,277.0,4.5492,-0.5586,8.0311,100030.0,1000.3,976.4,97640.0
