date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.18,55.19,25.13,33.68,18.51,0.24,0.43,2.26,209.4,10.67,0.0,99.78,101180.0,99780.0
2021-01-02,101.23,61.89,24.62,31.36,20.89,1.21,0.33,1.88,254.8,11.78,0.0,99.83,101230.0,99830.0
2021-01-03,101.15,50.99,23.1,29.02,19.48,0.69,-1.91,2.18,340.2,8.89,0.16,99.75,101150.0,99750.0
2021-01-04,101.08,50.88,23.78,32.02,17.61,0.65,-0.73,2.18,318.2,9.17,0.05,99.68,101080.0,99680.0
2021-01-05,101.25,50.35,23.07,30.68,17.42,0.64,-1.76,2.23,340.2,8.65,0.0,99.84,101250.0,99840.0
2021-01-06,101.26,45.95,22.47,31.28,15.78,-0.39,-3.77,4.06,5.9,7.51,0.0,99.86,101260.0,99860.0
2021-01-07,100.98,50.78,24.53,31.68,17.49,-1.39,-0.56,2.18,68.2,10.1,0.71,99.58,100980.0,99580.0
2021-01-08,100.88,68.2,24.26,29.44,20.34,-0.18,-2.53,3.02,4.0,12.95,0.74,99.49,100880.0,99490.0
2021-01-09,100.99,60.94,23.77,30.71,18.47,-1.26,-2.99,3.28,22.9,11.3,2.23,99.6,100990.0,99600.0
2021-01-10,101.06,59.99,26.26,34.69,20.05,-0.84,-1.67,2.74,26.6,12.16,0.07,99.66,101060.0,99660.0
2021-01-11,101.13,52.92,27.66,36.03,20.47,-1.35,-2.38,3.13,29.5,11.76,0.0,99.74,101130.0,99740.0
2021-01-12,101.24,40.9,27.57,36.46,21.07,-1.13,-3.05,3.9,20.4,8.94,0.0,99.85,101240.0,99850.0
2021-01-13,101.21,30.87,25.82,34.75,19.28,-0.75,-2.36,3.25,17.7,5.95,0.0,99.81,101210.0,99810.0
2021-01-14,101.02,43.55,26.17,36.02,18.75,-1.65,0.43,2.49,104.7,8.55,0.0,99.63,101020.0,99630.0
2021-01-15,101.01,43.63,25.6,33.61,19.94,0.64,1.55,3.1,202.3,8.47,0.0,99.61,101010.0,99610.0
2021-01-16,100.89,44.37,25.47,35.51,17.57,0.31,1.11,2.32,195.6,8.33,0.0,99.5,100890.0,99500.0
2021-01-17,100.97,47.27,25.51,34.82,19.24,1.01,1.5,2.62,213.8,9.06,0.0,99.58,100970.0,99580.0
2021-01-18,101.16,47.94,25.44,34.15,19.87,1.44,0.14,1.95,264.6,9.24,0.0,99.76,101160.0,99760.0
2021-01-19,101.16,37.35,24.95,34.12,18.82,0.45,-1.58,2.23,344.2,6.91,0.0,99.77,101160.0,99770.0
2021-01-20,101.28,32.63,23.73,33.31,17.08,0.38,-1.42,2.52,345.0,5.6,0.0,99.88,101280.0,99880.0
2021-01-21,101.25,34.14,23.13,33.0,15.76,0.22,-0.65,2.04,341.0,5.47,0.0,99.85,101250.0,99850.0
2021-01-22,101.17,40.36,24.18,34.88,16.16,-0.11,-0.63,1.78,9.5,6.78,0.0,99.78,101170.0,99780.0
2021-01-23,101.15,42.1,24.16,34.52,16.03,0.46,-1.26,2.34,339.8,7.23,0.0,99.76,101150.0,99760.0
2021-01-24,101.28,37.73,23.54,32.75,17.48,0.16,-2.02,2.68,355.3,6.42,0.0,99.89,101280.0,99890.0
2021-01-25,101.34,25.07,22.32,33.16,14.63,-0.04,-1.38,3.01,1.6,3.89,0.0,99.94,101340.0,99940.0
2021-01-26,101.3,23.02,21.68,32.58,14.28,0.09,-1.81,2.84,357.3,3.39,0.0,99.9,101300.0,99900.0
2021-01-27,101.26,25.82,22.17,33.32,13.81,-0.41,-1.35,3.11,17.0,3.96,0.0,99.86,101260.0,99860.0
2021-01-28,101.35,25.39,21.8,32.57,14.28,0.02,-2.48,3.23,359.5,3.87,0.0,99.94,101350.0,99940.0
2021-01-29,101.4,20.81,22.19,34.05,12.91,-0.72,-2.36,3.28,17.0,3.09,0.0,100.0,101400.0,100000.0
2021-01-30,101.32,24.24,23.5,34.58,15.3,-1.5,-1.21,3.37,51.1,3.94,0.0,99.92,101320.0,99920.0
2021-01-31,101.36,27.34,23.98,34.64,15.79,-1.01,-0.99,3.24,45.7,4.67,0.0,99.95,101360.0,99950.0
2021-02-01,101.47,21.54,25.41,35.59,17.87,-3.13,0.05,3.57,90.9,4.22,0.0,100.07,101470.0,100070.0
2021-02-02,101.46,19.66,25.95,35.8,18.5,-1.73,0.6,3.16,109.0,3.87,0.0,100.06,101460.0,100060.0
2021-02-03,101.4,24.07,25.37,33.91,19.11,0.71,-0.27,1.69,290.8,4.61,0.0,99.99,101400.0,99990.0
2021-02-04,101.43,37.92,24.36,32.35,19.05,0.99,-1.43,2.11,325.3,6.83,0.0,100.01,101430.0,100010.0
2021-02-05,101.39,41.09,22.99,31.9,15.97,0.48,-2.56,3.22,349.4,6.39,0.0,99.97,101390.0,99970.0
2021-02-06,101.33,22.39,23.41,33.93,14.27,-2.93,-2.17,3.88,53.5,3.65,0.0,99.92,101330.0,99920.0
2021-02-07,101.39,22.15,24.3,34.49,16.72,-2.91,-0.71,3.85,76.3,3.79,0.0,99.98,101390.0,99980.0
2021-02-08,101.38,15.08,24.99,35.77,16.85,-2.89,-0.56,3.94,79.0,2.71,0.0,99.98,101380.0,99980.0
2021-02-09,101.29,17.29,25.2,35.57,17.34,-0.55,0.48,3.41,131.2,3.22,0.0,99.89,101290.0,99890.0
2021-02-10,101.18,20.17,25.05,34.81,17.57,0.53,-0.97,2.23,331.4,3.74,0.0,99.79,101180.0,99790.0
2021-02-11,101.06,22.3,25.56,36.12,17.31,-0.45,-1.86,2.88,13.5,4.13,0.0,99.67,101060.0,99670.0
2021-02-12,101.12,24.7,25.89,35.61,18.14,0.65,-1.05,2.41,328.0,4.75,0.0,99.72,101120.0,99720.0
2021-02-13,101.22,39.32,25.37,34.81,17.66,0.72,-0.74,2.23,315.5,7.11,0.0,99.82,101220.0,99820.0
2021-02-14,101.25,51.04,25.44,34.38,18.98,1.25,-0.71,2.08,299.7,9.18,0.07,99.85,101250.0,99850.0
2021-02-15,101.18,57.13,24.79,33.0,19.41,1.71,-0.36,1.97,281.8,10.13,0.0,99.77,101180.0,99770.0
2021-02-16,101.16,61.55,24.31,32.59,18.78,2.12,-0.57,2.3,285.0,10.63,0.0,99.75,101160.0,99750.0
2021-02-17,101.12,52.79,25.33,33.84,18.72,0.35,-1.46,2.1,346.3,9.52,0.0,99.71,101120.0,99710.0
2021-02-18,101.14,34.77,27.39,36.1,20.04,-1.23,-0.29,2.95,76.6,7.61,1.34,99.74,101140.0,99740.0
