date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.08,70.01,27.32,30.56,24.39,-1.32,-0.05,3.27,88.0,15.81,0.01,100.22,101080.0,100220.0
2021-01-02,101.13,64.83,26.72,29.92,24.62,-2.34,-0.77,2.96,71.8,14.15,0.0,100.27,101130.0,100270.0
2021-01-03,100.97,71.35,26.47,30.2,22.85,-1.18,-0.08,3.62,86.3,15.37,0.01,100.12,100970.0,100120.0
2021-01-04,100.99,72.16,26.32,28.07,24.85,-3.0,-0.7,3.64,76.8,15.5,5.87,100.13,100990.0,100130.0
2021-01-05,101.04,73.53,26.67,29.77,24.08,-0.22,-0.47,3.12,25.1,16.02,1.37,100.18,101040.0,100180.0
2021-01-06,101.03,79.9,26.68,28.78,25.26,0.7,-0.29,2.63,292.7,17.49,1.07,100.17,101030.0,100170.0
2021-01-07,100.84,80.32,26.8,29.39,25.11,0.35,-1.78,2.38,348.7,17.69,3.02,99.98,100840.0,99980.0
2021-01-08,100.77,81.62,26.61,28.22,25.14,-1.3,1.34,2.53,136.1,17.88,4.26,99.92,100770.0,99920.0
2021-01-09,100.82,74.91,27.34,29.16,25.76,-0.65,-0.03,2.4,87.8,17.09,0.1,99.97,100820.0,99970.0
2021-01-10,100.94,71.26,27.77,31.15,25.8,-0.17,-0.08,2.92,63.0,16.54,0.08,100.09,100940.0,100090.0
2021-01-11,101.03,70.52,28.17,31.64,25.47,0.1,-0.03,2.89,286.6,16.72,0.01,100.17,101030.0,100170.0
2021-01-12,101.06,64.96,28.3,32.32,25.42,-1.49,-1.6,2.87,42.9,15.49,0.0,100.21,101060.0,100210.0
2021-01-13,101.02,64.64,28.45,33.16,25.33,-1.04,-0.18,3.62,80.4,15.5,0.0,100.17,101020.0,100170.0
2021-01-14,100.97,64.07,28.34,32.58,24.9,0.02,-0.39,2.74,357.3,15.22,0.0,100.11,100970.0,100110.0
2021-01-15,100.94,66.29,27.87,31.26,24.98,0.25,-0.32,3.3,321.8,15.46,0.0,100.09,100940.0,100090.0
2021-01-16,100.85,62.94,28.07,31.69,25.18,0.66,-1.41,2.76,335.0,14.78,0.0,100.0,100850.0,100000.0
2021-01-17,100.91,64.94,28.37,31.55,25.61,0.83,-1.19,3.14,325.2,15.64,0.0,100.06,100910.0,100060.0
