date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.27,58.02,20.42,29.43,13.69,0.13,-0.94,2.67,352.2,8.38,0.0,100.74,101270.0,100740.0
2021-01-02,101.28,42.78,19.02,28.05,13.64,2.33,-0.97,2.87,292.7,5.54,0.0,100.75,101280.0,100750.0
2021-01-03,101.22,43.14,17.59,27.33,10.88,1.7,-1.82,2.66,317.0,5.04,0.0,100.68,101220.0,100680.0
2021-01-04,101.17,43.78,18.98,27.19,11.82,0.88,-1.16,2.57,323.0,5.57,0.0,100.64,101170.0,100640.0
2021-01-05,101.35,48.36,18.28,27.04,12.24,2.07,-1.8,2.95,311.0,5.98,0.0,100.8,101350.0,100800.0
2021-01-06,101.42,52.47,17.34,27.13,10.4,0.65,-3.18,3.38,348.5,5.8,0.0,100.88,101420.0,100880.0
2021-01-07,101.15,49.5,18.37,29.38,9.72,-0.1,-1.81,3.04,3.1,6.24,0.0,100.61,101150.0,100610.0
2021-01-08,101.07,44.32,19.98,29.26,12.77,1.4,-3.11,3.56,335.7,6.23,0.0,100.53,101070.0,100530.0
2021-01-09,101.15,55.05,20.96,30.55,13.34,0.44,-2.69,3.15,350.6,8.24,0.0,100.62,101150.0,100620.0
2021-01-10,101.24,64.39,21.62,30.84,14.69,-0.23,-2.11,2.96,6.1,9.84,0.0,100.71,101240.0,100710.0
2021-01-11,101.37,50.78,21.86,31.94,14.77,-0.01,-2.48,3.0,0.2,7.8,0.0,100.83,101370.0,100830.0
2021-01-12,101.43,47.19,20.38,31.23,12.43,-0.83,-2.53,3.17,18.1,6.46,0.0,100.9,101430.0,100900.0
2021-01-13,101.37,40.93,19.84,30.97,11.4,-1.45,-1.76,2.88,39.4,5.28,0.0,100.83,101370.0,100830.0
2021-01-14,101.24,33.25,20.7,32.2,11.66,-2.37,-1.43,3.12,58.9,4.67,0.0,100.7,101240.0,100700.0
2021-01-15,101.08,34.96,21.09,31.47,11.66,-1.28,-0.38,2.26,73.6,5.2,0.0,100.55,101080.0,100550.0
2021-01-16,100.95,38.42,22.12,32.09,14.09,-0.71,-1.02,2.61,34.8,6.04,0.0,100.42,100950.0,100420.0
2021-01-17,100.99,36.03,23.3,31.96,15.67,0.1,0.67,1.9,188.7,6.06,0.0,100.45,100990.0,100450.0
2021-01-18,101.19,37.28,21.61,31.71,13.91,-0.21,-1.23,2.34,9.5,5.58,0.0,100.66,101190.0,100660.0
2021-01-19,101.25,42.03,19.61,29.71,11.53,0.19,-2.08,2.63,354.8,5.56,0.0,100.72,101250.0,100720.0
2021-01-20,101.33,39.98,19.58,30.04,11.29,0.22,-1.77,2.3,352.8,5.2,0.0,100.8,101330.0,100800.0
2021-01-21,101.31,36.76,21.27,31.34,12.7,-1.0,-0.79,2.43,51.4,5.32,0.0,100.77,101310.0,100770.0
2021-01-22,101.23,34.37,21.6,31.85,13.88,0.72,-0.53,2.16,306.5,5.07,0.0,100.69,101230.0,100690.0
2021-01-23,101.22,49.4,20.61,30.49,12.26,1.58,-2.04,2.81,322.3,7.08,0.0,100.68,101220.0,100680.0
2021-01-24,101.4,24.94,17.82,28.37,10.4,-0.22,-2.32,3.01,5.5,2.84,0.0,100.86,101400.0,100860.0
2021-01-25,101.51,26.26,16.49,28.39,7.46,-1.97,-2.43,3.77,39.0,2.8,0.0,100.97,101510.0,100970.0
