date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.67,31.66,13.08,20.9,5.5,-0.53,-0.39,1.54,53.4,2.84,0.0,99.0,101670.0,99000.0
2021-01-02,101.54,54.85,13.38,18.27,10.79,-2.94,1.16,3.37,111.5,5.36,9.0,98.88,101540.0,98880.0
2021-01-03,101.32,86.96,14.97,20.37,11.0,-3.28,2.85,4.36,131.0,9.31,11.59,98.68,101320.0,98680.0
2021-01-04,101.5,80.23,16.53,24.95,10.72,-1.58,1.59,3.14,135.3,9.29,2.76,98.83,101500.0,98830.0
2021-01-05,101.47,79.07,16.9,22.32,14.13,-2.34,-0.16,3.4,86.1,9.51,10.13,98.79,101470.0,98790.0
2021-01-06,101.47,76.44,16.35,21.47,12.19,-0.53,0.58,1.4,137.8,8.85,7.23,98.79,101470.0,98790.0
2021-01-07,101.42,77.17,13.58,20.54,8.52,1.49,-1.82,2.44,320.7,7.43,0.65,98.76,101420.0,98760.0
2021-01-08,101.38,73.03,14.29,21.81,7.96,-0.06,-0.55,1.72,6.1,7.33,0.74,98.71,101380.0,98710.0
2021-01-09,101.49,62.48,14.26,21.72,8.86,1.58,-2.28,2.82,325.2,6.39,0.01,98.83,101490.0,98830.0
2021-01-10,101.54,61.97,11.42,17.91,7.34,2.82,-2.39,3.77,310.3,5.19,0.0,98.88,101540.0,98880.0
2021-01-11,101.6,56.99,10.34,19.35,3.37,3.24,-2.27,3.99,305.0,4.19,0.0,98.94,101600.0,98940.0
2021-01-12,101.61,50.52,11.04,20.79,4.04,3.41,-1.96,3.95,299.9,3.88,0.0,98.96,101610.0,98960.0
2021-01-13,101.51,46.51,10.3,19.79,3.34,2.66,-1.73,3.19,303.1,3.43,0.0,98.85,101510.0,98850.0
2021-01-14,101.5,36.57,12.72,20.78,5.3,0.39,-0.5,1.24,322.0,3.22,0.0,98.86,101500.0,98860.0
2021-01-15,101.37,36.84,13.03,20.73,7.54,-0.06,-0.54,1.34,6.2,3.37,0.0,98.73,101370.0,98730.0
2021-01-16,101.24,45.76,10.91,21.49,3.37,1.91,-1.93,2.75,315.2,3.53,0.0,98.6,101240.0,98600.0
2021-01-17,101.42,49.93,10.67,18.22,4.18,-2.36,0.5,2.83,102.1,3.92,0.0,98.77,101420.0,98770.0
2021-01-18,101.53,44.45,13.01,18.86,9.47,-2.77,0.07,3.0,91.5,4.1,0.0,98.87,101530.0,98870.0
2021-01-19,101.35,54.3,13.76,23.05,6.63,1.81,-2.42,3.18,323.2,5.35,0.0,98.68,101350.0,98680.0
