date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.53,28.04,12.48,19.89,8.01,-0.96,1.21,2.23,141.5,2.65,0.0,91.49,101530.0,91490.0
2021-01-02,101.6,48.35,11.99,16.95,8.24,-2.5,1.1,2.97,113.8,4.68,2.28,91.5,101600.0,91500.0
2021-01-03,101.39,73.23,13.09,17.31,10.15,-3.03,2.39,3.98,128.3,7.5,0.83,91.36,101390.0,91360.0
2021-01-04,101.58,68.63,14.17,20.76,9.96,-2.56,2.19,3.56,130.5,7.41,0.26,91.54,101580.0,91540.0
2021-01-05,101.6,75.47,12.32,14.78,10.83,-4.21,1.41,4.52,108.5,7.36,6.54,91.5,101600.0,91500.0
2021-01-06,101.57,73.06,12.58,19.45,9.05,-1.53,0.2,2.56,97.6,7.08,10.32,91.44,101570.0,91440.0
2021-01-07,101.35,58.14,12.33,20.74,7.33,-0.68,0.32,2.21,115.0,5.52,0.0,91.28,101350.0,91280.0
2021-01-08,101.36,52.39,12.34,19.53,8.43,-0.88,1.35,2.29,146.8,4.95,0.0,91.29,101360.0,91290.0
2021-01-09,101.47,49.7,13.36,21.18,8.77,-0.45,0.47,2.34,136.3,5.19,0.0,91.4,101470.0,91400.0
2021-01-10,101.35,49.45,12.86,21.88,7.38,0.25,-0.91,2.23,344.3,4.77,0.0,91.34,101350.0,91340.0
2021-01-11,101.35,41.8,11.16,19.88,6.46,0.77,-1.72,2.6,335.9,3.52,0.0,91.37,101350.0,91370.0
2021-01-12,101.32,42.96,10.34,19.24,5.24,1.25,-2.71,3.29,335.3,3.42,0.0,91.39,101320.0,91390.0
2021-01-13,101.19,39.32,9.91,18.77,4.99,1.33,-2.9,3.49,335.5,3.02,0.0,91.31,101190.0,91310.0
2021-01-14,101.19,38.63,11.03,18.88,5.43,0.48,-1.81,2.5,345.0,3.31,0.0,91.35,101190.0,91350.0
2021-01-15,101.14,43.01,11.59,20.04,6.99,0.15,-1.38,2.38,353.9,3.74,0.0,91.27,101140.0,91270.0
2021-01-16,101.0,37.19,12.16,21.61,6.74,0.16,-2.04,2.76,355.6,3.33,0.0,91.12,101000.0,91120.0
2021-01-17,101.23,33.07,11.92,20.31,7.21,-1.89,1.92,3.11,135.4,3.0,0.0,91.3,101230.0,91300.0
2021-01-18,101.61,37.57,12.7,20.86,7.96,-0.63,0.34,2.54,118.5,3.67,0.0,91.51,101610.0,91510.0
2021-01-19,101.37,43.16,12.58,20.78,7.51,0.82,-2.34,3.14,340.7,4.12,0.0,91.28,101370.0,91280.0
2021-01-20,101.35,44.97,11.36,20.11,6.08,1.11,-3.11,3.82,340.3,3.87,0.0,91.26,101350.0,91260.0
2021-01-21,101.03,36.3,11.23,20.22,4.07,0.64,-2.51,3.35,345.6,3.09,0.0,91.15,101030.0,91150.0
2021-01-22,101.24,34.08,11.84,18.96,7.66,-1.49,1.26,2.54,130.3,3.1,0.0,91.27,101240.0,91270.0
2021-01-23,101.27,41.07,12.31,19.97,7.46,-2.5,3.12,4.43,141.3,3.8,1.45,91.14,101270.0,91140.0
2021-01-24,101.6,53.86,10.49,17.86,6.61,-0.74,0.79,2.47,136.8,4.47,0.25,91.35,101600.0,91350.0
2021-01-25,101.69,44.83,10.68,19.26,5.21,-0.33,-0.2,2.46,58.9,3.72,0.0,91.49,101690.0,91490.0
2021-01-26,101.63,37.7,10.65,19.27,5.78,0.29,-1.32,2.25,347.8,3.07,0.0,91.47,101630.0,91470.0
2021-01-27,101.64,31.83,10.9,19.79,6.24,0.52,-1.28,2.5,337.9,2.63,0.0,91.47,101640.0,91470.0
2021-01-28,101.76,31.57,10.69,19.16,6.47,0.38,-0.58,2.17,326.7,2.57,0.0,91.55,101760.0,91550.0
2021-01-29,101.83,41.52,9.13,16.78,4.44,1.41,-2.79,3.52,333.1,3.13,0.0,91.58,101830.0,91580.0
2021-01-30,101.57,40.78,9.53,18.34,3.49,1.38,-2.95,3.65,335.0,3.09,0.0,91.43,101570.0,91430.0
2021-01-31,101.63,37.26,11.09,19.91,4.76,0.74,-2.04,2.9,340.1,3.1,0.0,91.53,101630.0,91530.0
2021-02-01,101.86,36.49,12.29,21.13,6.5,0.6,-2.25,3.28,345.0,3.33,0.0,91.74,101860.0,91740.0
2021-02-02,101.68,34.88,12.95,21.91,7.09,-0.08,-0.77,2.75,6.0,3.31,0.0,91.57,101680.0,91570.0
2021-02-03,101.7,42.98,12.72,21.26,7.85,-2.71,1.75,3.74,122.9,4.07,1.65,91.52,101700.0,91520.0
2021-02-04,101.87,66.41,9.32,13.83,5.97,-2.5,-0.16,2.69,86.3,5.31,23.41,91.6,101870.0,91600.0
2021-02-05,101.88,65.14,8.75,14.92,4.7,-0.25,-1.04,2.23,13.7,4.88,1.17,91.58,101880.0,91580.0
2021-02-06,101.71,57.55,9.56,17.23,4.1,1.14,-2.65,3.49,336.8,4.56,0.0,91.58,101710.0,91580.0
2021-02-07,101.4,44.92,11.67,20.36,5.43,1.2,-2.53,3.31,334.7,3.97,0.0,91.52,101400.0,91520.0
2021-02-08,101.45,42.92,13.2,21.48,7.82,0.79,-2.2,2.95,340.4,4.28,0.0,91.58,101450.0,91580.0
2021-02-09,101.22,44.78,14.49,22.52,9.01,1.11,-2.14,3.14,332.6,4.84,0.0,91.34,101220.0,91340.0
2021-02-10,101.31,46.28,14.32,22.3,9.19,-0.02,-1.2,2.4,1.1,4.89,0.0,91.29,101310.0,91290.0
2021-02-11,101.26,47.13,15.06,23.34,9.52,0.46,-1.41,2.62,342.1,5.31,0.0,91.31,101260.0,91310.0
2021-02-12,101.35,43.17,15.4,24.11,9.81,0.68,-1.56,2.82,336.5,4.8,0.0,91.36,101350.0,91360.0
2021-02-13,101.37,46.24,15.78,22.78,12.14,0.44,-1.03,2.11,337.1,5.5,0.0,91.37,101370.0,91370.0
2021-02-14,101.4,46.96,15.28,22.69,10.29,0.34,-1.1,2.38,342.7,5.31,0.0,91.38,101400.0,91380.0
2021-02-15,101.26,40.66,15.38,23.83,10.19,0.48,-1.22,2.65,338.3,4.56,0.0,91.25,101260.0,91250.0
2021-02-16,101.31,42.71,15.16,23.56,9.55,0.25,-1.21,2.61,348.5,4.72,0.16,91.24,101310.0,91240.0
2021-02-17,101.46,45.72,14.97,22.98,9.2,0.25,-1.29,2.61,349.0,5.08,0.1,91.36,101460.0,91360.0
2021-02-18,101.76,44.14,15.31,23.39,9.78,0.91,-1.49,3.0,328.8,4.93,0.0,91.65,101760.0,91650.0
2021-02-19,101.83,48.38,14.62,22.26,8.94,0.91,-1.82,3.14,333.4,5.26,0.0,91.77,101830.0,91770.0
2021-02-20,101.71,49.89,15.16,22.85,10.2,1.15,-1.72,2.91,326.1,5.62,0.0,91.75,101710.0,91750.0
2021-02-21,101.49,48.49,15.57,23.21,9.9,1.51,-2.7,3.57,330.8,5.56,0.0,91.61,101490.0,91610.0
2021-02-22,101.38,43.79,17.35,26.1,11.67,1.37,-2.19,3.19,328.0,5.6,0.0,91.49,101380.0,91490.0
2021-02-23,101.26,39.19,18.49,27.6,11.54,0.7,-1.28,2.87,331.2,5.24,0.21,91.33,101260.0,91330.0
2021-02-24,101.21,35.74,18.64,27.31,12.5,0.32,-1.55,2.98,348.3,4.81,0.0,91.25,101210.0,91250.0
2021-02-25,101.04,37.5,18.8,27.81,11.85,0.62,-1.9,3.54,341.9,5.23,0.0,91.12,101040.0,91120.0
2021-02-26,100.77,40.48,19.25,27.46,13.27,0.51,-1.78,3.49,344.1,5.85,0.59,90.89,100770.0,90890.0
2021-02-27,100.79,49.85,18.75,26.04,13.25,-0.1,0.75,3.1,172.2,7.06,4.78,90.85,100790.0,90850.0
2021-02-28,101.17,36.16,16.88,24.7,10.98,0.6,-0.18,2.5,286.7,4.42,0.01,91.11,101170.0,91110.0
2021-03-01,101.48,34.68,15.49,23.26,10.13,1.55,-1.71,3.19,317.7,3.88,0.0,91.4,101480.0,91400.0
2021-03-02,101.29,38.03,15.89,24.72,9.01,2.01,-3.59,4.58,330.7,4.33,0.0,91.37,101290.0,91370.0
