date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,102.05,39.72,-2.55,5.66,-8.34,-2.08,-0.31,2.54,81.5,1.65,0.0,74.38,102050.0,74380.0
2021-01-02,102.06,47.54,-2.69,4.76,-8.42,-2.07,-0.43,2.33,78.1,1.98,0.06,74.34,102060.0,74340.0
2021-01-03,101.61,69.23,-0.84,4.99,-8.06,-1.61,0.1,2.15,93.4,3.41,20.93,74.19,101610.0,74190.0
2021-01-04,101.89,81.21,0.7,2.51,-0.9,-1.46,0.97,1.9,123.7,4.38,36.85,74.32,101890.0,74320.0
2021-01-05,101.48,87.16,0.32,1.6,-1.6,-1.76,1.78,2.7,135.3,4.58,37.87,74.11,101480.0,74110.0
2021-01-06,101.81,87.33,-2.06,-0.48,-3.46,-1.85,1.86,2.7,135.1,3.79,29.63,74.08,101810.0,74080.0
2021-01-07,101.7,75.21,-3.66,-0.39,-7.13,-2.0,1.29,2.43,122.8,2.92,1.73,74.03,101700.0,74030.0
2021-01-08,101.79,84.93,-5.32,-0.96,-8.65,-1.86,1.67,2.7,132.0,2.88,2.64,73.93,101790.0,73930.0
2021-01-09,101.96,84.25,-3.22,0.23,-6.7,-1.64,0.62,1.91,110.6,3.35,2.98,74.18,101960.0,74180.0
2021-01-10,101.85,69.46,-3.49,1.28,-10.62,-2.22,-0.12,2.29,87.0,2.78,0.07,74.23,101850.0,74230.0
2021-01-11,101.73,39.94,-5.75,1.32,-12.36,-2.21,-0.8,2.42,70.2,1.46,0.0,74.28,101730.0,74280.0
2021-01-12,101.63,57.32,-8.73,2.13,-16.11,-3.54,-1.71,3.94,64.2,1.79,0.0,74.37,101630.0,74370.0
2021-01-13,101.34,63.7,-7.52,2.9,-14.58,-4.01,-2.02,4.49,63.3,2.11,0.0,74.34,101340.0,74340.0
2021-01-14,101.4,53.19,-3.38,4.98,-11.94,-3.19,-1.47,3.52,65.3,2.41,0.0,74.39,101400.0,74390.0
2021-01-15,101.42,37.73,0.55,6.42,-6.1,-2.03,-1.0,2.27,63.8,2.12,0.0,74.28,101420.0,74280.0
2021-01-16,101.33,62.47,-3.19,6.63,-9.25,-3.5,-1.58,3.85,65.7,2.65,0.0,74.27,101330.0,74270.0
2021-01-17,101.39,45.14,0.76,7.08,-4.68,-1.82,-0.05,2.16,88.3,2.58,0.0,74.25,101390.0,74250.0
2021-01-18,102.03,58.89,-1.52,4.93,-7.42,-1.85,0.38,2.4,101.5,2.65,0.0,74.36,102030.0,74360.0
2021-01-19,101.98,64.71,-2.69,4.27,-7.91,-1.51,-0.44,2.17,73.9,2.64,0.0,74.22,101980.0,74220.0
2021-01-20,101.97,65.31,-3.67,5.05,-10.59,-1.68,-1.44,2.58,49.4,2.39,0.0,74.27,101970.0,74270.0
2021-01-21,101.43,53.4,-1.57,7.68,-10.77,-2.47,-0.52,2.91,78.1,2.42,0.0,74.23,101430.0,74230.0
2021-01-22,101.52,53.22,-0.55,4.8,-5.33,-1.21,2.9,3.4,157.3,2.55,1.78,74.01,101520.0,74010.0
2021-01-23,101.37,89.66,-4.01,-1.62,-6.18,-0.23,2.21,2.84,173.9,3.33,26.22,73.65,101370.0,73650.0
2021-01-24,102.03,66.32,-5.27,0.63,-9.39,-0.79,-0.25,1.61,72.2,2.21,0.02,74.12,102030.0,74120.0
2021-01-25,102.24,68.97,-5.4,1.28,-11.19,-1.68,-0.03,2.31,89.0,2.34,0.0,74.26,102240.0,74260.0
2021-01-26,102.28,61.63,-5.02,1.94,-9.82,-1.66,0.0,2.32,89.8,2.09,0.0,74.21,102280.0,74210.0
2021-01-27,102.27,55.07,-5.27,2.42,-11.31,-1.99,-0.21,2.41,84.1,1.79,0.0,74.22,102270.0,74220.0
2021-01-28,102.42,58.05,-4.4,2.31,-10.02,-1.47,0.02,2.12,90.7,2.07,0.0,74.26,102420.0,74260.0
2021-01-29,102.51,60.7,-4.6,1.87,-10.13,-1.44,-0.19,1.85,82.5,2.08,0.0,74.3,102510.0,74300.0
2021-01-30,101.76,54.47,-3.84,4.79,-11.28,-1.47,-1.07,2.18,53.9,1.97,0.0,74.27,101760.0,74270.0
2021-01-31,101.82,50.1,-0.53,5.72,-5.85,-1.04,0.15,1.76,98.2,2.47,0.27,74.3,101820.0,74300.0
2021-02-01,102.37,73.78,-1.14,3.91,-7.65,-1.3,0.55,1.8,112.9,3.39,0.32,74.55,102370.0,74550.0
2021-02-02,102.18,63.1,-1.7,5.43,-8.53,-1.4,0.34,2.25,103.7,2.78,0.66,74.36,102180.0,74360.0
2021-02-03,102.21,77.73,-1.78,2.13,-4.9,-1.23,0.4,1.6,108.0,3.42,8.99,74.26,102210.0,74260.0
2021-02-04,102.31,70.38,-2.96,1.48,-6.04,-0.75,-0.35,1.43,64.9,2.79,2.74,74.25,102310.0,74250.0
2021-02-05,102.16,63.2,-3.66,2.09,-8.91,-0.16,-0.21,1.6,37.1,2.43,0.0,74.26,102160.0,74260.0
2021-02-06,101.73,58.19,-3.35,6.29,-11.43,-1.56,-0.99,2.42,57.7,2.21,0.0,74.39,101730.0,74390.0
2021-02-07,101.51,53.74,0.22,8.81,-7.85,-2.34,-1.25,2.67,61.9,2.84,0.0,74.55,101510.0,74550.0
2021-02-08,101.7,45.02,3.91,10.87,-3.1,-1.66,-0.2,2.05,83.0,3.1,0.78,74.63,101700.0,74630.0
