date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.57,70.31,14.74,23.34,8.16,1.25,-1.97,2.48,327.5,7.42,0.0,96.74,101570.0,96740.0
2021-01-02,101.49,71.99,16.2,23.99,10.16,1.19,-1.65,2.31,324.3,8.23,0.0,96.69,101490.0,96690.0
2021-01-03,101.29,62.65,18.35,26.09,11.6,0.59,-0.59,1.77,315.2,8.17,0.0,96.51,101290.0,96510.0
2021-01-04,101.36,61.31,19.15,27.11,13.37,0.21,-0.16,1.63,307.0,8.55,0.0,96.58,101360.0,96580.0
2021-01-05,101.41,68.83,18.85,26.98,12.22,0.99,-0.92,2.4,312.9,9.38,0.0,96.62,101410.0,96620.0
2021-01-06,101.28,64.02,20.1,27.03,14.06,1.28,-0.87,1.84,304.1,9.28,0.0,96.48,101280.0,96480.0
2021-01-07,101.18,64.44,20.7,27.75,15.59,1.03,-1.59,2.22,327.0,9.91,0.0,96.36,101180.0,96360.0
2021-01-08,101.25,66.26,19.85,25.99,14.41,1.23,-1.78,2.34,325.4,9.83,0.0,96.43,101250.0,96430.0
2021-01-09,101.18,64.83,20.93,28.1,15.21,1.1,-0.34,1.82,287.0,10.0,0.0,96.38,101180.0,96380.0
2021-01-10,101.17,72.99,20.65,27.69,15.71,2.3,-1.59,2.86,304.6,11.25,0.0,96.38,101170.0,96380.0
2021-01-11,101.36,74.58,18.87,25.71,14.67,2.15,-2.69,3.5,321.3,10.18,0.0,96.54,101360.0,96540.0
2021-01-12,101.47,72.96,16.78,24.75,11.52,1.45,-2.03,2.6,324.6,8.61,0.0,96.62,101470.0,96620.0
2021-01-13,101.41,57.99,14.89,24.2,8.5,1.3,-1.45,2.42,318.0,6.06,0.0,96.58,101410.0,96580.0
2021-01-14,101.43,54.87,12.64,21.49,6.51,1.36,-2.16,2.7,327.9,4.82,0.0,96.6,101430.0,96600.0
2021-01-15,101.25,50.04,13.26,22.42,8.09,1.37,-1.07,2.18,307.9,4.65,0.0,96.44,101250.0,96440.0
2021-01-16,101.15,51.98,13.18,22.33,6.47,1.15,-1.65,2.34,325.3,4.82,0.0,96.35,101150.0,96350.0
2021-01-17,101.44,53.18,13.88,21.7,9.52,-1.06,-0.47,1.4,65.9,5.26,0.0,96.62,101440.0,96620.0
2021-01-18,101.43,56.96,15.16,23.99,8.54,0.48,-0.16,1.42,287.8,6.03,0.0,96.6,101430.0,96600.0
2021-01-19,101.19,60.43,16.45,25.57,8.35,1.89,-1.2,2.7,302.4,7.15,0.0,96.36,101190.0,96360.0
2021-01-20,101.2,67.48,16.96,24.88,11.71,3.26,-1.37,3.72,292.8,8.18,0.0,96.35,101200.0,96350.0
2021-01-21,101.3,54.11,15.16,24.63,8.62,3.21,-2.14,3.94,303.6,5.49,0.0,96.43,101300.0,96430.0
