date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.12,81.29,18.87,25.42,14.85,-4.17,-0.99,4.29,76.6,11.71,0.16,91.92,101120.0,91920.0
2021-01-02,101.11,84.14,19.86,26.4,14.14,-3.86,-0.4,3.93,84.0,13.08,0.29,91.89,101110.0,91890.0
2021-01-03,100.99,82.54,20.95,27.02,16.48,-4.11,0.1,4.2,91.3,13.67,0.15,91.78,100990.0,91780.0
2021-01-04,100.98,80.6,21.01,27.06,17.1,-4.63,0.36,4.69,94.5,13.35,0.06,91.78,100980.0,91780.0
2021-01-05,101.03,86.53,20.98,26.13,16.89,-3.64,0.52,3.74,98.1,14.51,0.48,91.82,101030.0,91820.0
2021-01-06,100.96,86.4,21.7,26.76,17.87,-2.95,1.47,3.33,116.5,15.11,13.31,91.76,100960.0,91760.0
2021-01-07,100.83,87.96,21.16,25.55,18.56,-3.19,0.61,3.29,100.7,14.99,4.22,91.65,100830.0,91650.0
2021-01-08,100.75,85.13,22.02,27.48,18.06,-3.03,1.18,3.4,111.3,15.22,0.16,91.58,100750.0,91580.0
2021-01-09,100.8,83.32,22.21,27.51,18.68,-3.77,0.79,3.86,101.9,14.97,0.05,91.63,100800.0,91630.0
2021-01-10,100.93,82.98,21.39,26.81,17.63,-3.74,-0.45,3.79,83.1,14.21,0.0,91.72,100930.0,91720.0
2021-01-11,101.07,82.66,20.86,26.05,17.68,-3.5,-0.85,3.65,76.4,13.66,0.01,91.84,101070.0,91840.0
2021-01-12,101.09,82.01,20.05,25.22,15.83,-4.16,-1.87,4.62,65.8,12.82,0.09,91.84,101090.0,91840.0
2021-01-13,101.07,77.67,20.66,27.56,16.48,-4.51,-0.97,4.7,77.9,12.35,0.12,91.83,101070.0,91830.0
2021-01-14,101.0,79.63,20.41,26.53,15.51,-4.06,-0.34,4.08,85.2,12.64,0.22,91.79,101000.0,91790.0
2021-01-15,100.98,76.72,21.23,28.22,16.79,-3.76,0.5,3.85,97.6,12.68,0.04,91.76,100980.0,91760.0
2021-01-16,100.92,72.58,21.45,29.03,16.55,-3.28,1.12,3.49,108.9,11.97,0.0,91.69,100920.0,91690.0
2021-01-17,100.97,74.65,21.12,29.58,15.34,-3.26,-0.14,3.43,87.6,12.09,0.0,91.75,100970.0,91750.0
2021-01-18,101.11,73.55,20.16,28.49,14.09,-3.71,-0.26,3.83,86.1,11.16,0.0,91.86,101110.0,91860.0
2021-01-19,101.08,74.28,20.17,28.03,14.73,-3.01,-1.09,3.33,70.1,11.29,0.0,91.85,101080.0,91850.0
2021-01-20,101.1,71.24,20.87,29.44,14.01,-1.94,-0.59,2.13,73.2,11.15,0.0,91.88,101100.0,91880.0
