date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.0,81.12,25.73,28.73,23.32,-5.39,-2.15,5.82,68.2,16.75,0.47,100.02,101000.0,100020.0
2021-01-02,100.97,80.48,25.79,29.28,22.1,-3.53,-2.1,4.11,59.3,16.64,0.02,100.0,100970.0,100000.0
2021-01-03,100.85,81.93,26.68,29.12,24.48,-3.28,-1.7,3.73,62.5,17.98,1.04,99.88,100850.0,99880.0
2021-01-04,100.87,86.53,26.3,28.41,24.85,-4.0,-1.02,4.33,75.7,18.62,6.37,99.89,100870.0,99890.0
2021-01-05,100.94,82.52,26.65,29.22,24.66,-3.25,-1.23,3.49,69.2,18.04,3.29,99.96,100940.0,99960.0
2021-01-06,100.96,79.81,26.45,28.75,24.35,-0.66,-0.53,1.99,51.3,17.25,17.69,99.98,100960.0,99980.0
2021-01-07,100.78,82.64,26.92,29.45,24.85,-2.26,-0.38,2.87,80.5,18.44,2.03,99.81,100780.0,99810.0
2021-01-08,100.74,84.48,26.73,28.84,24.67,-1.9,0.33,2.1,99.8,18.62,10.78,99.76,100740.0,99760.0
2021-01-09,100.79,86.61,26.25,28.47,24.7,-3.2,0.07,3.3,91.3,18.59,11.09,99.82,100790.0,99820.0
2021-01-10,100.89,85.05,25.43,26.73,24.42,-2.27,-0.53,2.4,76.9,17.36,10.85,99.91,100890.0,99910.0
2021-01-11,100.94,83.4,25.47,27.52,24.19,-2.56,-2.93,3.97,41.1,17.05,2.36,99.96,100940.0,99960.0
2021-01-12,100.76,87.47,24.88,26.31,23.18,-3.22,-4.38,5.88,36.3,17.36,13.98,99.79,100760.0,99790.0
2021-01-13,100.77,92.09,25.87,26.95,25.05,-4.97,-1.4,5.21,74.3,19.38,32.93,99.79,100770.0,99790.0
2021-01-14,100.83,89.26,25.93,27.9,24.47,-4.91,-1.08,5.15,77.6,18.81,8.91,99.85,100830.0,99850.0
2021-01-15,100.88,88.58,25.84,27.12,24.88,-4.1,-0.49,4.21,83.2,18.56,8.29,99.9,100880.0,99900.0
2021-01-16,100.84,86.88,25.9,28.42,24.02,-3.81,0.62,4.03,99.3,18.27,84.99,99.86,100840.0,99860.0
2021-01-17,100.89,84.69,25.89,29.08,22.75,-4.01,-1.01,4.17,75.9,17.74,15.98,99.91,100890.0,99910.0
