date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,102.78,69.93,-20.59,-11.36,-26.63,-0.62,1.17,1.94,152.1,0.77,0.0,58.41,102780.0,58410.0
2021-01-02,102.66,81.53,-20.91,-11.1,-29.94,-1.08,0.64,1.81,120.7,0.88,1.21,58.37,102660.0,58370.0
2021-01-03,101.99,89.15,-13.06,-6.95,-18.73,-0.57,0.43,1.74,126.7,1.92,9.25,58.26,101990.0,58260.0
2021-01-04,102.66,88.57,-15.81,-9.49,-22.67,-1.36,1.39,2.18,135.7,1.51,0.86,58.47,102660.0,58470.0
2021-01-05,102.18,92.19,-15.24,-7.81,-23.5,-1.13,1.02,2.2,132.0,1.73,16.03,58.25,102180.0,58250.0
2021-01-06,102.03,83.18,-15.74,-9.74,-26.67,0.62,2.41,2.91,194.4,1.47,11.69,58.0,102030.0,58000.0
2021-01-07,102.09,76.58,-23.68,-11.52,-36.34,-0.83,2.76,3.28,163.2,0.7,0.01,58.05,102090.0,58050.0
2021-01-08,101.99,65.19,-18.19,-10.4,-24.74,2.0,3.92,4.49,207.1,0.92,0.04,57.82,101990.0,57820.0
2021-01-09,101.86,87.92,-19.36,-9.79,-24.82,1.07,2.37,2.84,204.2,1.14,0.54,58.09,101860.0,58090.0
2021-01-10,101.71,76.83,-22.14,-11.54,-30.56,-0.9,1.13,1.96,141.5,0.77,0.01,58.26,101710.0,58260.0
2021-01-11,101.57,50.72,-20.68,-10.38,-26.95,-0.62,1.42,2.06,156.5,0.62,0.0,58.29,101570.0,58290.0
2021-01-12,102.03,65.33,-22.79,-10.73,-32.14,-1.35,0.72,1.81,118.0,0.58,0.0,58.51,102030.0,58510.0
2021-01-13,102.22,77.17,-22.76,-10.84,-31.75,-1.42,0.71,1.78,116.6,0.71,0.0,58.65,102220.0,58650.0
2021-01-14,102.04,71.29,-19.81,-9.31,-30.5,-1.32,0.83,1.73,122.2,0.84,0.0,58.71,102040.0,58710.0
2021-01-15,102.38,50.42,-13.65,-5.61,-19.45,-0.36,0.57,1.33,147.9,1.08,0.0,58.51,102380.0,58510.0
2021-01-16,102.51,74.38,-18.66,-8.85,-27.16,-2.0,0.74,2.21,110.4,0.95,0.0,58.61,102510.0,58610.0
2021-01-17,102.33,72.37,-18.18,-7.22,-30.11,-0.73,1.46,2.15,153.3,1.05,0.0,58.48,102330.0,58480.0
2021-01-18,102.53,83.51,-18.57,-10.25,-26.09,-0.24,1.58,2.2,171.4,1.11,0.0,58.31,102530.0,58310.0
2021-01-19,102.48,90.67,-22.95,-13.0,-33.9,-0.63,1.14,2.15,150.9,0.9,0.0,58.17,102480.0,58170.0
2021-01-20,102.9,87.0,-23.25,-12.91,-32.89,-0.96,0.97,2.04,135.3,0.79,0.0,58.25,102900.0,58250.0
2021-01-21,101.93,76.82,-22.53,-10.12,-36.41,-0.56,1.74,2.64,162.1,0.8,0.0,58.45,101930.0,58450.0
2021-01-22,101.64,64.25,-17.13,-8.39,-22.49,2.42,3.82,4.63,212.3,1.07,0.08,58.0,101640.0,58000.0
2021-01-23,101.78,83.44,-14.93,-10.18,-20.86,2.88,4.09,5.35,215.2,1.54,5.82,57.4,101780.0,57400.0
2021-01-24,102.76,75.68,-15.82,-11.09,-21.49,0.61,0.45,1.15,233.7,1.24,0.61,57.89,102760.0,57890.0
2021-01-25,103.03,85.01,-23.69,-14.01,-35.29,-0.46,1.57,2.28,163.6,0.73,0.0,58.08,103030.0,58080.0
2021-01-26,103.15,83.19,-24.48,-13.65,-35.79,-0.53,1.67,2.47,162.5,0.68,0.0,58.05,103150.0,58050.0
2021-01-27,102.91,78.69,-25.12,-13.73,-36.96,-0.94,1.34,2.24,144.9,0.6,0.0,58.08,102910.0,58080.0
2021-01-28,103.33,78.8,-22.84,-13.82,-33.13,-0.38,1.29,1.99,163.7,0.72,0.0,58.07,103330.0,58070.0
2021-01-29,103.43,75.17,-20.5,-14.35,-26.87,0.0,1.17,1.7,179.8,0.8,0.0,58.04,103430.0,58040.0
2021-01-30,102.33,71.47,-21.09,-12.69,-28.15,-0.33,0.8,1.48,157.5,0.73,0.0,58.22,102330.0,58220.0
2021-01-31,102.61,77.31,-19.55,-10.57,-27.91,-0.51,0.78,1.92,146.6,0.95,0.0,58.28,102610.0,58280.0
2021-02-01,103.19,83.18,-17.54,-10.5,-22.79,0.17,1.7,2.34,185.7,1.19,0.0,58.38,103190.0,58380.0
2021-02-02,103.29,75.46,-21.58,-10.6,-34.23,-0.87,1.42,2.37,148.5,0.8,0.0,58.34,103290.0,58340.0
2021-02-03,103.49,75.3,-18.68,-12.59,-24.11,-1.28,0.73,1.85,119.5,0.97,3.62,58.17,103490.0,58170.0
2021-02-04,103.32,84.04,-17.98,-12.66,-24.0,-1.26,-0.04,1.64,88.0,1.16,2.28,58.08,103320.0,58080.0
2021-02-05,102.97,84.57,-18.06,-12.16,-23.12,0.45,-0.3,1.23,303.4,1.14,0.6,58.01,102970.0,58010.0
2021-02-06,102.84,91.44,-22.17,-12.39,-32.92,-0.73,0.75,1.72,135.7,0.95,0.0,58.46,102840.0,58460.0
2021-02-07,102.28,75.74,-17.87,-5.72,-28.82,-1.06,0.55,1.77,117.3,1.09,0.0,58.84,102280.0,58840.0
2021-02-08,102.63,81.6,-16.25,-6.48,-25.91,-0.83,1.19,2.05,145.0,1.39,0.0,58.91,102630.0,58910.0
2021-02-09,102.77,74.16,-12.16,-6.12,-17.63,1.01,1.95,2.5,207.4,1.81,0.0,58.5,102770.0,58500.0
2021-02-10,102.48,84.62,-13.14,-6.37,-19.71,-0.38,0.43,1.34,138.8,1.8,0.0,58.45,102480.0,58450.0
2021-02-11,102.07,82.85,-17.73,-7.74,-28.95,-0.1,1.44,2.54,176.2,1.25,0.0,58.43,102070.0,58430.0
2021-02-12,102.3,80.25,-17.56,-6.79,-29.01,-0.83,0.71,1.9,130.3,1.22,0.0,58.58,102300.0,58580.0
2021-02-13,102.44,78.67,-15.56,-6.18,-25.69,-0.19,1.36,2.25,172.2,1.4,0.0,58.51,102440.0,58510.0
2021-02-14,102.71,81.2,-15.98,-8.63,-23.65,0.01,1.09,1.82,180.5,1.34,0.0,58.44,102710.0,58440.0
2021-02-15,102.65,85.31,-19.0,-9.43,-30.46,-0.85,0.37,1.93,113.6,1.14,0.0,58.35,102650.0,58350.0
2021-02-16,103.07,79.91,-18.51,-9.69,-28.17,-0.42,-0.1,1.55,76.5,1.09,0.0,58.31,103070.0,58310.0
2021-02-17,103.22,71.08,-18.34,-8.66,-27.04,-0.32,0.25,1.41,127.4,0.91,0.0,58.44,103220.0,58440.0
2021-02-18,103.38,74.42,-18.37,-9.82,-26.65,-0.48,0.35,1.5,126.1,1.02,0.0,58.62,103380.0,58620.0
