date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.02,81.08,27.38,28.49,26.47,-2.26,1.1,2.65,115.8,18.41,1.89,101.01,101020.0,101010.0
2021-01-02,101.03,70.14,28.55,28.96,27.75,-3.03,-1.07,3.29,70.6,17.03,0.21,101.03,101030.0,101030.0
2021-01-03,100.92,70.64,28.57,28.9,28.33,-2.53,-1.49,3.17,59.4,17.21,0.08,100.92,100920.0,100920.0
2021-01-04,100.91,77.21,27.96,28.26,27.47,-2.24,-0.91,2.48,67.8,18.15,2.75,100.91,100910.0,100910.0
2021-01-05,100.99,81.57,27.36,27.95,26.74,-1.42,-1.55,2.26,42.4,18.51,3.88,100.99,100990.0,100990.0
2021-01-06,101.03,81.06,26.59,26.91,26.47,0.45,-0.59,1.08,322.4,17.57,7.17,101.03,101030.0,101030.0
2021-01-07,100.82,79.07,27.46,27.86,26.91,-1.17,-0.96,2.02,50.6,18.08,7.96,100.82,100820.0,100820.0
2021-01-08,100.75,78.12,27.53,27.91,27.06,-0.51,0.31,1.73,121.3,17.94,2.41,100.75,100750.0,100750.0
2021-01-09,100.78,81.45,27.95,28.3,27.66,-2.71,2.8,3.99,135.9,19.18,4.11,100.78,100780.0,100780.0
2021-01-10,100.9,81.44,27.71,28.01,27.18,-1.59,4.19,4.51,159.2,18.89,3.72,100.9,100900.0,100900.0
2021-01-11,101.04,76.43,27.41,28.15,26.82,-0.79,0.89,1.79,138.4,17.36,8.69,101.04,101040.0,101040.0
2021-01-12,101.1,75.87,27.12,27.97,26.0,-1.08,-1.93,2.85,29.2,16.94,5.99,101.1,101100.0,101100.0
2021-01-13,101.0,78.79,27.07,28.16,25.86,-0.69,-4.33,4.95,9.0,17.57,11.59,101.0,101000.0,101000.0
2021-01-14,100.87,77.49,27.84,28.8,26.38,-3.85,-1.99,5.2,62.7,18.09,5.76,100.87,100870.0,100870.0
2021-01-15,100.88,81.43,27.71,28.21,26.82,-5.84,1.21,6.11,101.7,18.88,5.86,100.88,100880.0,100880.0
2021-01-16,100.84,79.6,27.9,28.21,27.36,-3.67,0.83,3.82,102.8,18.67,6.72,100.84,100840.0,100840.0
2021-01-17,100.91,78.82,27.8,28.05,27.58,-2.44,0.51,2.55,101.7,18.36,1.8,100.91,100910.0,100910.0
2021-01-18,101.02,76.62,28.0,28.54,27.56,-1.93,-0.26,2.05,82.4,18.03,0.32,101.02,101020.0,101020.0
2021-01-19,101.06,71.26,28.26,28.64,27.86,-0.5,-1.09,1.53,24.7,17.01,0.07,101.06,101060.0,101060.0
2021-01-20,101.12,72.08,28.4,28.7,28.07,-0.64,-1.76,1.93,20.0,17.35,0.0,101.12,101120.0,101120.0
2021-01-21,101.1,77.34,28.21,28.59,27.81,0.11,-4.31,4.38,358.5,18.43,0.0,101.1,101100.0,101100.0
2021-01-22,101.05,78.65,28.05,28.31,27.92,-0.28,-4.73,4.76,3.3,18.57,0.02,101.05,101050.0,101050.0
2021-01-23,101.1,76.11,27.86,28.13,27.62,1.01,-4.03,4.23,345.9,17.76,0.05,101.1,101100.0,101100.0
2021-01-24,101.12,76.58,28.25,28.92,27.71,0.07,-4.17,4.36,359.0,18.28,0.4,101.12,101120.0,101120.0
2021-01-25,101.16,77.19,28.37,28.79,28.11,-1.78,-4.02,4.49,23.8,18.55,0.17,101.16,101160.0,101160.0
2021-01-26,101.13,76.03,28.14,28.44,27.71,-1.64,-4.03,4.4,22.1,18.02,0.03,101.13,101130.0,101130.0
2021-01-27,101.17,71.46,28.04,28.14,27.91,-1.35,-4.18,4.4,18.0,16.82,0.05,101.17,101170.0,101170.0
2021-01-28,101.18,75.47,27.43,27.87,27.13,-1.51,-4.0,4.32,20.7,17.15,0.13,101.18,101180.0,101180.0
2021-01-29,101.22,74.82,27.72,28.06,27.22,-1.22,-3.26,3.5,20.5,17.29,0.09,101.22,101220.0,101220.0
2021-01-30,101.15,72.07,28.15,28.55,27.75,-0.71,-3.67,3.76,11.0,17.08,0.06,101.15,101150.0,101150.0
2021-01-31,101.14,72.94,28.39,28.66,28.01,-0.72,-4.45,4.65,9.3,17.55,0.26,101.14,101140.0,101140.0
2021-02-01,101.21,71.36,28.5,28.6,28.25,-1.97,-2.63,3.61,36.9,17.26,0.23,101.21,101210.0,101210.0
2021-02-02,101.25,73.05,28.28,28.52,28.06,-1.72,-1.76,2.62,44.2,17.44,0.18,101.25,101250.0,101250.0
2021-02-03,101.19,71.94,28.36,28.61,28.07,-1.48,-1.41,2.15,46.3,17.27,0.04,101.19,101190.0,101190.0
2021-02-04,101.2,70.8,28.51,28.8,28.15,-1.37,-1.29,2.0,46.7,17.14,0.14,101.2,101200.0,101200.0
2021-02-05,101.16,76.34,28.26,28.55,28.08,-1.11,-4.66,4.86,13.4,18.22,0.08,101.16,101160.0,101160.0
