date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.51,65.82,16.56,25.81,9.35,-2.9,1.19,3.3,112.4,7.66,0.01,96.11,101510.0,96110.0
2021-01-02,101.35,62.58,18.66,27.48,12.18,-1.82,2.48,3.14,143.7,8.36,0.0,96.0,101350.0,96000.0
2021-01-03,101.19,65.93,19.91,28.24,14.5,-0.55,3.04,3.15,169.7,9.67,0.0,95.85,101190.0,95850.0
2021-01-04,101.25,67.19,19.74,26.68,15.42,-2.1,1.62,3.19,127.7,9.63,1.85,95.89,101250.0,95890.0
2021-01-05,101.34,62.56,19.64,27.9,12.89,-1.08,3.06,3.47,160.5,8.76,0.03,95.95,101340.0,95950.0
2021-01-06,101.31,63.14,20.13,28.42,14.23,0.61,0.35,2.48,240.2,9.18,0.0,95.93,101310.0,95930.0
2021-01-07,101.18,66.63,19.91,28.26,12.65,-1.7,-0.51,2.3,73.4,9.42,0.0,95.81,101180.0,95810.0
2021-01-08,101.1,61.94,21.06,28.27,14.61,-2.61,0.65,3.27,104.1,9.83,0.13,95.74,101100.0,95740.0
2021-01-09,101.2,79.39,19.7,23.83,16.88,-1.73,-0.23,2.43,82.5,11.8,1.41,95.84,101200.0,95840.0
2021-01-10,101.27,74.15,20.6,27.91,15.32,-1.59,-0.7,2.31,66.3,11.18,0.11,95.92,101270.0,95920.0
2021-01-11,101.4,72.28,19.96,28.3,13.93,-0.91,-1.17,2.73,37.9,10.45,0.0,96.03,101400.0,96030.0
2021-01-12,101.49,60.49,18.43,28.18,11.81,-1.16,-1.58,2.62,36.3,7.78,0.0,96.1,101490.0,96100.0
2021-01-13,101.4,43.06,16.31,26.58,8.74,-2.07,-1.03,2.54,63.6,4.72,0.0,96.06,101400.0,96060.0
2021-01-14,101.37,34.65,15.71,26.78,7.25,-2.85,-0.35,3.04,83.1,3.53,0.0,96.03,101370.0,96030.0
2021-01-15,101.21,28.58,16.72,29.11,6.52,-1.7,0.71,2.83,112.6,3.04,0.0,95.86,101210.0,95860.0
2021-01-16,101.1,29.84,18.84,29.78,9.81,-1.75,0.14,2.45,94.5,4.1,0.0,95.74,101100.0,95740.0
2021-01-17,101.16,35.85,20.56,30.65,12.27,-1.9,1.49,2.62,128.1,5.74,0.0,95.81,101160.0,95810.0
2021-01-18,101.23,45.83,21.42,30.26,13.82,0.33,2.64,3.31,187.2,7.42,0.0,95.88,101230.0,95880.0
2021-01-19,101.15,49.34,20.9,29.81,14.66,2.1,-0.06,3.74,271.7,7.61,0.0,95.79,101150.0,95790.0
2021-01-20,101.36,43.29,18.8,28.25,11.52,-1.27,-1.51,2.51,40.0,5.65,0.0,95.95,101360.0,95950.0
