date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.38,69.89,15.02,22.29,9.2,-0.39,0.33,1.17,130.2,7.93,0.0,90.89,101380.0,90890.0
2021-01-02,101.32,66.19,14.74,21.76,10.28,-0.08,0.15,1.1,151.8,7.44,0.0,90.87,101320.0,90870.0
2021-01-03,101.16,63.21,15.05,22.27,8.45,-1.08,0.73,1.47,123.9,7.3,0.0,90.76,101160.0,90760.0
2021-01-04,101.2,66.37,15.87,23.66,8.1,-0.88,0.77,1.44,131.2,7.87,0.0,90.83,101200.0,90830.0
2021-01-05,101.21,59.68,16.78,23.7,10.64,-0.22,0.36,1.17,148.2,7.61,0.0,90.83,101210.0,90830.0
2021-01-06,101.07,58.11,17.13,24.15,12.9,0.18,0.07,1.19,248.4,7.62,0.0,90.67,101070.0,90670.0
2021-01-07,101.07,69.13,16.41,23.34,11.98,0.76,-0.22,1.05,286.1,8.67,0.0,90.62,101070.0,90620.0
2021-01-08,101.09,61.52,15.32,22.82,10.14,0.18,-0.23,1.02,321.8,6.93,0.0,90.62,101090.0,90620.0
2021-01-09,100.99,57.62,14.96,22.84,9.6,0.42,0.01,1.02,268.6,6.36,0.0,90.57,100990.0,90570.0
2021-01-10,100.99,71.09,14.39,21.88,9.56,0.76,-0.17,1.0,282.3,7.67,0.0,90.56,100990.0,90560.0
2021-01-11,101.25,81.85,14.91,22.12,9.58,0.45,-0.31,0.99,304.2,9.28,0.0,90.72,101250.0,90720.0
2021-01-12,101.31,82.43,14.68,20.64,10.37,0.4,0.34,1.11,229.3,9.27,0.0,90.72,101310.0,90720.0
2021-01-13,101.3,79.64,13.65,20.32,8.56,0.65,-0.05,0.93,274.6,8.26,0.0,90.72,101300.0,90720.0
2021-01-14,101.31,73.5,12.44,19.87,7.33,0.39,-0.4,0.97,315.8,6.94,0.0,90.72,101310.0,90720.0
2021-01-15,101.09,72.94,12.84,20.52,7.65,0.0,0.25,1.14,180.6,7.19,0.0,90.57,101090.0,90570.0
2021-01-16,101.02,78.64,13.28,20.62,8.12,0.15,0.0,1.03,268.4,8.01,0.0,90.49,101020.0,90490.0
2021-01-17,101.39,74.81,14.33,21.12,9.77,-1.16,0.34,1.35,106.6,8.14,0.0,90.79,101390.0,90790.0
2021-01-18,101.37,76.91,14.21,21.69,7.57,-0.91,0.74,1.54,129.2,8.3,0.0,90.78,101370.0,90780.0
2021-01-19,101.19,81.74,12.84,19.21,9.32,1.12,0.19,1.23,260.6,8.09,0.01,90.57,101190.0,90570.0
2021-01-20,101.26,86.89,12.02,17.19,8.38,1.39,-0.03,1.41,271.2,8.28,2.04,90.58,101260.0,90580.0
2021-01-21,101.35,78.17,12.26,17.74,8.88,1.23,-0.33,1.56,284.9,7.48,2.16,90.63,101350.0,90630.0
2021-01-22,101.25,70.83,12.7,20.45,5.08,-0.77,0.04,1.07,93.1,6.9,0.0,90.66,101250.0,90660.0
2021-01-23,101.16,71.78,12.84,20.33,8.1,0.3,0.29,0.98,225.6,6.99,0.0,90.58,101160.0,90580.0
2021-01-24,101.22,75.2,12.67,21.26,7.2,0.62,-0.28,1.19,294.3,7.07,0.0,90.7,101220.0,90700.0
2021-01-25,101.33,67.92,12.85,21.34,6.48,0.17,-0.45,1.31,339.3,6.41,0.0,90.78,101330.0,90780.0
2021-01-26,101.27,59.46,12.88,21.41,6.89,0.3,-0.54,1.32,330.6,5.6,0.0,90.73,101270.0,90730.0
2021-01-27,101.28,56.4,13.76,22.5,7.07,-0.05,-0.47,1.13,6.0,5.74,0.0,90.75,101280.0,90750.0
2021-01-28,101.34,59.59,15.38,23.94,8.83,-0.37,-0.01,1.3,88.4,6.92,0.0,90.8,101340.0,90800.0
2021-01-29,101.3,59.21,14.86,23.25,9.67,0.21,0.02,1.31,265.3,6.43,0.0,90.74,101300.0,90740.0
2021-01-30,101.42,69.38,12.58,19.92,7.32,1.48,-0.24,1.53,279.1,6.59,0.03,90.72,101420.0,90720.0
2021-01-31,101.53,70.52,12.14,20.12,6.98,1.02,-0.44,1.29,293.4,6.35,0.08,90.82,101530.0,90820.0
2021-02-01,101.59,69.0,11.59,20.44,5.32,0.4,-0.27,1.12,303.7,5.95,0.0,90.9,101590.0,90900.0
2021-02-02,101.54,63.26,13.41,22.66,5.85,-0.21,-0.36,1.05,30.4,6.07,0.0,90.88,101540.0,90880.0
2021-02-03,101.47,55.64,15.44,23.33,10.07,-0.15,-0.2,1.25,36.2,6.38,0.0,90.85,101470.0,90850.0
2021-02-04,101.46,50.29,16.68,24.69,9.86,-0.76,0.27,1.1,109.6,6.17,0.0,90.87,101460.0,90870.0
2021-02-05,101.34,49.71,16.39,24.24,9.33,-0.57,0.53,1.17,132.8,6.11,0.0,90.77,101340.0,90770.0
