date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.19,83.48,11.53,18.7,6.53,0.12,0.11,1.76,228.8,7.87,0.0,87.92,101190.0,87920.0
2021-01-02,101.14,77.4,11.7,18.22,6.98,0.38,0.23,1.42,238.9,7.44,0.0,87.89,101140.0,87890.0
2021-01-03,100.98,71.81,12.71,19.66,7.09,0.55,-0.31,1.41,299.1,7.34,0.0,87.79,100980.0,87790.0
2021-01-04,101.05,71.14,14.08,21.3,9.12,0.78,0.19,1.64,256.1,8.02,0.0,87.88,101050.0,87880.0
2021-01-05,101.07,74.63,14.21,21.71,9.67,1.92,-0.11,2.06,273.4,8.42,0.0,87.88,101070.0,87880.0
2021-01-06,100.97,76.08,14.06,21.39,9.46,2.28,0.31,2.37,262.4,8.75,0.0,87.74,100970.0,87740.0
2021-01-07,100.97,82.51,13.12,20.38,8.64,2.3,0.29,2.48,262.7,8.88,0.0,87.67,100970.0,87670.0
2021-01-08,100.96,80.63,12.36,19.32,8.02,1.84,-0.34,2.06,280.4,8.05,0.0,87.69,100960.0,87690.0
2021-01-09,100.85,79.55,12.52,20.15,8.53,1.66,0.13,1.88,265.4,8.1,0.0,87.62,100850.0,87620.0
2021-01-10,100.85,86.68,12.37,18.7,7.6,2.17,0.97,2.51,246.0,9.06,0.0,87.6,100850.0,87600.0
2021-01-11,101.11,86.76,12.68,19.05,7.8,1.72,0.17,2.08,264.3,9.17,0.0,87.76,101110.0,87760.0
2021-01-12,101.18,86.84,11.54,17.54,7.82,1.06,0.09,1.6,265.2,8.35,0.0,87.76,101180.0,87760.0
2021-01-13,101.11,86.18,10.13,15.99,5.95,0.13,0.26,1.34,207.6,7.51,0.0,87.75,101110.0,87750.0
2021-01-14,101.13,86.86,10.18,16.4,5.4,-0.53,-0.27,1.52,63.4,7.63,0.0,87.76,101130.0,87760.0
2021-01-15,100.75,85.09,10.54,17.31,5.86,-0.08,0.06,1.36,124.6,7.65,0.0,87.6,100750.0,87600.0
2021-01-16,100.75,86.2,11.25,17.05,7.45,0.41,-0.06,1.0,278.4,8.1,0.0,87.51,100750.0,87510.0
2021-01-17,101.21,86.19,10.67,17.05,6.49,-1.76,-1.09,2.16,58.3,7.96,0.0,87.85,101210.0,87850.0
2021-01-18,101.2,87.94,12.17,18.26,7.78,-0.6,0.59,2.23,134.6,8.88,0.0,87.85,101200.0,87850.0
2021-01-19,101.06,90.0,10.63,14.75,7.87,1.42,1.83,2.34,217.8,8.22,0.06,87.59,101060.0,87590.0
2021-01-20,101.18,92.39,10.35,13.89,7.52,1.51,1.86,2.44,219.0,8.29,2.72,87.58,101180.0,87580.0
2021-01-21,101.22,84.27,9.86,15.51,5.11,1.14,-0.15,2.08,277.7,7.23,0.38,87.64,101220.0,87640.0
2021-01-22,101.09,81.54,10.8,17.66,5.13,-0.74,-0.91,1.74,39.3,7.4,0.01,87.73,101090.0,87730.0
2021-01-23,100.84,83.22,10.73,16.75,6.47,0.06,0.21,1.64,195.7,7.53,0.0,87.62,100840.0,87620.0
2021-01-24,100.97,84.03,10.98,17.44,6.55,1.53,0.04,1.66,268.5,7.74,0.0,87.7,100970.0,87700.0
2021-01-25,101.19,79.97,9.82,17.96,3.88,0.65,-0.9,1.91,324.1,6.72,0.0,87.82,101190.0,87820.0
2021-01-26,101.15,74.8,10.19,17.67,5.57,0.69,-1.02,1.67,326.0,6.32,0.0,87.78,101150.0,87780.0
2021-01-27,101.23,69.29,10.3,18.06,4.2,-0.02,-1.12,1.61,1.0,5.97,0.0,87.81,101230.0,87810.0
2021-01-28,101.27,73.88,11.12,18.97,4.3,-0.82,-0.76,1.67,47.1,6.67,0.0,87.91,101270.0,87910.0
2021-01-29,101.32,70.61,11.73,19.53,5.7,0.81,0.32,1.56,248.4,6.67,0.0,87.86,101320.0,87860.0
2021-01-30,101.46,70.86,8.77,15.82,3.83,2.89,0.55,3.1,259.3,5.59,0.0,87.78,101460.0,87780.0
2021-01-31,101.42,66.67,8.75,15.47,3.46,-0.24,-0.12,1.7,63.8,5.36,0.0,87.85,101420.0,87850.0
2021-02-01,101.48,73.72,8.8,16.55,4.09,0.17,-0.8,1.76,348.3,5.75,0.0,87.95,101480.0,87950.0
2021-02-02,101.46,71.9,9.43,18.02,3.34,-0.2,-1.68,1.95,6.7,5.8,0.0,87.96,101460.0,87960.0
2021-02-03,101.42,72.17,11.29,19.32,5.94,0.09,-1.26,1.72,355.8,6.61,0.0,87.96,101420.0,87960.0
2021-02-04,101.42,71.02,12.7,19.76,7.37,-1.01,-1.27,1.64,38.7,7.2,0.0,88.01,101420.0,88010.0
2021-02-05,101.37,70.45,13.09,19.72,9.0,-0.02,-0.27,1.52,4.2,7.32,0.0,87.92,101370.0,87920.0
2021-02-06,101.37,74.76,12.61,19.39,6.94,0.57,-1.22,1.68,334.9,7.56,0.0,87.8,101370.0,87800.0
2021-02-07,101.59,81.16,9.9,15.48,5.9,0.56,-0.95,1.7,329.7,7.05,1.26,87.92,101590.0,87920.0
2021-02-08,101.47,68.39,11.57,19.91,5.4,-0.44,-2.62,2.7,9.6,6.41,0.0,87.96,101470.0,87960.0
2021-02-09,101.29,47.33,14.51,22.59,9.09,0.61,-0.31,1.56,297.3,5.41,0.0,87.88,101290.0,87880.0
2021-02-10,101.14,51.37,13.89,20.76,10.26,0.99,0.5,1.54,243.1,5.67,0.0,87.75,101140.0,87750.0
2021-02-11,101.09,63.87,12.19,18.53,7.83,1.6,-0.03,1.85,271.2,6.37,0.0,87.72,101090.0,87720.0
2021-02-12,101.19,66.74,12.33,20.08,7.5,0.83,-1.11,1.88,323.2,6.55,0.0,87.81,101190.0,87810.0
2021-02-13,101.21,66.36,13.31,20.0,8.99,0.52,-0.73,1.33,324.5,7.06,0.0,87.85,101210.0,87850.0
2021-02-14,101.21,74.6,12.68,19.84,7.89,0.98,-0.57,1.74,300.2,7.58,0.0,87.82,101210.0,87820.0
2021-02-15,101.17,72.29,11.94,18.61,7.36,1.98,-0.03,2.16,270.8,7.0,0.0,87.74,101170.0,87740.0
2021-02-16,101.17,57.69,12.83,19.87,8.29,1.64,-0.19,1.8,276.5,5.98,0.0,87.75,101170.0,87750.0
2021-02-17,101.35,64.0,14.11,21.52,7.52,0.91,-0.79,1.99,310.9,7.22,0.0,87.91,101350.0,87910.0
2021-02-18,101.67,70.18,15.35,21.51,11.25,1.36,0.05,2.19,267.7,8.47,0.0,88.13,101670.0,88130.0
2021-02-19,101.72,63.06,14.82,20.99,10.11,1.1,-0.42,1.86,290.8,7.3,0.0,88.2,101720.0,88200.0
2021-02-20,101.71,69.5,14.0,19.41,10.16,1.21,-0.51,1.79,292.7,7.73,0.0,88.16,101710.0,88160.0
2021-02-21,101.45,58.43,14.05,21.49,8.7,1.34,-0.45,1.77,288.4,6.43,0.0,88.05,101450.0,88050.0
2021-02-22,101.33,56.31,14.7,21.74,9.36,0.68,-0.37,1.65,298.7,6.63,0.0,87.94,101330.0,87940.0
2021-02-23,101.21,54.99,14.75,21.68,9.87,0.92,-0.18,1.7,281.3,6.4,0.0,87.78,101210.0,87780.0
2021-02-24,100.99,61.43,13.88,20.86,9.02,2.17,0.21,2.37,264.5,6.72,0.0,87.62,100990.0,87620.0
2021-02-25,100.93,72.75,12.98,19.5,7.68,2.85,0.62,3.01,257.8,7.61,0.14,87.53,100930.0,87530.0
2021-02-26,100.85,64.67,14.45,21.15,8.72,2.53,0.61,2.71,256.4,7.41,1.16,87.45,100850.0,87450.0
2021-02-27,100.91,66.06,14.82,20.64,9.8,2.33,0.99,2.57,247.0,7.88,0.0,87.45,100910.0,87450.0
2021-02-28,101.05,63.46,15.48,20.74,11.05,2.13,1.44,2.65,236.1,7.91,0.0,87.56,101050.0,87560.0
2021-03-01,101.28,66.44,15.72,21.55,11.52,2.76,1.45,3.16,242.2,8.46,0.0,87.8,101280.0,87800.0
2021-03-02,101.33,60.62,14.85,21.23,10.14,2.76,0.96,2.99,250.8,7.21,0.0,87.84,101330.0,87840.0
2021-03-03,101.38,59.5,15.78,21.01,10.57,1.49,0.36,1.79,256.5,7.59,0.0,87.82,101380.0,87820.0
2021-03-04,101.26,54.64,13.74,20.26,8.76,2.76,0.61,2.93,257.6,5.88,0.0,87.73,101260.0,87730.0
2021-03-05,101.26,60.78,13.75,19.89,8.43,2.47,2.02,3.28,230.8,6.82,8.54,87.71,101260.0,87710.0
2021-03-06,101.28,80.77,14.56,20.74,8.9,1.71,1.75,2.72,224.3,9.48,13.53,87.78,101280.0,87780.0
2021-03-07,101.4,76.76,14.95,20.78,9.67,0.49,0.83,1.92,210.7,9.07,2.8,87.89,101400.0,87890.0
2021-03-08,101.47,70.32,15.48,21.43,11.53,1.07,-0.01,1.87,270.7,8.57,5.43,87.97,101470.0,87970.0
2021-03-09,101.36,84.19,15.44,20.35,11.2,2.14,1.7,2.85,231.4,10.43,5.31,87.91,101360.0,87910.0
2021-03-10,101.41,73.61,16.36,22.61,11.7,2.39,1.25,2.74,242.4,9.54,2.01,87.94,101410.0,87940.0
2021-03-11,101.5,76.63,16.28,22.21,11.69,2.26,0.9,2.56,248.3,9.85,0.04,88.04,101500.0,88040.0
2021-03-12,101.57,63.97,17.27,23.9,12.15,2.44,-0.41,2.56,279.5,8.64,0.0,88.13,101570.0,88130.0
2021-03-13,101.4,67.05,16.64,23.88,10.75,2.97,-1.01,3.16,288.8,8.81,0.01,88.05,101400.0,88050.0
2021-03-14,101.23,71.04,15.86,22.91,10.56,3.0,-0.26,3.12,275.0,8.87,0.14,87.81,101230.0,87810.0
2021-03-15,101.05,76.52,15.71,21.67,11.04,2.52,-0.75,2.66,286.5,9.55,0.0,87.74,101050.0,87740.0
2021-03-16,101.01,68.24,15.53,23.09,9.93,2.6,-0.36,2.75,277.8,8.28,0.0,87.76,101010.0,87760.0
2021-03-17,101.07,59.27,15.63,22.93,9.19,2.68,-0.46,2.75,279.7,7.18,0.0,87.74,101070.0,87740.0
2021-03-18,101.02,56.35,16.53,23.81,10.69,2.45,-0.17,2.58,273.9,7.27,0.0,87.76,101020.0,87760.0
2021-03-19,100.9,64.47,17.36,24.13,11.53,2.18,-0.63,2.3,286.1,8.98,0.0,87.68,100900.0,87680.0
