date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.44,84.85,15.94,22.16,9.96,-0.82,0.13,1.32,99.2,10.06,0.0,96.58,101440.0,96580.0
2021-01-02,101.41,82.27,15.75,21.72,10.25,-0.73,-0.01,1.28,89.5,9.4,0.0,96.57,101410.0,96570.0
2021-01-03,101.24,77.73,16.12,22.17,10.33,-0.73,0.25,1.21,108.6,9.11,0.0,96.43,101240.0,96430.0
2021-01-04,101.28,76.67,17.08,23.23,11.31,-0.76,0.25,1.2,108.0,9.65,0.0,96.48,101280.0,96480.0
2021-01-05,101.29,77.9,17.55,23.62,11.84,-0.85,0.17,1.22,101.4,10.08,0.0,96.49,101290.0,96490.0
2021-01-06,101.12,75.87,18.48,24.28,12.95,-0.63,-0.04,1.02,86.1,10.46,0.0,96.32,101120.0,96320.0
2021-01-07,101.1,81.55,18.13,24.2,13.12,-0.7,-0.21,1.3,73.7,10.94,0.0,96.27,101100.0,96270.0
2021-01-08,101.1,82.47,17.56,23.57,12.55,-0.72,-0.6,1.3,50.3,10.62,0.0,96.26,101100.0,96260.0
2021-01-09,101.09,76.63,16.67,22.55,11.43,-0.61,-0.15,1.15,76.3,9.29,0.0,96.26,101090.0,96260.0
2021-01-10,101.11,83.64,16.64,21.86,11.52,-0.45,0.08,1.09,100.4,10.16,0.0,96.28,101110.0,96280.0
2021-01-11,101.27,88.13,17.33,23.09,12.69,-0.51,-0.34,1.2,56.1,11.38,0.0,96.4,101270.0,96400.0
2021-01-12,101.35,88.83,17.16,22.21,13.46,0.16,-0.56,1.1,344.0,11.37,0.0,96.44,101350.0,96440.0
2021-01-13,101.38,85.11,15.39,20.81,11.32,0.11,-0.8,1.06,352.4,9.49,0.0,96.47,101380.0,96470.0
2021-01-14,101.4,82.71,13.94,19.85,9.0,-0.19,-0.62,1.17,17.3,8.39,0.0,96.49,101400.0,96490.0
2021-01-15,101.23,82.74,13.86,19.75,9.11,-0.23,0.04,1.19,99.2,8.36,0.0,96.33,101230.0,96330.0
2021-01-16,101.12,83.55,13.78,20.02,8.57,-0.23,-0.34,1.23,34.5,8.46,0.0,96.24,101120.0,96240.0
2021-01-17,101.38,83.34,14.42,21.23,8.69,-0.26,-0.62,1.21,23.2,8.69,0.0,96.48,101380.0,96480.0
2021-01-18,101.4,83.23,15.54,22.48,9.78,-0.36,0.11,1.32,107.1,9.38,0.0,96.49,101400.0,96490.0
2021-01-19,101.32,84.21,14.99,20.0,11.48,0.08,0.79,1.08,186.0,9.33,0.0,96.39,101320.0,96390.0
2021-01-20,101.32,86.48,15.12,20.51,9.27,-0.26,0.71,1.15,160.1,9.68,1.83,96.38,101320.0,96380.0
2021-01-21,101.33,89.44,16.42,21.81,12.07,0.12,0.01,1.01,263.1,10.75,1.23,96.37,101330.0,96370.0
2021-01-22,101.34,76.12,14.63,20.82,8.88,-0.26,-0.35,1.13,37.4,8.03,0.0,96.41,101340.0,96410.0
2021-01-23,101.27,78.53,14.02,20.1,8.61,-0.34,0.26,1.2,128.2,7.9,0.0,96.37,101270.0,96370.0
2021-01-24,101.34,78.86,14.16,21.12,7.73,-0.39,-0.12,1.19,72.7,8.11,0.0,96.47,101340.0,96470.0
2021-01-25,101.42,77.3,14.17,21.52,8.24,-0.35,-0.72,1.33,26.0,7.92,0.0,96.54,101420.0,96540.0
2021-01-26,101.34,75.82,14.17,21.54,8.05,-0.4,-0.96,1.49,22.7,7.59,0.0,96.48,101340.0,96480.0
2021-01-27,101.35,74.22,14.4,21.79,7.47,-0.27,-0.81,1.32,18.3,7.58,0.0,96.49,101350.0,96490.0
2021-01-28,101.42,72.69,14.95,22.53,8.31,-0.37,-0.2,1.16,61.6,7.62,0.0,96.55,101420.0,96550.0
2021-01-29,101.41,65.84,14.98,21.75,8.07,-0.47,0.21,1.19,114.3,6.94,0.0,96.52,101410.0,96520.0
2021-01-30,101.46,72.1,15.06,22.02,8.94,-0.14,-0.29,1.3,26.0,7.85,0.0,96.51,101460.0,96510.0
2021-01-31,101.62,65.99,14.02,19.85,9.62,0.14,-0.45,1.11,342.6,6.53,0.0,96.66,101620.0,96660.0
2021-02-01,101.71,63.18,12.46,19.75,5.61,-0.16,-0.42,1.39,20.6,5.69,0.0,96.76,101710.0,96760.0
2021-02-02,101.58,66.4,13.84,22.0,6.1,-0.34,-0.96,1.55,19.6,6.51,0.0,96.65,101580.0,96650.0
2021-02-03,101.47,63.7,15.97,23.77,8.72,-0.35,-0.95,1.44,20.4,7.24,0.0,96.57,101470.0,96570.0
2021-02-04,101.46,60.83,17.25,25.23,9.33,-0.36,0.07,1.34,101.7,7.37,0.0,96.57,101460.0,96570.0
2021-02-05,101.38,63.69,16.77,24.58,9.5,-0.4,0.54,1.45,143.5,7.38,0.0,96.49,101380.0,96490.0
2021-02-06,101.29,62.08,16.83,23.96,9.12,-0.32,-0.21,1.32,57.0,7.32,0.0,96.38,101290.0,96380.0
2021-02-07,101.48,69.66,16.61,22.24,12.34,0.03,-0.88,1.24,358.1,8.39,0.0,96.52,101480.0,96520.0
2021-02-08,101.42,70.8,16.84,24.03,10.33,-0.3,-1.05,1.55,16.2,8.39,0.0,96.48,101420.0,96480.0
2021-02-09,101.33,61.91,18.29,26.14,10.88,-0.41,-0.72,1.42,29.8,8.04,0.0,96.45,101330.0,96450.0
2021-02-10,101.22,58.25,18.98,26.42,12.55,-0.23,0.02,1.26,95.6,7.96,0.0,96.34,101220.0,96340.0
2021-02-11,101.27,56.01,17.69,23.82,12.32,-0.33,0.09,1.26,104.6,7.11,0.0,96.39,101270.0,96390.0
2021-02-12,101.3,57.32,17.51,25.26,10.8,-0.48,-0.58,1.45,39.8,7.13,0.0,96.42,101300.0,96420.0
