date,TMP2m,TMP2m_max,TMP2m_min,RH2m,PRCP,WS,WD,U10m,V10m,QV2m,PRmsl,SLP,PS,PS_Pa
2026-03-31,,,,,0.0,,0.0,,,,,,,
2026-04-01,,,,,0.0,,0.0,,,,,,,
2026-04-02,,,,,0.0,,0.0,,,,,,,
2026-04-03,,,,,0.0,,0.0,,,,,,,
2026-04-04,,,,,0.0,,0.0,,,,,,,
2026-04-05,,,,,0.0,,0.0,,,,,,,
2026-04-06,,,,,0.0,,0.0,,,,,,,
2026-04-07,,,,,0.0,,0.0,,,,,,,
2026-04-08,,,,,0.0,,0.0,,,,,,,
2026-04-09,,,,,0.0,,0.0,,,,,,,
2026-04-10,,,,,0.0,,0.0,,,,,,,
2026-04-11,,,,,0.0,,0.0,,,,,,,
2026-04-12,,,,,0.0,,0.0,,,,,,,
2026-04-13,,,,,0.0,,0.0,,,,,,,
2026-04-14,,,,,0.0,,0.0,,,,,,,
2026-04-15,,,,,0.0,,0.0,,,,,,,
2026-04-16,,,,,0.0,,0.0,,,,,,,
2026-04-17,,,,,0.0,,0.0,,,,,,,
2026-04-18,,,,,0.0,,0.0,,,,,,,
2026-04-19,30.5,30.5,30.5,,0.0,2.1944,0.0,-0.0,-2.1944,,,,,
2026-04-20,31.55,34.5,28.6,42.0,0.0,6.3056,301.0,5.4049,-3.2476,12.1237,100800.0,1008.0,1007.0,100700.0
2026-04-21,31.35,35.2,27.5,41.0,2.1,7.7222,325.0,4.4293,-6.3257,11.7051,100740.0,1007.4,1006.4,100640.0
2026-04-22,32.95,36.1,29.8,41.0,0.0,9.1944,318.0,6.1523,-6.8328,12.8226,100750.0,1007.5,1006.5,100650.0
2026-04-23,32.95,36.7,29.2,37.0,0.1,9.0,319.0,5.9045,-6.7924,11.5697,100690.0,1006.9,1005.9,100590.0
2026-04-24,33.45,36.8,30.1,38.0,0.0,7.2222,323.0,4.3464,-5.7679,12.2308,100650.0,1006.5,1005.5,100550.0
2026-04-25,34.95,39.3,30.6,34.0,0.0,8.4167,324.0,4.9472,-6.8092,11.8962,100660.0,1006.6,1005.5,100550.0
2026-04-26,33.65,36.3,31.0,43.0,0.0,6.0833,286.0,5.8477,-1.6768,14.007,100680.0,1006.8,1005.8,100580.0
2026-04-27,31.1,33.7,28.5,60.0,0.0,6.0,221.0,3.9364,4.5283,16.9575,100650.0,1006.5,1005.4,100540.0
2026-04-28,32.45,35.6,29.3,49.0,0.0,5.1667,268.0,5.1635,0.1803,14.9292,100670.0,1006.7,1005.7,100570.0
2026-04-29,31.8,34.4,29.2,52.0,0.0,5.6944,253.0,5.4456,1.6649,15.2646,100730.0,1007.3,1006.3,100630.0
2026-04-30,30.95,33.1,28.8,58.0,0.0,5.4722,229.0,4.1299,3.5901,16.2129,100850.0,1008.5,1007.4,100740.0
2026-05-01,30.65,32.9,28.4,65.0,0.0,6.0556,218.0,3.7282,4.7718,17.8677,100900.0,1009.0,1008.0,100800.0
2026-05-02,30.8,33.1,28.5,66.0,0.0,5.6389,223.0,3.8457,4.124,18.324,100790.0,1007.9,1006.9,100690.0
2026-05-03,31.05,33.3,28.8,62.0,0.0,5.3333,222.0,3.5687,3.9634,17.4519,100790.0,1007.9,1006.9,100690.0
2026-05-04,30.5,32.5,28.5,69.0,0.0,5.0833,217.0,3.0592,4.0597,18.8441,100760.0,1007.6,1006.5,100650.0
2026-05-05,30.15,30.5,29.8,74.0,0.0,4.1111,244.0,3.695,1.8022,19.8034,100830.0,1008.3,1007.3,100730.0
2026-05-06,29.6,30.2,29.0,74.0,0.0,5.4167,306.0,4.3822,-3.1838,19.1944,100750.0,1007.5,1006.5,100650.0
2026-05-07,30.4,33.8,27.0,74.0,0.0,4.0833,316.0,2.8365,-2.9373,20.1276,100660.0,1006.6,1005.6,100560.0
2026-05-08,31.35,35.1,27.6,73.0,0.0,5.0833,316.0,3.5312,-3.6566,20.9593,100730.0,1007.3,1006.3,100630.0
2026-05-09,32.1,36.3,27.9,66.0,0.0,4.8333,307.0,3.8601,-2.9088,19.758,100740.0,1007.4,1006.4,100640.0
2026-05-10,31.75,36.2,27.3,65.0,0.0,5.0556,315.0,3.5748,-3.5748,19.0952,100610.0,1006.1,1005.0,100500.0
2026-05-11,33.4,37.9,28.9,63.0,0.0,5.8056,295.0,5.2616,-2.4535,20.3335,100580.0,1005.8,1004.8,100480.0
2026-05-12,31.45,34.5,28.4,71.0,0.0,4.9167,287.0,4.7018,-1.4375,20.5413,100510.0,1005.1,1004.1,100410.0
2026-05-13,31.35,33.2,29.5,74.0,0.0,4.1667,245.0,3.7763,1.7609,21.3016,100490.0,1004.9,1003.9,100390.0
2026-05-14,31.4,33.6,29.2,70.0,0.0,4.6944,281.0,4.6082,-0.8957,20.2024,100450.0,1004.5,1003.5,100350.0
2026-05-15,31.05,33.0,29.1,72.0,0.0,4.1667,296.0,3.745,-1.8265,20.3444,100580.0,1005.8,1004.8,100480.0
2026-05-16,31.35,33.9,28.8,70.0,0.0,5.1944,319.0,3.4079,-3.9203,20.132,100510.0,1005.1,1004.1,100410.0
2026-05-17,31.0,33.4,28.6,73.0,0.0,4.8889,303.0,4.1002,-2.6627,20.5731,100570.0,1005.7,1004.7,100470.0
2026-05-18,30.8,33.4,28.2,74.0,0.0,4.6944,286.0,4.5126,-1.294,20.6247,100540.0,1005.4,1004.4,100440.0
2026-05-19,30.45,32.6,28.3,71.0,0.0,4.0278,258.0,3.9398,0.8374,19.36,100650.0,1006.5,1005.5,100550.0
2026-05-20,30.85,33.1,28.6,67.0,0.1,3.8056,247.0,3.503,1.4869,18.6774,100690.0,1006.9,1005.9,100590.0
2026-05-21,31.7,33.9,29.5,66.0,0.0,4.4167,276.0,4.3925,-0.4617,19.3231,100680.0,1006.8,1005.7,100570.0
2026-05-22,31.5,33.5,29.5,71.0,1.9,3.3333,228.0,2.4771,2.2304,20.5198,100900.0,1009.0,1008.0,100800.0
2026-05-23,31.55,33.5,29.6,69.0,1.2,3.0278,250.0,2.8452,1.0356,19.9782,100970.0,1009.7,1008.7,100870.0
2026-05-24,31.85,34.0,29.7,69.0,3.0,4.25,257.0,4.1411,0.956,20.3177,101010.0,1010.1,1009.1,100910.0
