date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.33,70.28,12.62,19.54,6.71,0.23,0.72,0.87,197.8,7.22,0.0,86.68,101330.0,86680.0
2021-01-02,101.25,67.64,12.6,18.88,7.42,0.28,0.68,0.85,202.6,7.04,0.0,86.64,101250.0,86640.0
2021-01-03,101.12,70.37,12.34,19.5,6.38,-0.21,1.05,1.12,168.9,7.19,0.0,86.56,101120.0,86560.0
2021-01-04,101.17,69.45,13.48,20.85,7.65,0.08,0.94,1.08,184.7,7.61,0.0,86.63,101170.0,86630.0
2021-01-05,101.18,63.35,14.29,20.84,9.52,0.51,0.6,0.95,220.3,7.35,0.0,86.64,101180.0,86640.0
2021-01-06,101.08,61.03,14.65,21.01,10.35,0.7,0.41,1.01,239.4,7.31,0.0,86.47,101080.0,86470.0
2021-01-07,101.07,70.85,13.71,20.75,8.86,0.91,-0.12,1.0,277.5,7.91,0.0,86.4,101070.0,86400.0
2021-01-08,101.07,63.98,12.71,19.46,7.96,0.45,0.01,0.68,269.3,6.56,0.0,86.42,101070.0,86420.0
2021-01-09,100.97,54.12,12.79,19.54,8.18,0.53,0.32,0.82,238.7,5.67,0.0,86.35,100970.0,86350.0
2021-01-10,100.94,68.07,12.22,19.54,7.8,0.97,-0.15,1.08,278.8,6.88,0.0,86.32,100940.0,86320.0
2021-01-11,101.27,81.28,12.09,19.26,7.16,0.46,-0.05,0.75,275.8,8.06,0.0,86.49,101270.0,86490.0
2021-01-12,101.31,85.14,11.67,17.05,7.77,0.45,0.79,1.12,209.7,8.37,0.04,86.48,101310.0,86480.0
2021-01-13,101.27,80.44,11.44,17.99,6.6,0.62,0.28,0.88,245.9,7.63,0.0,86.46,101270.0,86460.0
2021-01-14,101.21,76.68,10.21,17.01,5.42,0.35,0.05,0.52,262.4,6.64,0.0,86.47,101210.0,86470.0
2021-01-15,100.91,75.11,10.61,17.72,5.46,0.37,0.62,0.96,210.8,6.82,0.0,86.32,100910.0,86320.0
2021-01-16,100.94,81.75,11.09,17.48,5.89,0.09,0.29,0.7,197.0,7.7,0.0,86.25,100940.0,86250.0
2021-01-17,101.39,82.8,11.33,17.37,6.75,-0.68,0.69,1.04,135.8,7.87,0.0,86.58,101390.0,86580.0
2021-01-18,101.33,84.3,10.88,17.85,5.52,-0.72,1.0,1.41,144.3,7.83,0.1,86.57,101330.0,86570.0
2021-01-19,101.15,79.95,10.85,17.47,5.27,0.67,0.68,1.35,224.8,7.35,0.32,86.28,101150.0,86280.0
2021-01-20,101.25,84.65,9.61,16.01,4.7,1.08,0.19,1.21,259.8,7.22,2.5,86.29,101250.0,86290.0
2021-01-21,101.37,80.52,9.41,15.28,5.09,1.12,-0.05,1.38,272.8,6.66,0.98,86.35,101370.0,86350.0
2021-01-22,101.15,79.61,10.21,17.83,3.98,-0.62,0.37,0.78,120.4,6.93,0.0,86.44,101150.0,86440.0
2021-01-23,100.99,75.91,10.8,17.76,6.27,0.23,0.49,0.75,205.2,6.92,0.0,86.32,100990.0,86320.0
2021-01-24,101.11,78.94,10.25,18.48,4.91,0.53,-0.3,1.12,299.4,6.82,0.0,86.44,101110.0,86440.0
2021-01-25,101.27,73.65,10.17,18.01,4.35,0.23,0.03,0.83,263.2,6.35,0.0,86.54,101270.0,86540.0
2021-01-26,101.22,65.86,10.51,18.13,4.98,0.5,-0.03,0.89,273.3,5.81,0.0,86.49,101220.0,86490.0
2021-01-27,101.31,62.62,11.25,18.95,5.07,0.06,0.2,0.85,198.0,5.88,0.0,86.53,101310.0,86530.0
2021-01-28,101.35,67.38,12.95,20.41,6.62,-0.21,0.64,0.88,162.3,7.11,0.0,86.6,101350.0,86600.0
2021-01-29,101.32,61.46,12.98,19.89,7.84,0.34,0.61,1.04,209.5,6.47,0.08,86.5,101320.0,86500.0
2021-01-30,101.41,68.68,10.07,17.64,4.66,1.57,-0.19,1.62,276.8,5.88,0.35,86.42,101410.0,86420.0
2021-01-31,101.53,74.78,10.09,17.63,4.63,0.49,-0.64,0.98,322.5,6.35,0.38,86.52,101530.0,86520.0
2021-02-01,101.6,74.88,9.89,17.88,4.34,0.17,-0.24,0.98,324.7,6.28,0.0,86.62,101600.0,86620.0
2021-02-02,101.57,71.29,11.17,19.17,4.12,-0.14,0.02,0.57,96.5,6.5,0.0,86.64,101570.0,86640.0
2021-02-03,101.49,62.84,12.78,19.79,7.34,0.02,0.44,0.83,183.1,6.51,0.0,86.64,101490.0,86640.0
2021-02-04,101.5,61.72,13.42,20.8,7.9,-0.3,0.8,0.97,159.4,6.68,0.0,86.68,101500.0,86680.0
2021-02-05,101.4,60.96,13.07,20.43,7.41,-0.51,0.89,1.08,150.3,6.51,0.0,86.57,101400.0,86570.0
2021-02-06,101.32,67.76,13.03,19.99,7.94,0.24,0.32,0.74,216.6,7.17,0.05,86.41,101320.0,86410.0
2021-02-07,101.52,81.42,11.56,18.48,7.14,0.62,-0.91,1.14,325.8,7.67,0.01,86.51,101520.0,86510.0
2021-02-08,101.49,74.35,12.22,19.64,7.37,0.2,-0.86,0.97,346.7,7.25,0.0,86.53,101490.0,86530.0
2021-02-09,101.41,65.55,13.33,21.61,6.85,-0.15,-0.16,0.71,44.8,6.91,0.0,86.57,101410.0,86570.0
2021-02-10,101.25,59.39,14.33,21.39,8.4,0.23,0.65,1.01,199.7,6.78,0.0,86.45,101250.0,86450.0
2021-02-11,101.18,58.2,13.42,20.9,8.21,0.6,0.1,1.08,260.2,6.22,0.0,86.4,101180.0,86400.0
2021-02-12,101.31,64.57,13.48,21.84,7.61,0.21,-0.17,0.82,309.1,6.92,0.0,86.49,101310.0,86490.0
2021-02-13,101.32,63.86,13.67,21.36,8.56,0.43,-0.38,0.74,311.2,6.89,0.0,86.52,101320.0,86520.0
2021-02-14,101.31,64.69,13.49,21.34,7.49,0.53,-0.09,0.88,279.4,6.91,0.0,86.48,101310.0,86480.0
2021-02-15,101.25,69.67,12.81,21.03,7.01,0.7,-0.27,1.02,291.2,7.03,0.02,86.38,101250.0,86380.0
2021-02-16,101.26,73.24,13.01,20.46,6.78,0.49,0.03,0.98,266.8,7.59,1.32,86.41,101260.0,86410.0
2021-02-17,101.4,62.78,14.45,21.77,7.78,0.01,0.22,0.76,183.2,7.09,0.06,86.57,101400.0,86570.0
2021-02-18,101.56,56.33,16.1,22.6,11.3,0.37,0.81,1.08,204.2,7.3,0.0,86.71,101560.0,86710.0
2021-02-19,101.67,68.08,15.56,20.27,12.09,0.03,0.26,0.71,185.9,8.6,0.0,86.82,101670.0,86820.0
2021-02-20,101.67,74.7,14.86,21.52,11.01,0.54,0.16,0.84,254.0,8.85,0.0,86.79,101670.0,86790.0
2021-02-21,101.58,70.1,15.17,22.9,9.03,0.48,-0.42,0.72,311.0,8.17,0.0,86.71,101580.0,86710.0
2021-02-22,101.4,67.06,15.27,23.49,9.06,0.39,-0.35,0.95,311.3,7.98,0.0,86.61,101400.0,86610.0
2021-02-23,101.22,67.75,15.94,22.54,10.89,0.4,-0.02,0.92,272.2,8.65,0.0,86.44,101220.0,86440.0
2021-02-24,101.05,68.91,14.81,22.25,9.49,1.16,-0.28,1.31,283.5,8.08,0.0,86.28,101050.0,86280.0
2021-02-25,100.96,70.86,13.25,20.68,8.21,1.39,-0.47,1.47,288.6,7.54,0.0,86.2,100960.0,86200.0
2021-02-26,100.87,68.08,14.28,21.84,8.6,0.86,-0.29,0.93,288.5,7.65,0.5,86.13,100870.0,86130.0
