date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.59,67.56,17.82,24.43,11.51,-1.02,-1.4,2.05,36.1,8.27,0.0,100.75,101590.0,100750.0
2021-01-02,101.57,68.82,17.71,23.53,11.32,-0.6,-1.44,1.64,22.6,8.52,0.0,100.73,101570.0,100730.0
2021-01-03,101.4,70.64,18.48,25.08,12.58,-0.75,-0.66,1.7,48.4,9.23,0.0,100.57,101400.0,100570.0
2021-01-04,101.44,73.31,18.9,26.14,11.9,-1.05,-0.68,1.95,56.9,9.71,0.0,100.61,101440.0,100610.0
2021-01-05,101.44,77.92,19.37,26.72,12.32,-1.35,-0.73,2.16,61.4,10.67,0.0,100.61,101440.0,100610.0
2021-01-06,101.31,71.96,21.25,27.73,14.36,0.1,-0.52,1.39,349.5,10.96,0.0,100.48,101310.0,100480.0
2021-01-07,101.17,69.13,21.98,28.43,16.41,0.53,0.05,1.37,264.6,11.13,0.0,100.34,101170.0,100340.0
2021-01-08,101.18,72.29,21.99,28.16,16.4,-1.14,-0.25,1.83,77.6,11.67,0.0,100.34,101180.0,100340.0
2021-01-09,101.2,75.24,21.69,27.99,15.62,-1.07,-0.27,1.92,76.0,11.85,0.0,100.37,101200.0,100370.0
2021-01-10,101.22,73.34,22.4,28.58,16.13,0.78,-0.05,1.29,274.0,12.0,0.0,100.38,101220.0,100380.0
2021-01-11,101.31,72.29,22.79,28.74,16.45,0.8,-0.84,1.7,316.5,12.28,0.0,100.47,101310.0,100470.0
2021-01-12,101.41,78.0,22.05,27.74,16.9,-1.38,-0.57,1.93,67.5,12.63,0.0,100.56,101410.0,100560.0
2021-01-13,101.39,79.89,21.12,26.84,15.67,-1.02,-0.34,1.53,71.5,12.23,0.0,100.54,101390.0,100540.0
2021-01-14,101.38,74.11,20.59,26.41,15.35,-0.12,-1.43,1.67,5.0,10.91,0.0,100.53,101380.0,100530.0
2021-01-15,101.3,67.5,18.47,25.46,11.9,-0.16,-1.51,2.07,6.0,8.57,0.0,100.45,101300.0,100450.0
2021-01-16,101.19,61.19,18.42,25.81,10.45,-0.2,-1.6,1.93,7.2,7.73,0.0,100.35,101190.0,100350.0
2021-01-17,101.42,76.94,17.89,25.07,11.73,-2.12,-0.88,2.59,67.5,9.65,0.0,100.58,101420.0,100580.0
2021-01-18,101.5,66.62,18.15,24.81,11.44,-1.31,-0.65,1.73,63.4,8.32,0.0,100.66,101500.0,100660.0
2021-01-19,101.3,68.13,19.63,26.31,12.6,1.06,0.12,1.69,263.6,9.55,0.0,100.45,101300.0,100450.0
2021-01-20,101.21,73.31,21.63,28.94,15.38,2.23,0.39,2.37,260.1,11.37,0.0,100.37,101210.0,100370.0
2021-01-21,101.27,61.48,21.23,28.23,14.69,0.16,-1.55,1.9,353.9,9.2,0.0,100.42,101270.0,100420.0
2021-01-22,101.39,53.85,19.11,26.75,10.91,-0.28,-1.56,1.83,10.2,7.03,0.0,100.54,101390.0,100540.0
2021-01-23,101.31,55.38,19.31,27.3,10.39,0.2,-0.64,1.76,342.6,7.28,0.0,100.47,101310.0,100470.0
2021-01-24,101.34,61.33,20.46,28.52,13.42,0.49,0.03,1.65,266.4,8.82,0.0,100.49,101340.0,100490.0
2021-01-25,101.37,75.18,22.15,28.97,16.7,0.33,0.57,1.51,210.0,12.11,0.0,100.53,101370.0,100530.0
2021-01-26,101.38,81.2,22.1,27.38,18.32,-1.64,0.04,1.85,91.5,13.2,0.02,100.54,101380.0,100540.0
2021-01-27,101.49,76.32,20.51,26.74,15.53,-1.96,-0.44,2.3,77.3,11.09,0.0,100.65,101490.0,100650.0
2021-01-28,101.57,71.33,20.27,27.26,14.55,-1.69,-0.4,2.17,76.8,10.05,0.0,100.72,101570.0,100720.0
2021-01-29,101.52,68.98,20.87,27.37,14.0,-0.94,-0.01,1.34,89.6,10.19,0.14,100.68,101520.0,100680.0
2021-01-30,101.46,67.34,21.38,27.42,16.28,1.17,-1.42,2.07,320.4,10.45,0.01,100.61,101460.0,100610.0
2021-01-31,101.65,51.89,18.81,26.58,11.83,-0.78,-1.78,2.17,23.7,6.52,0.0,100.8,101650.0,100800.0
2021-02-01,101.82,47.97,18.4,26.16,9.72,-0.91,-1.27,1.78,35.6,5.67,0.0,100.97,101820.0,100970.0
2021-02-02,101.74,43.53,19.43,27.42,10.47,-0.18,-0.9,1.35,11.1,5.68,0.0,100.89,101740.0,100890.0
2021-02-03,101.63,49.25,20.02,28.3,12.02,-0.17,-0.19,1.26,42.4,6.59,0.0,100.78,101630.0,100780.0
2021-02-04,101.59,52.02,20.22,28.62,11.67,-0.77,-0.05,1.69,85.9,7.08,0.0,100.74,101590.0,100740.0
2021-02-05,101.46,52.69,20.59,29.01,13.83,-0.77,0.32,1.5,112.3,7.34,0.0,100.62,101460.0,100620.0
2021-02-06,101.37,53.48,21.1,29.86,12.84,1.34,0.4,2.0,253.4,7.49,0.0,100.52,101370.0,100520.0
2021-02-07,101.48,56.67,21.88,29.05,15.98,-0.41,-0.03,1.06,86.2,8.71,0.0,100.63,101480.0,100630.0
2021-02-08,101.58,56.48,20.97,28.93,13.44,-0.66,-1.34,1.86,26.3,7.84,0.0,100.73,101580.0,100730.0
2021-02-09,101.47,49.44,20.95,29.2,12.57,-0.58,0.28,1.26,116.0,7.05,0.0,100.63,101470.0,100630.0
2021-02-10,101.28,53.9,21.51,30.45,14.55,0.93,1.28,2.16,216.2,7.97,0.0,100.44,101280.0,100440.0
2021-02-11,101.26,64.3,21.87,31.15,14.18,0.72,1.03,2.2,215.0,9.34,0.0,100.41,101260.0,100410.0
2021-02-12,101.35,67.87,22.7,30.97,15.94,0.52,1.48,2.16,199.3,10.81,0.0,100.51,101350.0,100510.0
2021-02-13,101.37,62.08,23.31,31.32,17.01,1.34,1.87,2.54,215.5,10.28,0.0,100.52,101370.0,100520.0
2021-02-14,101.29,61.35,23.4,31.6,16.76,1.18,1.29,1.98,222.5,9.99,0.0,100.45,101290.0,100450.0
2021-02-15,101.16,52.53,24.3,32.77,16.29,0.97,-1.06,1.95,317.5,8.89,0.0,100.32,101160.0,100320.0
2021-02-16,101.15,53.52,24.22,32.83,16.75,0.4,0.31,1.57,232.1,9.28,0.03,100.32,101150.0,100320.0
2021-02-17,101.26,64.35,24.62,32.24,18.12,0.51,-0.52,1.86,315.5,11.37,0.24,100.43,101260.0,100430.0
2021-02-18,101.47,61.46,24.74,32.55,17.71,-0.41,0.07,1.55,99.7,11.01,0.02,100.63,101470.0,100630.0
2021-02-19,101.59,57.42,24.49,31.11,19.0,-0.98,-1.19,2.46,39.4,10.32,0.01,100.75,101590.0,100750.0
2021-02-20,101.63,58.22,23.48,30.06,18.52,-2.29,-0.07,2.71,88.2,10.07,0.0,100.79,101630.0,100790.0
2021-02-21,101.56,55.14,24.3,32.28,17.23,-1.06,-0.16,2.24,81.7,9.73,0.0,100.71,101560.0,100710.0
2021-02-22,101.43,52.55,24.5,32.79,17.08,1.32,0.2,1.93,261.2,9.12,0.0,100.58,101430.0,100580.0
2021-02-23,101.21,43.14,24.42,34.21,16.33,2.4,-1.05,2.74,293.7,7.31,0.0,100.38,101210.0,100380.0
2021-02-24,101.07,36.02,24.77,35.2,15.76,2.44,-1.79,3.17,306.4,6.31,0.0,100.24,101070.0,100240.0
2021-02-25,100.96,35.62,25.49,36.18,15.93,2.93,-1.17,3.29,291.7,6.47,0.0,100.13,100960.0,100130.0
2021-02-26,100.76,36.46,26.15,36.65,16.93,3.22,-1.11,3.45,289.0,6.94,0.0,99.94,100760.0,99940.0
2021-02-27,100.76,35.13,26.58,36.66,17.56,2.27,-1.18,2.75,297.5,6.71,0.0,99.93,100760.0,99930.0
