date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.28,79.79,24.85,26.32,23.67,-3.64,-4.27,5.64,40.4,15.54,0.51,101.1,101280.0,101100.0
2021-01-02,101.19,87.26,25.08,26.65,23.57,-3.37,-5.03,6.19,33.8,17.3,5.61,101.01,101190.0,101010.0
2021-01-03,101.08,85.61,25.62,27.16,24.48,-4.34,-4.11,6.08,46.6,17.53,3.22,100.9,101080.0,100900.0
2021-01-04,101.11,84.96,25.75,27.28,24.61,-4.37,-3.44,5.64,51.8,17.51,3.66,100.93,101110.0,100930.0
2021-01-05,101.12,91.85,25.44,26.54,24.8,-3.29,-2.09,4.01,57.6,18.62,26.44,100.94,101120.0,100940.0
2021-01-06,101.05,92.5,25.62,26.64,24.7,-3.65,-1.7,4.16,65.0,18.97,21.63,100.87,101050.0,100870.0
2021-01-07,100.92,90.24,25.76,27.02,24.76,-3.57,-2.39,4.34,56.2,18.67,5.69,100.74,100920.0,100740.0
2021-01-08,100.87,88.98,26.04,27.49,24.86,-3.37,-2.4,4.21,54.6,18.74,4.88,100.69,100870.0,100690.0
2021-01-09,100.95,86.31,26.04,27.33,25.22,-3.6,-3.12,4.82,49.1,18.15,0.76,100.77,100950.0,100770.0
2021-01-10,101.0,87.34,25.82,27.15,24.78,-3.04,-4.1,5.17,36.5,18.11,2.16,100.82,101000.0,100820.0
2021-01-11,101.09,89.69,25.89,27.22,24.87,-2.33,-4.63,5.35,26.7,18.68,10.1,100.92,101090.0,100920.0
2021-01-12,101.09,88.41,26.02,27.12,25.2,-3.62,-4.84,6.16,36.8,18.55,7.57,100.91,101090.0,100910.0
2021-01-13,101.13,83.1,26.19,27.77,25.03,-4.37,-4.11,6.07,46.8,17.57,1.44,100.95,101130.0,100950.0
2021-01-14,101.09,83.58,25.99,27.54,24.81,-4.44,-3.79,5.86,49.5,17.5,4.71,100.91,101090.0,100910.0
