date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.58,32.84,12.82,19.69,9.16,-0.68,0.5,1.74,126.0,3.04,0.0,96.75,101580.0,96750.0
2021-01-02,101.57,55.1,12.72,16.35,9.26,-1.93,0.24,2.39,97.0,5.24,2.74,96.72,101570.0,96720.0
2021-01-03,101.35,77.2,14.5,19.13,12.2,-3.49,2.12,4.16,121.3,8.25,1.25,96.53,101350.0,96530.0
2021-01-04,101.53,73.28,16.62,23.38,12.13,-2.52,1.68,3.3,123.6,8.74,0.76,96.7,101530.0,96700.0
2021-01-05,101.56,78.4,15.32,18.28,13.62,-4.26,0.76,4.4,100.1,8.78,7.67,96.69,101560.0,96690.0
2021-01-06,101.48,75.64,15.62,22.11,12.12,-1.35,-0.35,2.82,75.4,8.48,9.46,96.61,101480.0,96610.0
2021-01-07,101.33,64.2,14.72,22.22,10.26,0.64,-0.74,2.09,319.1,6.76,0.0,96.48,101330.0,96480.0
2021-01-08,101.33,57.02,14.71,22.06,10.4,-0.05,-0.15,1.58,16.9,5.93,0.0,96.48,101330.0,96480.0
2021-01-09,101.42,51.6,15.64,22.9,11.24,0.9,-1.07,2.06,319.8,5.88,0.01,96.58,101420.0,96580.0
2021-01-10,101.37,57.74,13.72,21.12,8.97,1.85,-2.07,3.05,318.2,5.68,0.0,96.54,101370.0,96540.0
2021-01-11,101.38,49.07,12.29,21.3,6.73,2.24,-2.54,3.6,318.6,4.18,0.0,96.57,101380.0,96570.0
2021-01-12,101.39,48.76,11.9,21.21,5.56,2.63,-3.23,4.31,320.8,4.04,0.0,96.59,101390.0,96590.0
2021-01-13,101.29,42.85,11.45,20.58,5.85,2.69,-3.43,4.5,321.9,3.4,0.0,96.5,101290.0,96500.0
2021-01-14,101.31,38.58,12.89,21.8,6.06,1.14,-1.88,2.56,328.8,3.46,0.0,96.55,101310.0,96550.0
2021-01-15,101.21,40.9,13.53,21.37,8.45,0.27,-1.17,2.13,347.2,3.88,0.0,96.45,101210.0,96450.0
2021-01-16,101.04,39.25,13.79,23.97,8.31,1.31,-2.32,3.01,330.5,3.67,0.0,96.28,101040.0,96280.0
2021-01-17,101.35,40.52,11.7,19.67,6.22,-2.64,1.78,3.42,123.9,3.42,0.0,96.56,101350.0,96560.0
2021-01-18,101.57,39.47,13.39,18.83,8.12,-1.08,-0.32,2.18,73.3,3.84,0.0,96.72,101570.0,96720.0
2021-01-19,101.26,42.77,15.01,23.92,9.83,2.16,-3.3,4.17,326.8,4.48,0.0,96.42,101260.0,96420.0
2021-01-20,101.26,45.73,13.94,22.96,8.45,2.98,-4.14,5.21,324.3,4.4,0.0,96.42,101260.0,96420.0
2021-01-21,101.08,42.97,13.28,22.24,7.24,2.67,-3.46,4.58,322.3,3.91,0.0,96.32,101080.0,96320.0
2021-01-22,101.26,36.57,13.47,21.77,7.1,-2.12,1.15,2.85,118.5,3.49,0.0,96.46,101260.0,96460.0
2021-01-23,101.16,38.74,14.46,21.78,9.81,-2.89,2.22,4.16,127.4,3.92,0.58,96.29,101160.0,96290.0
2021-01-24,101.53,51.23,12.61,20.28,8.52,0.33,-0.36,2.01,317.2,4.63,0.13,96.6,101530.0,96600.0
2021-01-25,101.67,47.7,12.45,20.78,7.25,0.67,-0.63,1.97,313.3,4.25,0.0,96.75,101670.0,96750.0
2021-01-26,101.61,42.95,12.63,21.66,7.44,1.32,-1.93,2.7,325.6,3.76,0.0,96.71,101610.0,96710.0
2021-01-27,101.58,35.88,12.77,22.31,6.45,1.6,-2.11,3.11,322.8,3.13,0.0,96.69,101580.0,96690.0
2021-01-28,101.71,33.6,12.66,21.26,7.03,1.16,-1.24,2.32,316.8,2.94,0.0,96.8,101710.0,96800.0
2021-01-29,101.74,41.12,11.57,20.03,5.48,2.61,-3.74,4.71,325.1,3.38,0.0,96.82,101740.0,96820.0
2021-01-30,101.55,40.09,12.17,21.23,5.99,2.72,-3.68,4.75,323.5,3.35,0.0,96.67,101550.0,96670.0
2021-01-31,101.6,36.44,13.46,22.85,6.81,1.47,-2.46,3.33,329.0,3.31,0.0,96.73,101600.0,96730.0
2021-02-01,101.78,33.63,14.66,23.74,9.05,1.7,-2.89,3.83,329.6,3.36,0.0,96.92,101780.0,96920.0
2021-02-02,101.59,33.67,15.85,24.59,9.84,0.28,-1.19,2.67,346.8,3.65,0.0,96.73,101590.0,96730.0
2021-02-03,101.55,40.43,15.65,24.6,9.99,-3.16,1.32,3.83,112.7,4.34,0.89,96.68,101550.0,96680.0
2021-02-04,101.69,59.51,13.37,19.28,8.32,-2.38,-0.49,2.81,78.4,5.83,20.62,96.76,101690.0,96760.0
2021-02-05,101.81,63.07,12.05,18.69,7.64,0.55,-1.57,2.35,340.8,5.56,1.18,96.85,101810.0,96850.0
2021-02-06,101.73,55.59,12.61,20.86,6.4,2.45,-3.42,4.39,324.3,4.98,0.0,96.84,101730.0,96840.0
2021-02-07,101.53,48.56,13.84,23.03,7.22,2.51,-3.23,4.24,322.1,4.61,0.0,96.75,101530.0,96750.0
2021-02-08,101.52,42.11,15.66,25.2,9.8,1.62,-2.49,3.23,326.9,4.55,0.0,96.76,101520.0,96760.0
2021-02-09,101.21,44.38,16.71,25.28,10.44,2.02,-2.78,3.89,324.0,5.11,0.0,96.45,101210.0,96450.0
2021-02-10,101.27,41.87,17.04,25.56,12.25,0.26,-1.45,2.63,349.7,4.95,0.0,96.45,101270.0,96450.0
2021-02-11,101.25,43.68,17.63,26.52,12.51,0.79,-1.53,2.59,332.8,5.46,0.0,96.46,101250.0,96460.0
2021-02-12,101.32,42.52,18.01,27.06,12.39,1.51,-1.98,2.96,322.6,5.26,0.0,96.51,101320.0,96510.0
2021-02-13,101.36,41.16,18.74,25.87,14.28,0.83,-1.23,2.28,326.0,5.52,0.0,96.54,101360.0,96540.0
