date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.56,37.33,13.33,21.34,6.57,-3.31,0.62,3.58,100.5,3.83,0.0,96.9,101560.0,96900.0
2021-01-02,101.35,63.5,16.19,22.68,12.2,-3.29,2.71,4.53,129.5,7.49,0.68,96.72,101350.0,96720.0
2021-01-03,101.16,69.35,17.59,26.51,12.59,-1.04,2.45,3.31,157.0,8.29,1.35,96.53,101160.0,96530.0
2021-01-04,101.33,85.97,15.98,20.72,12.78,-4.46,2.66,5.32,120.8,10.0,12.29,96.71,101330.0,96710.0
2021-01-05,101.35,81.4,17.02,22.16,14.13,-1.65,2.13,3.29,142.1,10.07,8.67,96.7,101350.0,96700.0
2021-01-06,101.45,72.08,14.67,22.33,9.96,1.57,-2.39,3.0,326.6,7.39,0.07,96.79,101450.0,96790.0
2021-01-07,101.37,68.8,14.23,21.8,7.25,-0.53,-1.38,2.22,21.1,6.84,0.03,96.72,101370.0,96720.0
2021-01-08,101.28,77.5,14.15,20.6,9.75,-1.56,0.52,2.27,108.3,8.0,0.2,96.63,101280.0,96630.0
2021-01-09,101.44,78.74,14.9,20.62,10.79,-1.13,-2.05,2.44,28.9,8.51,0.13,96.79,101440.0,96790.0
2021-01-10,101.48,58.94,13.81,21.41,8.45,-0.07,-2.51,2.84,1.6,6.03,0.0,96.84,101480.0,96840.0
2021-01-11,101.59,45.84,12.46,21.78,6.33,0.1,-3.01,3.11,358.1,3.98,0.0,96.96,101590.0,96960.0
2021-01-12,101.61,39.74,13.07,23.14,6.11,0.47,-2.71,2.78,350.1,3.54,0.0,96.99,101610.0,96990.0
2021-01-13,101.5,32.08,14.26,22.99,7.52,0.16,-0.5,1.6,342.0,3.08,0.0,96.88,101500.0,96880.0
2021-01-14,101.44,31.33,15.65,24.54,9.15,-0.53,0.87,1.27,148.8,3.42,0.0,96.82,101440.0,96820.0
2021-01-15,101.27,32.08,16.05,24.94,8.97,-1.08,0.82,1.59,127.2,3.49,0.0,96.67,101270.0,96670.0
2021-01-16,101.17,34.99,15.76,26.89,8.99,-0.66,-0.91,2.14,36.0,3.72,0.0,96.56,101170.0,96560.0
2021-01-17,101.22,42.02,14.42,23.84,7.15,-3.84,0.76,4.09,101.2,4.25,0.0,96.62,101220.0,96620.0
2021-01-18,101.32,47.0,15.27,23.72,9.51,-3.31,0.39,3.63,96.7,5.25,0.0,96.7,101320.0,96700.0
2021-01-19,101.3,48.2,15.01,24.32,8.28,-0.8,-2.46,2.73,18.0,5.12,0.0,96.68,101300.0,96680.0
2021-01-20,101.42,45.49,15.23,26.24,8.45,0.71,-2.74,2.94,345.4,4.57,0.0,96.78,101420.0,96780.0
2021-01-21,101.32,37.24,15.99,26.4,7.51,2.01,-2.51,3.49,321.3,3.95,0.0,96.7,101320.0,96700.0
2021-01-22,101.24,38.81,16.32,26.53,8.1,-1.88,1.7,2.98,132.1,4.37,0.0,96.62,101240.0,96620.0
2021-01-23,101.11,41.58,15.94,26.9,8.75,0.95,-0.47,3.7,296.3,4.67,0.0,96.49,101110.0,96490.0
2021-01-24,101.53,38.98,12.22,21.9,5.58,-0.42,-3.68,3.77,6.4,3.19,0.0,96.84,101530.0,96840.0
2021-01-25,101.71,46.75,11.37,21.22,3.66,-0.74,-2.82,2.96,14.8,3.73,0.0,97.02,101710.0,97020.0
2021-01-26,101.68,41.72,12.18,21.57,5.12,-1.15,-2.41,2.77,25.5,3.5,0.0,96.99,101680.0,96990.0
2021-01-27,101.68,41.29,13.46,22.25,6.79,-1.49,-0.9,1.81,58.8,3.76,0.0,96.97,101680.0,96970.0
2021-01-28,101.76,38.95,13.41,22.26,6.51,-1.66,-0.52,2.01,72.7,3.58,0.0,97.01,101760.0,97010.0
2021-01-29,101.83,32.51,13.21,23.62,6.68,-0.89,-1.49,2.25,30.8,2.82,0.0,97.1,101830.0,97100.0
2021-01-30,101.69,26.78,14.59,24.94,8.19,0.2,-1.47,2.35,352.3,2.56,0.0,96.99,101690.0,96990.0
2021-01-31,101.65,25.21,16.54,25.99,8.59,-0.65,0.75,1.93,139.1,2.71,0.0,96.97,101650.0,96970.0
2021-02-01,101.78,22.83,18.08,27.67,9.82,0.2,1.51,1.96,187.7,2.76,0.0,97.11,101780.0,97110.0
2021-02-02,101.56,26.16,18.33,28.91,8.97,1.82,1.02,2.61,240.8,3.25,0.0,96.92,101560.0,96920.0
2021-02-03,101.4,31.13,18.93,28.7,11.64,2.06,-0.6,2.99,286.3,4.11,0.0,96.75,101400.0,96750.0
2021-02-04,101.46,32.12,18.15,26.94,12.09,1.09,-1.57,3.37,325.2,4.0,0.01,96.78,101460.0,96780.0
2021-02-05,101.69,48.62,15.27,24.11,8.25,-0.35,-3.15,3.27,6.3,4.91,0.0,96.96,101690.0,96960.0
2021-02-06,101.79,38.03,15.01,24.54,7.55,-0.42,-2.82,3.0,8.5,3.78,0.0,97.08,101790.0,97080.0
2021-02-07,101.7,34.59,16.4,26.25,9.5,-0.32,-2.17,2.41,8.3,3.77,0.0,97.06,101700.0,97060.0
2021-02-08,101.63,31.94,18.18,28.24,10.26,-0.62,-1.01,1.87,31.4,3.85,0.0,97.03,101630.0,97030.0
2021-02-09,101.32,26.98,19.82,30.19,12.71,1.07,-0.66,2.42,301.4,3.59,0.0,96.73,101320.0,96730.0
2021-02-10,101.22,23.44,20.15,30.33,13.97,0.77,-2.95,3.23,345.4,3.26,0.0,96.6,101220.0,96600.0
2021-02-11,101.26,28.83,19.07,30.01,10.44,-1.22,-1.6,2.54,37.4,3.52,0.0,96.64,101260.0,96640.0
2021-02-12,101.39,31.57,18.89,27.27,12.57,-2.4,-0.14,2.67,86.8,4.06,0.0,96.75,101390.0,96750.0
2021-02-13,101.35,27.47,19.65,29.38,12.27,-1.67,1.07,2.59,122.8,3.71,0.0,96.73,101350.0,96730.0
2021-02-14,101.3,28.09,19.79,29.24,10.91,-1.84,1.07,2.27,120.2,3.87,0.0,96.68,101300.0,96680.0
2021-02-15,101.14,29.14,20.26,28.61,10.98,-0.95,1.09,2.22,139.0,4.06,0.0,96.52,101140.0,96520.0
2021-02-16,101.08,28.42,20.94,30.61,11.73,-1.99,-1.68,2.71,49.8,4.17,0.0,96.47,101080.0,96470.0
2021-02-17,101.29,27.83,20.32,29.57,13.2,-1.69,-1.38,2.43,50.8,3.82,0.0,96.66,101290.0,96660.0
2021-02-18,101.58,28.18,19.36,29.41,11.22,-2.62,-0.62,2.84,76.6,3.7,0.0,96.92,101580.0,96920.0
2021-02-19,101.83,24.98,19.33,28.83,11.45,-2.14,-0.74,2.65,70.9,3.28,0.0,97.15,101830.0,97150.0
2021-02-20,101.8,23.39,19.76,29.84,11.15,-1.18,-0.49,2.04,67.5,3.13,0.0,97.15,101800.0,97150.0
2021-02-21,101.66,19.31,20.72,31.62,12.86,-0.52,-1.62,2.47,17.9,2.73,0.0,97.03,101660.0,97030.0
2021-02-22,101.47,18.14,22.87,32.56,14.72,0.8,-1.06,2.33,323.0,2.92,0.0,96.87,101470.0,96870.0
2021-02-23,101.2,15.47,24.21,33.65,17.01,1.59,-0.81,2.13,296.8,2.86,0.0,96.63,101200.0,96630.0
2021-02-24,101.03,18.13,24.78,34.18,14.84,1.6,-0.26,2.01,279.1,3.41,0.0,96.47,101030.0,96470.0
2021-02-25,100.97,24.04,23.86,33.61,15.48,3.01,-1.87,3.79,301.9,4.27,0.0,96.41,100970.0,96410.0
2021-02-26,100.74,26.0,25.1,34.95,16.08,3.51,-0.48,3.94,277.8,5.08,0.0,96.2,100740.0,96200.0
2021-02-27,100.66,28.34,25.61,34.36,18.5,4.14,-0.83,4.48,281.3,5.7,0.0,96.11,100660.0,96110.0
