date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,100.84,51.13,2.76,8.9,0.02,0.6,0.66,1.4,222.6,3.37,0.0,69.35,100840.0,69350.0
2021-01-02,100.71,52.13,2.58,9.01,-1.02,0.79,0.78,1.37,225.3,3.39,0.0,69.29,100710.0,69290.0
2021-01-03,100.64,50.45,4.44,10.4,1.4,0.79,0.49,1.31,238.1,3.77,0.0,69.31,100640.0,69310.0
2021-01-04,100.85,57.4,5.07,10.45,2.58,1.0,0.8,1.48,231.5,4.45,0.0,69.44,100850.0,69440.0
2021-01-05,100.78,63.27,4.66,9.98,1.47,0.8,0.7,1.4,228.7,4.77,0.04,69.44,100780.0,69440.0
2021-01-06,100.46,70.49,3.6,9.61,0.21,1.46,1.0,1.97,235.6,4.86,0.0,69.24,100460.0,69240.0
2021-01-07,100.03,70.62,2.65,9.06,-0.76,1.19,0.93,1.74,231.8,4.56,0.0,69.12,100030.0,69120.0
2021-01-08,100.01,72.78,2.87,9.58,-0.9,0.79,0.85,1.52,223.0,4.78,0.0,69.14,100010.0,69140.0
2021-01-09,99.64,68.13,3.05,9.8,-0.95,0.87,0.91,1.49,223.5,4.54,0.0,69.07,99640.0,69070.0
2021-01-10,99.53,70.56,3.35,10.17,-0.83,1.01,0.91,1.64,228.0,4.77,0.0,69.02,99530.0,69020.0
2021-01-11,99.63,77.36,2.83,8.86,-0.07,0.8,1.18,1.59,214.0,5.13,0.59,69.11,99630.0,69110.0
2021-01-12,99.61,80.14,1.82,8.05,-1.67,0.77,1.61,1.86,205.5,4.94,0.03,69.04,99610.0,69040.0
2021-01-13,99.59,64.16,2.33,9.16,-1.38,0.74,0.92,1.69,218.5,4.1,0.0,69.01,99590.0,69010.0
2021-01-14,99.8,59.1,3.62,10.17,0.11,0.38,0.81,1.34,204.8,4.14,0.0,69.11,99800.0,69110.0
2021-01-15,99.84,61.25,3.88,11.27,0.01,0.43,0.62,1.71,215.0,4.27,0.0,69.05,99840.0,69050.0
2021-01-16,99.96,56.81,3.04,9.56,-0.03,1.06,0.47,1.44,246.0,3.76,0.03,68.87,99960.0,68870.0
2021-01-17,100.85,59.52,2.04,9.09,-1.73,0.19,0.31,1.77,211.5,3.62,0.04,69.26,100850.0,69260.0
2021-01-18,101.02,69.21,2.19,8.17,-1.51,0.67,1.28,2.16,207.6,4.35,0.0,69.25,101020.0,69250.0
2021-01-19,100.03,90.79,0.13,4.87,-2.45,0.88,2.14,2.33,202.4,5.05,3.2,68.8,100030.0,68800.0
2021-01-20,100.18,87.65,-0.51,5.02,-3.91,0.79,1.57,2.02,206.8,4.56,3.71,68.67,100180.0,68670.0
2021-01-21,100.38,65.94,-0.67,6.46,-5.68,0.79,-1.28,1.71,328.2,3.22,0.1,68.8,100380.0,68800.0
2021-01-22,100.18,59.0,0.36,9.18,-6.5,0.32,0.12,2.13,249.6,3.31,0.0,69.07,100180.0,69070.0
2021-01-23,99.87,66.61,1.81,8.93,-1.81,1.3,1.31,1.99,224.7,4.07,0.0,68.93,99870.0,68930.0
2021-01-24,100.25,65.66,0.15,6.21,-3.35,1.88,1.53,2.44,230.7,3.48,0.0,68.92,100250.0,68920.0
2021-01-25,100.43,62.29,-0.32,6.45,-3.41,1.22,1.24,1.89,224.6,3.17,0.0,69.0,100430.0,69000.0
