date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.37,86.43,19.23,24.76,15.47,-2.35,1.52,2.87,122.8,12.55,0.01,95.84,101370.0,95840.0
2021-01-02,101.34,87.87,18.29,23.48,14.29,-2.11,1.69,2.83,128.8,12.03,0.0,95.83,101340.0,95830.0
2021-01-03,101.21,83.71,17.98,24.42,13.32,-2.23,1.86,2.96,129.9,11.26,0.0,95.71,101210.0,95710.0
2021-01-04,101.2,82.88,18.42,25.08,13.98,-2.46,1.9,3.19,127.8,11.39,0.0,95.69,101200.0,95690.0
2021-01-05,101.25,85.31,20.39,26.52,15.51,-2.41,1.56,2.91,122.8,13.35,0.0,95.72,101250.0,95720.0
2021-01-06,101.18,87.96,21.86,26.48,18.6,-2.44,1.14,2.73,115.1,15.14,0.71,95.66,101180.0,95660.0
2021-01-07,101.02,86.52,22.06,26.63,18.87,-2.5,1.09,2.79,113.5,14.9,0.39,95.5,101020.0,95500.0
2021-01-08,100.98,80.89,21.7,27.06,18.35,-2.9,1.77,3.48,121.5,13.47,0.02,95.47,100980.0,95470.0
2021-01-09,101.05,77.24,20.58,26.61,16.67,-2.97,1.84,3.56,121.8,11.89,0.0,95.54,101050.0,95540.0
2021-01-10,101.11,73.59,21.03,27.26,15.96,-2.1,0.87,2.58,112.6,11.63,0.0,95.62,101110.0,95620.0
2021-01-11,101.2,70.32,21.86,28.19,16.88,-1.87,0.67,2.32,109.6,11.83,0.0,95.7,101200.0,95700.0
2021-01-12,101.28,74.11,22.73,28.67,18.16,-2.05,-0.43,2.28,78.0,13.18,0.0,95.74,101280.0,95740.0
2021-01-13,101.29,76.56,21.9,28.11,16.82,-1.99,-0.1,2.32,87.1,12.86,0.0,95.72,101290.0,95720.0
2021-01-14,101.22,72.56,21.37,27.93,17.08,-1.94,0.31,2.29,99.0,11.6,0.0,95.65,101220.0,95650.0
2021-01-15,101.15,76.0,21.0,28.08,15.8,-1.01,1.41,2.21,144.4,11.99,0.0,95.6,101150.0,95600.0
2021-01-16,101.05,77.04,21.2,27.87,15.94,-1.68,1.25,2.43,126.6,12.33,0.0,95.5,101050.0,95500.0
2021-01-17,101.17,73.32,21.28,27.82,17.32,-2.12,0.7,2.52,108.2,11.68,0.0,95.62,101170.0,95620.0
2021-01-18,101.28,80.98,20.9,27.59,15.93,-1.66,1.52,2.75,132.6,12.84,0.0,95.72,101280.0,95720.0
2021-01-19,101.23,77.71,21.59,28.68,16.83,-0.85,1.65,2.36,152.8,12.75,0.0,95.67,101230.0,95670.0
2021-01-20,101.21,70.6,21.97,29.72,15.68,-0.14,1.79,1.95,175.5,11.55,0.0,95.67,101210.0,95670.0
2021-01-21,101.14,66.83,22.24,30.28,15.67,-0.18,0.03,1.97,99.5,11.18,0.0,95.6,101140.0,95600.0
2021-01-22,101.22,68.54,21.66,28.8,16.12,-2.3,-0.23,2.39,84.2,11.24,0.0,95.65,101220.0,95650.0
2021-01-23,101.18,64.7,21.3,28.96,15.78,-1.6,0.92,1.98,120.0,10.26,0.0,95.64,101180.0,95640.0
2021-01-24,101.2,69.78,21.98,30.56,14.94,-0.18,1.66,2.25,173.9,11.32,0.0,95.67,101200.0,95670.0
2021-01-25,101.25,68.92,22.02,30.5,15.18,-0.56,1.52,2.1,159.7,11.25,0.0,95.7,101250.0,95700.0
2021-01-26,101.2,67.85,22.18,30.5,15.55,-0.86,1.69,2.34,153.0,11.14,0.0,95.65,101200.0,95650.0
2021-01-27,101.25,70.07,21.93,29.5,15.56,-1.5,1.95,2.74,142.4,11.46,0.0,95.69,101250.0,95690.0
2021-01-28,101.35,73.48,21.93,28.88,16.7,-1.61,2.62,3.34,148.4,12.12,0.0,95.77,101350.0,95770.0
2021-01-29,101.38,73.4,22.67,29.02,17.52,-0.92,2.24,2.8,157.7,12.64,0.0,95.8,101380.0,95800.0
2021-01-30,101.34,71.91,22.48,28.78,16.9,-1.16,0.46,1.94,111.6,12.25,0.0,95.76,101340.0,95760.0
2021-01-31,101.45,61.0,21.34,28.8,15.0,-2.28,-0.68,2.5,73.3,9.7,0.0,95.85,101450.0,95850.0
2021-02-01,101.66,65.22,20.2,27.56,14.39,-2.32,-0.88,2.6,69.3,9.73,0.0,96.03,101660.0,96030.0
2021-02-02,101.67,45.16,19.71,28.6,11.97,-2.16,-1.05,2.54,64.2,6.21,0.0,96.03,101670.0,96030.0
2021-02-03,101.57,52.69,20.85,28.57,15.27,-1.85,0.61,2.09,108.2,8.06,0.0,95.93,101570.0,95930.0
2021-02-04,101.51,58.63,20.51,28.85,14.15,-2.06,1.62,2.78,128.0,8.53,0.0,95.89,101510.0,95890.0
2021-02-05,101.33,61.55,20.76,29.62,13.26,-1.05,1.72,2.5,148.6,8.95,0.0,95.75,101330.0,95750.0
2021-02-06,101.29,58.19,20.97,29.97,13.59,-1.76,0.36,2.44,101.7,8.66,0.0,95.71,101290.0,95710.0
2021-02-07,101.47,49.88,19.82,28.64,13.2,-2.42,-3.05,3.94,38.4,7.04,0.0,95.85,101470.0,95850.0
2021-02-08,101.53,47.68,19.72,28.35,11.1,-2.57,-1.32,3.26,62.8,6.89,0.0,95.92,101530.0,95920.0
2021-02-09,101.39,46.2,21.66,30.08,16.12,-1.47,-0.01,1.79,89.5,7.26,0.0,95.8,101390.0,95800.0
2021-02-10,101.21,50.47,21.65,30.84,14.84,-1.27,1.08,1.98,130.4,7.83,0.0,95.65,101210.0,95650.0
2021-02-11,101.15,58.63,21.42,30.93,13.63,-1.93,1.54,2.95,128.6,8.73,0.0,95.59,101150.0,95590.0
2021-02-12,101.22,62.35,21.86,30.86,14.78,-1.41,1.81,2.92,142.1,9.77,0.0,95.66,101220.0,95660.0
2021-02-13,101.31,60.95,21.84,30.74,14.26,-1.6,2.42,3.19,146.5,9.48,0.0,95.74,101310.0,95740.0
2021-02-14,101.3,57.45,22.11,30.79,14.46,-1.74,1.82,2.97,136.3,9.04,0.0,95.73,101300.0,95730.0
2021-02-15,101.17,53.93,22.8,31.27,15.54,-1.62,1.46,2.58,131.9,9.06,0.0,95.61,101170.0,95610.0
