date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.5,78.22,18.05,23.93,12.84,0.29,-0.57,1.13,333.0,9.85,0.0,101.22,101500.0,101220.0
2021-01-02,101.48,79.44,17.95,23.71,12.71,0.09,-0.84,1.3,353.9,9.96,0.0,101.19,101480.0,101190.0
2021-01-03,101.32,77.43,18.26,23.98,13.48,-0.62,-0.88,1.19,35.1,9.9,0.0,101.03,101320.0,101030.0
2021-01-04,101.37,77.73,18.54,24.71,12.95,-0.48,-0.99,1.38,25.7,10.13,0.0,101.08,101370.0,101080.0
2021-01-05,101.37,79.11,18.96,25.04,13.61,-0.28,-1.38,1.59,11.6,10.58,0.0,101.08,101370.0,101080.0
2021-01-06,101.2,79.23,19.87,26.28,13.92,-0.17,-1.19,1.61,8.1,11.2,0.0,100.91,101200.0,100910.0
2021-01-07,101.12,76.4,20.85,27.25,15.4,-0.65,-0.86,1.73,37.3,11.44,0.0,100.82,101120.0,100820.0
2021-01-08,101.16,77.5,19.97,26.21,13.99,-0.77,-1.36,2.16,29.5,11.05,0.0,100.87,101160.0,100870.0
2021-01-09,101.14,76.46,19.52,24.98,15.44,0.21,-1.13,1.59,349.6,10.66,0.0,100.85,101140.0,100850.0
2021-01-10,101.15,79.75,19.77,24.87,14.39,-0.07,-0.05,1.39,58.7,11.29,0.0,100.86,101150.0,100860.0
2021-01-11,101.29,81.5,20.59,25.74,15.85,-0.52,-0.67,1.41,38.0,12.09,0.0,101.0,101290.0,101000.0
2021-01-12,101.39,83.69,18.81,24.07,14.85,0.56,-1.43,2.18,338.7,11.17,0.0,101.09,101390.0,101090.0
2021-01-13,101.45,77.24,16.67,22.86,12.32,1.1,-1.97,2.33,330.9,8.84,0.0,101.16,101450.0,101160.0
2021-01-14,101.48,70.28,15.63,22.19,10.42,0.56,-1.47,1.98,339.1,7.55,0.0,101.18,101480.0,101180.0
2021-01-15,101.3,71.65,15.76,21.47,12.02,0.94,-0.65,1.68,304.9,7.83,0.04,101.01,101300.0,101010.0
2021-01-16,101.2,73.69,16.07,22.13,11.16,0.58,-1.34,1.68,336.7,8.23,0.0,100.91,101200.0,100910.0
2021-01-17,101.47,75.5,16.57,22.2,12.61,0.09,-1.44,1.72,356.3,8.66,0.0,101.18,101470.0,101180.0
2021-01-18,101.43,78.91,17.21,24.39,12.13,0.67,-0.14,1.56,281.9,9.4,0.0,101.14,101430.0,101140.0
2021-01-19,101.29,81.59,16.68,22.21,11.59,0.99,1.46,1.94,214.1,9.47,0.0,101.0,101290.0,101000.0
2021-01-20,101.23,88.91,17.16,22.31,13.05,-0.07,1.91,2.09,177.8,10.73,2.98,100.93,101230.0,100930.0
2021-01-21,101.25,72.16,18.54,24.14,13.74,0.58,-1.01,1.77,330.4,9.29,0.37,100.95,101250.0,100950.0
2021-01-22,101.39,73.48,16.39,23.34,10.52,-0.51,-1.23,2.2,22.6,8.24,0.95,101.09,101390.0,101090.0
2021-01-23,101.31,72.32,16.28,22.32,12.2,0.94,-0.01,1.53,270.4,8.12,0.0,101.01,101310.0,101010.0
2021-01-24,101.4,69.17,17.36,23.59,11.77,0.39,-0.32,1.23,309.2,8.35,0.0,101.11,101400.0,101110.0
2021-01-25,101.5,75.77,16.57,23.57,10.68,-0.32,-1.82,2.39,10.0,8.57,0.0,101.2,101500.0,101200.0
2021-01-26,101.44,73.41,16.36,23.69,10.83,0.73,-2.38,2.67,343.0,8.14,0.0,101.15,101440.0,101150.0
2021-01-27,101.49,71.18,15.65,23.39,9.49,1.24,-2.44,2.85,333.2,7.51,0.0,101.19,101490.0,101190.0
2021-01-28,101.51,66.31,16.21,24.19,9.33,0.96,-1.23,1.7,322.1,7.22,0.0,101.22,101510.0,101220.0
2021-01-29,101.43,66.66,17.07,24.8,10.89,0.94,-1.35,1.79,325.2,7.7,0.0,101.14,101430.0,101140.0
