date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.65,36.21,14.59,24.43,6.34,2.41,-1.09,2.72,294.3,3.76,0.0,100.29,101650.0,100290.0
2021-01-02,101.52,39.88,17.68,27.85,10.16,1.58,-1.49,2.33,313.5,4.88,0.07,100.17,101520.0,100170.0
2021-01-03,101.36,64.6,19.82,28.2,13.5,1.23,-1.92,3.03,327.5,8.87,0.09,100.01,101360.0,100010.0
2021-01-04,101.38,53.19,21.87,29.9,14.47,0.75,-1.51,2.01,333.6,8.14,0.48,100.04,101380.0,100040.0
2021-01-05,101.44,51.51,21.61,30.47,15.55,1.09,-0.1,2.6,275.0,7.72,0.13,100.09,101440.0,100090.0
2021-01-06,101.3,50.4,21.54,30.26,16.33,2.15,-1.86,3.01,310.8,7.65,0.0,99.95,101300.0,99950.0
2021-01-07,101.22,62.38,19.98,28.7,14.12,3.69,-2.2,4.33,300.8,8.65,0.0,99.87,101220.0,99870.0
2021-01-08,101.26,57.54,19.64,28.94,12.03,2.65,-2.56,3.72,314.0,7.74,0.0,99.91,101260.0,99910.0
2021-01-09,101.24,60.17,20.95,27.93,15.76,4.05,-1.28,4.5,287.5,9.12,0.0,99.89,101240.0,99890.0
2021-01-10,101.21,59.96,20.27,28.25,14.39,4.87,-1.59,5.14,288.1,8.49,0.0,99.87,101210.0,99870.0
2021-01-11,101.43,44.82,16.18,24.46,10.75,4.33,-1.13,4.52,284.6,4.89,0.0,100.08,101430.0,100080.0
2021-01-12,101.52,38.04,13.73,23.19,6.77,3.68,-0.93,3.81,284.2,3.43,0.0,100.17,101520.0,100170.0
2021-01-13,101.46,39.78,12.67,22.34,6.03,3.18,-1.02,3.38,287.8,3.39,0.0,100.1,101460.0,100100.0
2021-01-14,101.53,38.33,12.46,21.14,4.86,1.77,-1.07,2.1,301.2,3.2,0.0,100.17,101530.0,100170.0
2021-01-15,101.36,34.51,13.2,22.92,7.34,2.16,-0.89,2.51,292.5,3.05,0.0,100.0,101360.0,100000.0
2021-01-16,101.19,35.15,13.51,24.29,5.6,3.25,-1.08,3.58,288.5,3.09,0.0,99.85,101190.0,99850.0
2021-01-17,101.54,31.75,14.31,22.39,8.09,-1.02,0.65,1.83,122.5,3.08,0.0,100.19,101540.0,100190.0
2021-01-18,101.52,32.53,15.42,23.62,7.61,-0.73,0.22,1.86,106.9,3.38,0.0,100.17,101520.0,100170.0
2021-01-19,101.18,34.9,18.0,26.18,13.15,2.51,-0.89,2.79,289.5,4.39,0.0,99.83,101180.0,99830.0
2021-01-20,101.19,39.66,16.55,26.19,9.94,4.85,-1.34,5.06,285.5,4.18,0.0,99.83,101190.0,99830.0
2021-01-21,101.18,39.36,14.95,25.44,7.54,4.47,-1.48,4.73,288.3,3.79,0.0,99.82,101180.0,99820.0
2021-01-22,101.44,30.4,16.21,25.11,8.31,0.19,-0.64,1.55,343.2,3.18,0.0,100.08,101440.0,100080.0
2021-01-23,101.29,25.04,18.05,25.62,10.44,0.07,0.33,1.28,191.9,3.12,0.0,99.93,101290.0,99930.0
2021-01-24,101.38,32.74,17.57,26.68,10.62,0.54,-0.17,2.07,287.8,3.97,0.0,100.02,101380.0,100020.0
2021-01-25,101.61,44.76,16.04,24.94,9.41,2.33,-0.74,2.84,287.7,4.86,0.0,100.23,101610.0,100230.0
2021-01-26,101.62,35.47,14.62,23.68,8.26,2.82,-1.03,3.22,290.1,3.33,0.0,100.24,101620.0,100240.0
2021-01-27,101.65,38.7,14.21,23.95,6.73,2.98,-0.33,3.12,276.4,3.58,0.0,100.28,101650.0,100280.0
2021-01-28,101.71,34.05,14.52,23.26,7.53,2.06,-0.07,2.24,271.9,3.24,0.0,100.33,101710.0,100330.0
2021-01-29,101.69,31.5,13.36,22.93,6.05,3.23,-1.11,3.54,288.9,2.73,0.0,100.3,101690.0,100300.0
2021-01-30,101.54,30.91,13.77,24.85,5.37,3.82,-1.07,3.99,285.6,2.67,0.0,100.15,101540.0,100150.0
2021-01-31,101.67,27.66,14.64,25.12,5.54,2.86,-0.37,2.99,277.3,2.55,0.0,100.29,101670.0,100290.0
