date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.58,26.69,11.19,17.76,7.18,-0.93,0.52,1.89,118.9,2.46,0.0,86.25,101580.0,86250.0
2021-01-02,101.69,45.82,10.64,17.47,6.7,-1.51,0.15,2.19,95.7,4.24,1.44,86.29,101690.0,86290.0
2021-01-03,101.49,67.43,11.93,17.11,8.25,-2.62,0.66,2.9,104.3,6.73,2.78,86.2,101490.0,86200.0
2021-01-04,101.71,59.75,12.44,18.47,8.56,-1.54,0.75,2.28,115.9,6.2,0.65,86.35,101710.0,86350.0
2021-01-05,101.74,78.94,9.69,13.7,7.49,-3.04,-0.58,3.28,79.2,6.84,9.12,86.35,101740.0,86350.0
2021-01-06,101.59,78.11,9.87,15.9,6.49,-1.23,-0.33,2.02,75.2,6.79,12.29,86.21,101590.0,86210.0
2021-01-07,101.37,44.91,10.86,18.36,6.95,-0.99,0.15,2.07,98.7,4.07,0.0,86.05,101370.0,86050.0
2021-01-08,101.38,36.32,10.86,16.98,6.8,-0.66,0.43,1.7,123.2,3.47,0.0,86.06,101380.0,86060.0
2021-01-09,101.5,44.27,12.12,19.35,8.0,-0.28,-0.04,1.89,81.2,4.58,0.01,86.17,101500.0,86170.0
2021-01-10,101.3,39.02,12.95,20.01,9.52,0.26,-0.02,1.57,273.6,4.17,0.0,86.08,101300.0,86080.0
2021-01-11,101.23,32.76,12.22,19.59,8.5,0.51,0.02,1.72,267.6,3.26,0.0,86.06,101230.0,86060.0
2021-01-12,101.15,33.47,10.6,19.03,5.25,0.64,0.1,1.73,261.3,2.91,0.0,86.05,101150.0,86050.0
2021-01-13,100.95,36.26,9.3,17.8,4.42,-0.07,0.24,1.71,163.0,2.9,0.0,85.96,100950.0,85960.0
2021-01-14,100.96,35.49,10.03,18.82,4.34,0.31,0.21,1.71,236.4,3.0,0.0,86.04,100960.0,86040.0
2021-01-15,100.95,38.27,10.8,18.36,7.26,0.24,0.23,1.53,227.1,3.45,0.0,85.98,100950.0,85980.0
2021-01-16,100.88,32.26,11.22,20.07,5.92,0.39,-0.56,2.05,325.2,2.94,0.0,85.84,100880.0,85840.0
2021-01-17,101.23,29.76,11.28,17.92,7.49,-0.79,0.73,1.96,132.8,2.8,0.0,86.1,101230.0,86100.0
2021-01-18,101.64,37.4,11.14,18.2,6.16,-0.31,0.05,1.91,98.3,3.52,0.0,86.26,101640.0,86260.0
2021-01-19,101.32,43.51,11.62,18.44,6.93,1.04,-0.25,2.09,283.8,4.25,0.0,85.95,101320.0,85950.0
2021-01-20,101.07,36.11,9.59,19.36,3.74,1.58,-1.5,3.15,313.6,2.88,0.0,85.8,101070.0,85800.0
2021-01-21,100.77,33.47,9.43,20.86,0.69,-0.13,-0.5,2.78,14.4,2.64,0.0,85.79,100770.0,85790.0
2021-01-22,101.2,32.45,10.77,16.93,6.73,-0.29,0.57,1.66,153.1,2.96,0.0,86.04,101200.0,86040.0
2021-01-23,101.39,40.52,10.24,16.92,5.92,-0.72,0.85,2.07,139.8,3.49,0.45,85.96,101390.0,85960.0
2021-01-24,101.67,53.74,8.42,15.09,4.49,-0.63,0.47,2.26,126.5,4.17,0.15,86.06,101670.0,86060.0
2021-01-25,101.71,42.96,8.38,15.77,3.23,-0.36,-0.04,2.09,84.0,3.29,0.0,86.19,101710.0,86190.0
2021-01-26,101.64,33.84,8.75,16.35,3.72,-0.01,0.09,1.84,176.8,2.62,0.0,86.14,101640.0,86140.0
2021-01-27,101.65,28.94,9.21,17.75,4.32,0.38,0.02,2.11,266.6,2.29,0.0,86.16,101650.0,86160.0
2021-01-28,101.78,30.89,8.56,16.13,4.21,0.18,0.17,1.93,226.7,2.39,0.0,86.21,101780.0,86210.0
2021-01-29,101.79,32.53,7.87,15.26,2.74,0.4,-0.06,2.23,278.3,2.38,0.0,86.15,101790.0,86150.0
2021-01-30,101.48,33.94,7.97,17.05,1.79,0.15,0.3,2.26,206.4,2.47,0.0,86.04,101480.0,86040.0
2021-01-31,101.59,36.15,8.81,17.28,2.8,0.27,0.35,2.13,217.7,2.81,0.0,86.2,101590.0,86200.0
2021-02-01,101.77,35.63,10.44,19.2,3.99,1.36,-0.69,2.87,296.9,3.11,0.0,86.38,101770.0,86380.0
2021-02-02,101.71,33.32,10.5,19.09,5.16,0.28,-0.07,2.48,284.4,2.84,0.0,86.3,101710.0,86300.0
2021-02-03,101.87,43.5,10.33,17.56,5.65,-1.04,0.15,2.3,98.2,3.83,1.36,86.31,101870.0,86310.0
2021-02-04,101.93,70.54,7.56,12.49,3.57,-1.68,-0.14,2.29,85.2,5.2,20.58,86.3,101930.0,86300.0
2021-02-05,101.93,72.75,5.96,10.84,2.51,-0.02,-0.47,1.94,2.8,4.88,1.64,86.21,101930.0,86210.0
2021-02-06,101.6,51.17,7.18,15.71,0.03,0.55,-0.33,2.6,301.2,3.63,0.0,86.17,101600.0,86170.0
2021-02-07,101.29,39.37,10.42,19.07,2.7,-0.11,-0.28,2.03,21.2,3.5,0.0,86.22,101290.0,86220.0
2021-02-08,101.29,36.73,12.21,20.73,6.14,0.8,-0.09,2.15,276.5,3.65,0.0,86.29,101290.0,86290.0
2021-02-09,101.09,39.3,12.8,21.1,6.93,0.33,0.24,2.13,234.8,4.08,0.0,86.07,101090.0,86070.0
2021-02-10,101.34,43.42,12.1,19.16,6.93,0.09,0.11,1.94,219.3,4.26,0.0,86.06,101340.0,86060.0
2021-02-11,101.26,39.69,13.09,20.79,7.37,0.73,-0.06,2.2,274.5,4.2,0.0,86.08,101260.0,86080.0
2021-02-12,101.35,40.98,12.92,20.84,7.59,0.41,0.13,2.35,252.9,4.22,0.0,86.13,101350.0,86130.0
2021-02-13,101.37,44.58,13.05,20.06,9.22,0.16,0.27,1.78,210.4,4.73,0.0,86.15,101370.0,86150.0
2021-02-14,101.45,50.2,12.23,18.71,8.34,0.81,-0.03,2.14,272.1,5.02,0.0,86.13,101450.0,86130.0
2021-02-15,101.33,40.94,12.53,20.3,7.05,0.61,-0.17,2.45,285.4,4.08,0.0,86.01,101330.0,86010.0
2021-02-16,101.4,39.1,12.63,20.13,7.22,0.45,-0.06,2.2,277.1,3.93,0.13,86.0,101400.0,86000.0
2021-02-17,101.59,39.73,12.23,19.23,6.99,0.21,0.08,2.19,249.2,3.95,0.0,86.13,101590.0,86130.0
2021-02-18,101.83,43.15,12.69,19.88,7.36,0.85,0.08,2.4,264.7,4.39,0.0,86.37,101830.0,86370.0
2021-02-19,101.82,47.91,12.16,19.85,5.87,0.61,0.24,2.62,249.0,4.73,0.0,86.49,101820.0,86490.0
2021-02-20,101.62,49.37,13.05,20.85,6.96,0.38,0.62,2.44,211.4,5.16,0.0,86.47,101620.0,86470.0
2021-02-21,101.36,46.41,13.76,22.52,7.85,0.52,0.48,2.44,226.9,5.02,0.0,86.32,101360.0,86320.0
2021-02-22,101.25,39.42,15.86,23.93,9.65,1.24,-0.31,2.59,284.0,4.89,0.0,86.21,101250.0,86210.0
2021-02-23,101.23,38.61,16.29,24.8,9.87,1.39,-0.46,2.81,288.3,4.84,0.01,86.09,101230.0,86090.0
2021-02-24,101.2,37.36,15.9,24.49,9.6,1.79,-0.89,3.21,296.3,4.46,0.0,86.01,101200.0,86010.0
2021-02-25,100.99,37.15,15.73,25.14,7.86,1.95,-1.48,3.56,307.3,4.49,0.0,85.88,100990.0,85880.0
2021-02-26,100.72,36.89,16.68,25.01,9.34,1.93,-0.55,3.24,285.9,4.78,0.4,85.67,100720.0,85670.0
2021-02-27,100.91,54.04,16.0,22.45,10.64,1.14,-0.27,2.51,283.3,6.92,5.16,85.72,100910.0,85720.0
2021-02-28,101.22,42.05,14.5,21.74,9.9,1.03,0.24,2.24,256.9,4.72,0.0,85.9,101220.0,85900.0
