date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.62,67.41,15.84,23.99,8.87,0.49,-2.72,2.79,349.7,7.19,0.02,101.54,101620.0,101540.0
2021-01-02,101.59,65.38,16.19,23.08,9.22,0.39,-2.12,2.2,349.7,7.23,0.0,101.51,101590.0,101510.0
2021-01-03,101.42,63.41,17.95,24.93,10.58,0.51,-1.41,1.66,340.2,7.84,0.0,101.34,101420.0,101340.0
2021-01-04,101.47,64.79,19.02,26.24,11.7,0.08,-1.66,1.69,357.1,8.62,0.0,101.38,101470.0,101380.0
2021-01-05,101.47,70.91,19.71,26.8,12.69,0.08,-1.87,1.97,357.6,9.88,0.11,101.39,101470.0,101390.0
2021-01-06,101.3,72.74,20.85,28.06,13.86,0.94,-1.38,1.83,325.9,10.77,0.0,101.22,101300.0,101220.0
2021-01-07,101.17,65.62,22.52,29.6,15.12,1.56,-0.57,1.85,290.0,10.66,0.0,101.08,101170.0,101080.0
2021-01-08,101.21,68.48,21.89,28.63,16.07,0.57,-2.45,2.54,347.0,10.84,0.05,101.12,101210.0,101120.0
2021-01-09,101.2,67.32,21.75,28.04,15.31,0.48,-1.25,1.91,339.0,10.55,0.0,101.12,101200.0,101120.0
2021-01-10,101.21,71.66,22.26,28.39,16.21,1.79,-0.4,2.08,282.5,11.61,0.0,101.12,101210.0,101120.0
2021-01-11,101.34,77.05,21.89,28.06,17.29,1.38,-1.48,2.4,317.0,12.25,0.0,101.25,101340.0,101250.0
2021-01-12,101.46,74.84,20.13,26.78,14.85,0.23,-2.45,2.73,354.7,10.57,0.0,101.37,101460.0,101370.0
2021-01-13,101.48,73.19,18.64,25.46,12.73,-0.49,-1.96,2.36,14.0,9.42,0.0,101.4,101480.0,101400.0
2021-01-14,101.48,72.15,17.39,24.46,11.9,-0.31,-1.95,2.45,8.9,8.63,0.0,101.39,101480.0,101390.0
2021-01-15,101.36,67.71,16.31,23.67,10.1,-0.13,-2.1,2.51,3.6,7.42,0.0,101.27,101360.0,101270.0
2021-01-16,101.25,62.39,16.58,24.37,10.14,-0.34,-1.83,2.12,10.7,7.0,0.0,101.17,101250.0,101170.0
2021-01-17,101.52,69.31,16.14,23.73,10.01,-0.85,-2.22,2.55,21.1,7.55,0.0,101.44,101520.0,101440.0
2021-01-18,101.53,67.62,16.7,23.67,9.82,0.36,-1.57,2.05,347.0,7.62,0.0,101.45,101530.0,101450.0
2021-01-19,101.3,69.62,18.09,25.07,11.85,1.05,1.27,2.05,219.7,8.81,0.0,101.22,101300.0,101220.0
2021-01-20,101.19,78.5,21.05,27.39,15.75,1.64,0.81,2.58,243.9,11.94,0.0,101.1,101190.0,101100.0
2021-01-21,101.32,60.95,18.81,26.64,12.38,0.69,-2.75,3.02,345.9,7.62,0.0,101.23,101320.0,101230.0
2021-01-22,101.44,59.62,17.03,25.69,10.9,0.25,-1.73,2.39,351.9,6.74,0.0,101.35,101440.0,101350.0
2021-01-23,101.37,57.74,17.32,24.54,11.49,0.2,-1.12,1.95,350.1,6.76,0.0,101.28,101370.0,101280.0
2021-01-24,101.42,61.67,18.63,26.56,11.21,-0.85,-0.18,1.86,77.9,7.83,0.0,101.33,101420.0,101330.0
2021-01-25,101.5,69.13,19.02,27.19,12.12,-1.17,-0.94,2.23,51.2,9.08,0.0,101.42,101500.0,101420.0
2021-01-26,101.5,68.99,18.51,25.62,12.71,-0.71,-2.12,2.57,18.5,8.76,0.0,101.42,101500.0,101420.0
2021-01-27,101.58,63.79,17.39,25.18,11.04,-0.15,-2.7,2.97,3.1,7.43,0.0,101.5,101580.0,101500.0
2021-01-28,101.64,56.06,16.34,25.44,8.58,0.13,-3.01,3.23,357.6,6.01,0.0,101.55,101640.0,101550.0
2021-01-29,101.57,53.51,17.8,26.05,9.6,0.04,-2.04,2.27,359.0,6.47,0.02,101.48,101570.0,101480.0
2021-01-30,101.52,59.41,17.73,25.48,12.07,0.86,-2.56,2.88,341.5,7.15,0.02,101.43,101520.0,101430.0
2021-01-31,101.74,49.45,15.39,24.16,8.12,0.94,-2.58,3.02,340.0,4.92,0.0,101.65,101740.0,101650.0
2021-02-01,101.85,45.99,16.28,24.71,9.17,0.97,-1.89,2.4,332.8,4.92,0.0,101.77,101850.0,101770.0
2021-02-02,101.77,48.21,16.75,25.35,8.17,1.2,-2.14,2.55,330.8,5.32,0.0,101.69,101770.0,101690.0
2021-02-03,101.65,46.9,18.35,27.0,11.25,1.01,-1.76,2.22,330.1,5.81,0.0,101.56,101650.0,101560.0
2021-02-04,101.6,50.11,18.74,27.85,10.86,0.4,-2.31,2.42,350.2,6.27,0.0,101.51,101600.0,101510.0
2021-02-05,101.45,49.51,20.12,28.76,12.03,0.5,-1.92,2.09,345.4,6.82,0.0,101.37,101450.0,101370.0
2021-02-06,101.37,54.74,20.14,28.91,12.17,1.42,-1.65,2.42,319.3,7.48,0.04,101.28,101370.0,101280.0
2021-02-07,101.54,63.89,18.89,27.12,13.29,1.32,-2.94,3.42,335.8,8.07,0.81,101.46,101540.0,101460.0
2021-02-08,101.58,52.05,18.39,27.37,10.67,1.3,-2.47,2.98,332.2,6.27,0.0,101.5,101580.0,101500.0
2021-02-09,101.48,48.31,19.6,28.96,10.9,0.82,-1.73,2.21,334.6,6.26,0.0,101.4,101480.0,101400.0
2021-02-10,101.29,48.14,21.06,29.86,13.13,1.08,0.65,1.62,238.8,6.96,0.0,101.21,101290.0,101210.0
2021-02-11,101.27,62.94,21.67,29.87,15.4,1.68,0.6,1.96,250.4,9.28,0.0,101.19,101270.0,101190.0
2021-02-12,101.37,56.92,22.09,30.41,13.73,1.64,-0.79,2.11,295.6,8.5,0.0,101.28,101370.0,101280.0
2021-02-13,101.4,61.1,22.7,30.57,15.3,1.39,0.3,1.52,257.8,9.64,0.0,101.31,101400.0,101310.0
2021-02-14,101.35,61.97,22.48,30.36,15.43,1.69,-0.02,1.96,270.8,9.55,0.0,101.26,101350.0,101260.0
2021-02-15,101.21,60.08,22.77,30.64,15.64,1.91,-0.71,2.49,290.3,9.55,0.0,101.13,101210.0,101130.0
2021-02-16,101.2,51.14,23.54,31.67,15.01,1.4,0.38,1.7,254.6,8.49,0.0,101.11,101200.0,101110.0
2021-02-17,101.28,63.03,23.7,31.35,16.93,1.06,-0.91,1.86,310.9,10.69,0.08,101.2,101280.0,101200.0
2021-02-18,101.47,49.22,24.35,32.41,17.01,0.74,-1.75,1.95,337.1,8.73,0.01,101.39,101470.0,101390.0
2021-02-19,101.59,49.64,24.17,30.94,17.86,-0.53,-2.07,2.28,14.5,8.9,0.0,101.51,101590.0,101510.0
2021-02-20,101.65,48.53,23.86,29.85,19.09,0.07,-1.36,1.64,357.0,8.56,0.0,101.57,101650.0,101570.0
2021-02-21,101.55,39.55,23.97,32.45,15.64,1.24,-2.27,2.66,331.3,6.68,0.0,101.46,101550.0,101460.0
2021-02-22,101.43,37.6,23.9,32.19,15.03,1.86,-1.58,2.47,310.3,6.44,0.0,101.34,101430.0,101340.0
2021-02-23,101.23,41.88,24.12,32.71,15.7,2.13,-0.33,2.37,278.9,7.26,0.0,101.15,101230.0,101150.0
2021-02-24,101.06,53.47,24.77,33.58,16.65,2.42,0.05,2.5,268.9,9.18,0.0,100.97,101060.0,100970.0
2021-02-25,100.92,49.23,25.29,34.57,16.61,2.61,0.67,2.95,255.6,8.53,0.0,100.84,100920.0,100840.0
2021-02-26,100.71,52.04,26.43,35.83,17.85,2.26,1.28,2.98,240.4,9.62,0.0,100.63,100710.0,100630.0
2021-02-27,100.74,45.01,26.56,35.66,18.01,2.13,-0.3,2.78,278.1,8.22,0.0,100.65,100740.0,100650.0
2021-02-28,100.84,51.35,27.15,36.71,18.17,2.41,0.98,3.0,247.8,9.73,0.0,100.76,100840.0,100760.0
2021-03-01,101.07,52.49,28.0,36.82,20.8,1.6,0.34,2.97,257.9,11.09,0.0,100.99,101070.0,100990.0
2021-03-02,101.18,39.81,27.44,35.75,20.06,1.18,1.03,2.13,228.9,8.31,0.0,101.09,101180.0,101090.0
2021-03-03,101.16,43.11,26.56,34.94,19.05,1.29,-1.72,2.62,323.2,7.79,0.0,101.08,101160.0,101080.0
2021-03-04,101.16,44.37,25.84,35.12,17.34,2.13,1.34,2.78,237.8,8.01,0.0,101.08,101160.0,101080.0
2021-03-05,101.03,57.78,27.23,36.67,19.6,1.96,3.14,4.16,212.0,11.14,0.0,100.94,101030.0,100940.0
2021-03-06,101.0,47.04,27.54,36.68,19.71,2.54,1.25,3.06,243.8,9.5,0.0,100.91,101000.0,100910.0
2021-03-07,101.12,46.91,28.04,37.02,21.24,0.61,-0.01,1.53,271.0,9.32,0.0,101.04,101120.0,101040.0
2021-03-08,101.23,50.03,27.31,36.71,19.05,1.75,1.49,2.58,229.6,9.72,0.0,101.14,101230.0,101140.0
2021-03-09,101.15,60.99,28.16,37.14,21.12,2.36,2.81,4.0,219.9,12.71,0.0,101.06,101150.0,101060.0
2021-03-10,101.15,60.95,28.82,36.82,22.9,0.88,2.92,3.22,196.7,13.62,0.13,101.07,101150.0,101070.0
2021-03-11,101.26,63.0,28.67,36.77,22.4,0.65,2.76,2.85,193.2,13.99,1.76,101.18,101260.0,101180.0
2021-03-12,101.38,55.27,28.9,36.6,21.87,1.18,1.31,1.86,222.0,12.13,0.06,101.3,101380.0,101300.0
2021-03-13,101.33,53.01,28.05,35.43,21.58,1.57,-1.08,2.46,304.4,11.51,0.31,101.25,101330.0,101250.0
2021-03-14,101.17,44.34,28.13,35.92,20.12,1.79,-0.51,1.98,285.8,9.47,0.0,101.08,101170.0,101080.0
2021-03-15,101.06,50.0,28.12,35.98,20.09,2.2,1.02,2.52,245.0,10.78,0.0,100.97,101060.0,100970.0
2021-03-16,101.02,45.45,28.97,37.26,20.52,2.18,-0.21,2.44,275.6,9.64,0.0,100.94,101020.0,100940.0
2021-03-17,100.97,42.83,29.07,37.4,20.44,1.96,-0.43,2.28,282.5,9.18,0.0,100.89,100970.0,100890.0
2021-03-18,100.95,43.23,29.24,37.8,20.92,2.44,0.43,2.63,260.0,9.51,0.0,100.87,100950.0,100870.0
2021-03-19,100.87,42.76,29.38,38.38,20.55,2.01,-0.42,2.37,281.9,9.26,0.0,100.78,100870.0,100780.0
2021-03-20,100.71,41.38,29.69,37.46,23.07,1.76,0.41,2.3,257.0,9.69,0.0,100.63,100710.0,100630.0
2021-03-21,100.75,44.44,30.91,39.01,22.84,1.09,0.57,1.37,242.3,10.9,0.0,100.66,100750.0,100660.0
2021-03-22,100.98,45.05,31.76,39.9,23.36,0.9,-0.25,1.57,285.6,11.37,0.0,100.9,100980.0,100900.0
2021-03-23,101.04,41.56,31.87,40.08,23.53,1.53,1.04,2.05,235.7,10.97,0.0,100.96,101040.0,100960.0
2021-03-24,100.94,43.67,32.02,39.4,25.74,1.63,-0.06,2.72,272.2,11.87,0.0,100.85,100940.0,100850.0
2021-03-25,100.89,38.57,31.69,39.29,25.18,1.42,-1.04,2.8,306.3,9.89,0.0,100.81,100890.0,100810.0
2021-03-26,100.89,41.76,30.89,38.77,23.39,1.82,0.49,2.43,254.8,10.56,0.0,100.81,100890.0,100810.0
2021-03-27,100.83,47.64,31.34,39.5,23.48,1.28,0.93,1.79,234.1,12.03,0.0,100.74,100830.0,100740.0
2021-03-28,100.7,50.24,30.88,38.77,23.54,1.6,1.88,2.69,220.4,12.51,0.0,100.62,100700.0,100620.0
2021-03-29,100.47,53.75,31.54,40.35,24.74,1.88,2.78,3.81,214.1,13.67,0.0,100.39,100470.0,100390.0
2021-03-30,100.05,54.07,32.44,42.49,24.78,1.97,2.96,4.2,213.7,13.65,0.0,99.97,100050.0,99970.0
2021-03-31,99.83,40.69,32.77,43.83,23.6,2.24,1.41,3.16,237.8,10.23,0.0,99.75,99830.0,99750.0
2021-04-01,100.12,46.33,31.4,41.51,23.01,1.15,1.74,2.75,213.6,10.79,0.0,100.04,100120.0,100040.0
2021-04-02,100.47,55.57,31.33,40.0,24.14,0.64,1.89,2.44,198.8,13.65,0.0,100.39,100470.0,100390.0
2021-04-03,100.68,54.4,31.36,39.99,23.29,0.9,2.12,2.45,203.1,13.45,0.0,100.6,100680.0,100600.0
2021-04-04,100.77,52.03,31.26,39.38,23.79,1.3,2.45,2.95,207.9,13.09,0.42,100.68,100770.0,100680.0
2021-04-05,100.93,49.43,30.67,38.19,24.08,1.08,1.52,2.06,215.4,12.15,5.01,100.85,100930.0,100850.0
2021-04-06,100.93,54.86,30.02,37.92,23.83,0.97,3.85,4.02,194.2,13.18,3.1,100.85,100930.0,100850.0
