run_date,data_through,city,mode,forecast_date,horizon,target,model,prediction,unit
2026-07-01,2026-07-01,chennai,multivariate,2026-07-02,1,TMP2m,hqnn,31.49,°C
2026-07-01,2026-07-01,chennai,multivariate,2026-07-02,1,TMP2m,ensemble,31.49,°C
2026-07-01,2026-07-01,chennai,multivariate,2026-07-02,1,RH2m,hqnn,62.338,%
2026-07-01,2026-07-01,chennai,multivariate,2026-07-02,1,RH2m,ensemble,62.338,%
2026-07-01,2026-07-01,chennai,multivariate,2026-07-02,1,PRmsl,hqnn,100706.273,Pa
2026-07-01,2026-07-01,chennai,multivariate,2026-07-02,1,PRmsl,ensemble,100706.273,Pa
2026-07-01,2026-07-01,chennai,multivariate,2026-07-03,2,TMP2m,hqnn,31.623,°C
2026-07-01,2026-07-01,chennai,multivariate,2026-07-03,2,TMP2m,ensemble,31.623,°C
2026-07-01,2026-07-01,chennai,multivariate,2026-07-03,2,RH2m,hqnn,63.015,%
2026-07-01,2026-07-01,chennai,multivariate,2026-07-03,2,RH2m,ensemble,63.015,%
2026-07-01,2026-07-01,chennai,multivariate,2026-07-03,2,PRmsl,hqnn,100726.43,Pa
2026-07-01,2026-07-01,chennai,multivariate,2026-07-03,2,PRmsl,ensemble,100726.43,Pa
2026-07-01,2026-07-01,chennai,multivariate,2026-07-04,3,TMP2m,hqnn,31.073,°C
2026-07-01,2026-07-01,chennai,multivariate,2026-07-04,3,TMP2m,ensemble,31.073,°C
2026-07-01,2026-07-01,chennai,multivariate,2026-07-04,3,RH2m,hqnn,65.532,%
2026-07-01,2026-07-01,chennai,multivariate,2026-07-04,3,RH2m,ensemble,65.532,%
2026-07-01,2026-07-01,chennai,multivariate,2026-07-04,3,PRmsl,hqnn,100674.578,Pa
2026-07-01,2026-07-01,chennai,multivariate,2026-07-04,3,PRmsl,ensemble,100674.578,Pa
2026-07-01,2026-07-01,chennai,multivariate,2026-07-05,4,TMP2m,hqnn,30.845,°C
2026-07-01,2026-07-01,chennai,multivariate,2026-07-05,4,TMP2m,ensemble,30.845,°C
2026-07-01,2026-07-01,chennai,multivariate,2026-07-05,4,RH2m,hqnn,65.84,%
2026-07-01,2026-07-01,chennai,multivariate,2026-07-05,4,RH2m,ensemble,65.84,%
2026-07-01,2026-07-01,chennai,multivariate,2026-07-05,4,PRmsl,hqnn,100699.703,Pa
2026-07-01,2026-07-01,chennai,multivariate,2026-07-05,4,PRmsl,ensemble,100699.703,Pa
2026-07-01,2026-07-01,chennai,multivariate,2026-07-06,5,TMP2m,hqnn,30.46,°C
2026-07-01,2026-07-01,chennai,multivariate,2026-07-06,5,TMP2m,ensemble,30.46,°C
2026-07-01,2026-07-01,chennai,multivariate,2026-07-06,5,RH2m,hqnn,66.516,%
2026-07-01,2026-07-01,chennai,multivariate,2026-07-06,5,RH2m,ensemble,66.516,%
2026-07-01,2026-07-01,chennai,multivariate,2026-07-06,5,PRmsl,hqnn,100702.273,Pa
2026-07-01,2026-07-01,chennai,multivariate,2026-07-06,5,PRmsl,ensemble,100702.273,Pa
2026-07-01,2026-07-01,chennai,univariate,2026-07-02,1,TMP2m,hqnn,31.454,°C
2026-07-01,2026-07-01,chennai,univariate,2026-07-02,1,TMP2m,ensemble,31.454,°C
2026-07-01,2026-07-01,chennai,univariate,2026-07-02,1,RH2m,hqnn,67.273,%
2026-07-01,2026-07-01,chennai,univariate,2026-07-02,1,RH2m,ensemble,67.273,%
2026-07-01,2026-07-01,chennai,univariate,2026-07-02,1,PRmsl,hqnn,100512.414,Pa
2026-07-01,2026-07-01,chennai,univariate,2026-07-02,1,PRmsl,ensemble,100512.414,Pa
2026-07-01,2026-07-01,chennai,univariate,2026-07-03,2,TMP2m,hqnn,31.299,°C
2026-07-01,2026-07-01,chennai,univariate,2026-07-03,2,TMP2m,ensemble,31.299,°C
2026-07-01,2026-07-01,chennai,univariate,2026-07-03,2,RH2m,hqnn,63.099,%
2026-07-01,2026-07-01,chennai,univariate,2026-07-03,2,RH2m,ensemble,63.099,%
2026-07-01,2026-07-01,chennai,univariate,2026-07-03,2,PRmsl,hqnn,100486.844,Pa
2026-07-01,2026-07-01,chennai,univariate,2026-07-03,2,PRmsl,ensemble,100486.844,Pa
2026-07-01,2026-07-01,chennai,univariate,2026-07-04,3,TMP2m,hqnn,30.777,°C
2026-07-01,2026-07-01,chennai,univariate,2026-07-04,3,TMP2m,ensemble,30.777,°C
2026-07-01,2026-07-01,chennai,univariate,2026-07-04,3,RH2m,hqnn,68.724,%
2026-07-01,2026-07-01,chennai,univariate,2026-07-04,3,RH2m,ensemble,68.724,%
2026-07-01,2026-07-01,chennai,univariate,2026-07-04,3,PRmsl,hqnn,100491.719,Pa
2026-07-01,2026-07-01,chennai,univariate,2026-07-04,3,PRmsl,ensemble,100491.719,Pa
2026-07-01,2026-07-01,chennai,univariate,2026-07-05,4,TMP2m,hqnn,30.808,°C
2026-07-01,2026-07-01,chennai,univariate,2026-07-05,4,TMP2m,ensemble,30.808,°C
2026-07-01,2026-07-01,chennai,univariate,2026-07-05,4,RH2m,hqnn,66.593,%
2026-07-01,2026-07-01,chennai,univariate,2026-07-05,4,RH2m,ensemble,66.593,%
