run_date,data_through,city,mode,forecast_date,horizon,target,model,prediction,unit
2026-07-12,2026-07-11,chennai,multivariate,2026-07-12,1,TMP2m,hqnn,31.181,C
2026-07-12,2026-07-11,chennai,multivariate,2026-07-12,1,TMP2m,ensemble,31.181,C
2026-07-12,2026-07-11,chennai,multivariate,2026-07-12,1,RH2m,hqnn,75.71,%
2026-07-12,2026-07-11,chennai,multivariate,2026-07-12,1,RH2m,ensemble,75.71,%
2026-07-12,2026-07-11,chennai,multivariate,2026-07-12,1,PRmsl,hqnn,100856.62,Pa
2026-07-12,2026-07-11,chennai,multivariate,2026-07-12,1,PRmsl,ensemble,100856.62,Pa
2026-07-12,2026-07-11,chennai,multivariate,2026-07-13,2,TMP2m,hqnn,30.775,C
2026-07-12,2026-07-11,chennai,multivariate,2026-07-13,2,TMP2m,ensemble,30.775,C
2026-07-12,2026-07-11,chennai,multivariate,2026-07-13,2,RH2m,hqnn,70.843,%
2026-07-12,2026-07-11,chennai,multivariate,2026-07-13,2,RH2m,ensemble,70.843,%
2026-07-12,2026-07-11,chennai,multivariate,2026-07-13,2,PRmsl,hqnn,100932.487,Pa
2026-07-12,2026-07-11,chennai,multivariate,2026-07-13,2,PRmsl,ensemble,100932.487,Pa
2026-07-12,2026-07-11,chennai,multivariate,2026-07-14,3,TMP2m,hqnn,30.467,C
2026-07-12,2026-07-11,chennai,multivariate,2026-07-14,3,TMP2m,ensemble,30.467,C
2026-07-12,2026-07-11,chennai,multivariate,2026-07-14,3,RH2m,hqnn,80.307,%
2026-07-12,2026-07-11,chennai,multivariate,2026-07-14,3,RH2m,ensemble,80.307,%
2026-07-12,2026-07-11,chennai,multivariate,2026-07-14,3,PRmsl,hqnn,100808.949,Pa
2026-07-12,2026-07-11,chennai,multivariate,2026-07-14,3,PRmsl,ensemble,100808.949,Pa
2026-07-12,2026-07-11,chennai,multivariate,2026-07-15,4,TMP2m,hqnn,30.696,C
2026-07-12,2026-07-11,chennai,multivariate,2026-07-15,4,TMP2m,ensemble,30.696,C
2026-07-12,2026-07-11,chennai,multivariate,2026-07-15,4,RH2m,hqnn,77.689,%
2026-07-12,2026-07-11,chennai,multivariate,2026-07-15,4,RH2m,ensemble,77.689,%
2026-07-12,2026-07-11,chennai,multivariate,2026-07-15,4,PRmsl,hqnn,100816.918,Pa
2026-07-12,2026-07-11,chennai,multivariate,2026-07-15,4,PRmsl,ensemble,100816.918,Pa
2026-07-12,2026-07-11,chennai,multivariate,2026-07-16,5,TMP2m,hqnn,30.323,C
2026-07-12,2026-07-11,chennai,multivariate,2026-07-16,5,TMP2m,ensemble,30.323,C
2026-07-12,2026-07-11,chennai,multivariate,2026-07-16,5,RH2m,hqnn,80.336,%
2026-07-12,2026-07-11,chennai,multivariate,2026-07-16,5,RH2m,ensemble,80.336,%
2026-07-12,2026-07-11,chennai,multivariate,2026-07-16,5,PRmsl,hqnn,100899.771,Pa
2026-07-12,2026-07-11,chennai,multivariate,2026-07-16,5,PRmsl,ensemble,100899.771,Pa
2026-07-12,2026-07-11,chennai,univariate,2026-07-12,1,TMP2m,hqnn,31.056,C
2026-07-12,2026-07-11,chennai,univariate,2026-07-12,1,TMP2m,ensemble,31.056,C
2026-07-12,2026-07-11,chennai,univariate,2026-07-12,1,RH2m,hqnn,73.341,%
2026-07-12,2026-07-11,chennai,univariate,2026-07-12,1,RH2m,ensemble,73.341,%
2026-07-12,2026-07-11,chennai,univariate,2026-07-12,1,PRmsl,hqnn,100661.732,Pa
2026-07-12,2026-07-11,chennai,univariate,2026-07-12,1,PRmsl,ensemble,100661.732,Pa
2026-07-12,2026-07-11,chennai,univariate,2026-07-13,2,TMP2m,hqnn,32.639,C
2026-07-12,2026-07-11,chennai,univariate,2026-07-13,2,TMP2m,ensemble,32.639,C
2026-07-12,2026-07-11,chennai,univariate,2026-07-13,2,RH2m,hqnn,68.118,%
2026-07-12,2026-07-11,chennai,univariate,2026-07-13,2,RH2m,ensemble,68.118,%
2026-07-12,2026-07-11,chennai,univariate,2026-07-13,2,PRmsl,hqnn,100563.856,Pa
2026-07-12,2026-07-11,chennai,univariate,2026-07-13,2,PRmsl,ensemble,100563.856,Pa
2026-07-12,2026-07-11,chennai,univariate,2026-07-14,3,TMP2m,hqnn,31.214,C
2026-07-12,2026-07-11,chennai,univariate,2026-07-14,3,TMP2m,ensemble,31.214,C
2026-07-12,2026-07-11,chennai,univariate,2026-07-14,3,RH2m,hqnn,74.768,%
2026-07-12,2026-07-11,chennai,univariate,2026-07-14,3,RH2m,ensemble,74.768,%
2026-07-12,2026-07-11,chennai,univariate,2026-07-14,3,PRmsl,hqnn,100670.114,Pa
2026-07-12,2026-07-11,chennai,univariate,2026-07-14,3,PRmsl,ensemble,100670.114,Pa
2026-07-12,2026-07-11,chennai,univariate,2026-07-15,4,TMP2m,hqnn,32.517,C
2026-07-12,2026-07-11,chennai,univariate,2026-07-15,4,TMP2m,ensemble,32.517,C
2026-07-12,2026-07-11,chennai,univariate,2026-07-15,4,RH2m,hqnn,69.818,%
2026-07-12,2026-07-11,chennai,univariate,2026-07-15,4,RH2m,ensemble,69.818,%
2026-07-12,2026-07-11,chennai,univariate,2026-07-15,4,PRmsl,hqnn,100557.619,Pa
2026-07-12,2026-07-11,chennai,univariate,2026-07-15,4,PRmsl,ensemble,100557.619,Pa
2026-07-12,2026-07-11,chennai,univariate,2026-07-16,5,TMP2m,hqnn,31.048,C
2026-07-12,2026-07-11,chennai,univariate,2026-07-16,5,TMP2m,ensemble,31.048,C
2026-07-12,2026-07-11,chennai,univariate,2026-07-16,5,RH2m,hqnn,74.953,%
2026-07-12,2026-07-11,chennai,univariate,2026-07-16,5,RH2m,ensemble,74.953,%
2026-07-12,2026-07-11,chennai,univariate,2026-07-16,5,PRmsl,hqnn,100670.279,Pa
2026-07-12,2026-07-11,chennai,univariate,2026-07-16,5,PRmsl,ensemble,100670.279,Pa
