forecast_date,made_on,target,model,prediction,actual,error,verified,unit,source,actual_nasa,actual_meteo,horizon
2026-01-01,2026-01-01,TMP2m,hqnn,24.483,24.68,-0.197,True,C,NASA+Meteo,24.68,24.8,1
2026-01-01,2026-01-01,TMP2m,ensemble,24.483,24.68,-0.197,True,C,NASA+Meteo,24.68,24.8,1
2026-01-01,2026-01-01,RH2m,hqnn,83.132,85.81,-2.678,True,%,NASA+Meteo,85.81,87.0,1
2026-01-01,2026-01-01,RH2m,ensemble,83.132,85.81,-2.678,True,%,NASA+Meteo,85.81,87.0,1
2026-01-01,2026-01-01,PRmsl,hqnn,101049.112,101110.0,-60.888,True,Pa,NASA+Meteo,101110.0,101160.0,1
2026-01-01,2026-01-01,PRmsl,ensemble,101049.112,101110.0,-60.888,True,Pa,NASA+Meteo,101110.0,101160.0,1
2026-01-02,2026-01-01,TMP2m,hqnn,24.624,24.86,-0.236,True,C,NASA+Meteo,24.86,25.5,2
2026-01-02,2026-01-01,TMP2m,ensemble,24.624,24.86,-0.236,True,C,NASA+Meteo,24.86,25.5,2
2026-01-02,2026-01-01,RH2m,hqnn,83.924,83.53,0.394,True,%,NASA+Meteo,83.53,81.0,2
2026-01-02,2026-01-01,RH2m,ensemble,83.924,83.53,0.394,True,%,NASA+Meteo,83.53,81.0,2
2026-01-02,2026-01-01,PRmsl,hqnn,101055.905,101310.0,-254.095,True,Pa,NASA+Meteo,101310.0,101330.0,2
2026-01-02,2026-01-01,PRmsl,ensemble,101055.905,101310.0,-254.095,True,Pa,NASA+Meteo,101310.0,101330.0,2
2026-01-03,2026-01-01,TMP2m,hqnn,24.6,24.14,0.46,True,C,NASA+Meteo,24.14,25.7,3
2026-01-03,2026-01-01,TMP2m,ensemble,24.6,24.14,0.46,True,C,NASA+Meteo,24.14,25.7,3
2026-01-03,2026-01-01,RH2m,hqnn,84.474,80.9,3.574,True,%,NASA+Meteo,80.9,74.0,3
2026-01-03,2026-01-01,RH2m,ensemble,84.474,80.9,3.574,True,%,NASA+Meteo,80.9,74.0,3
2026-01-03,2026-01-01,PRmsl,hqnn,101046.725,101410.0,-363.275,True,Pa,NASA+Meteo,101410.0,101430.0,3
2026-01-03,2026-01-01,PRmsl,ensemble,101046.725,101410.0,-363.275,True,Pa,NASA+Meteo,101410.0,101430.0,3
2026-01-04,2026-01-01,TMP2m,hqnn,24.687,23.39,1.297,True,C,NASA+Meteo,23.39,25.4,4
2026-01-04,2026-01-01,TMP2m,ensemble,24.687,23.39,1.297,True,C,NASA+Meteo,23.39,25.4,4
2026-01-04,2026-01-01,RH2m,hqnn,84.498,78.04,6.458,True,%,NASA+Meteo,78.04,67.0,4
2026-01-04,2026-01-01,RH2m,ensemble,84.498,78.04,6.458,True,%,NASA+Meteo,78.04,67.0,4
2026-01-04,2026-01-01,PRmsl,hqnn,101046.711,101500.0,-453.289,True,Pa,NASA+Meteo,101500.0,101500.0,4
2026-01-04,2026-01-01,PRmsl,ensemble,101046.711,101500.0,-453.289,True,Pa,NASA+Meteo,101500.0,101500.0,4
2026-01-05,2026-01-01,TMP2m,hqnn,24.601,23.5,1.101,True,C,NASA+Meteo,23.5,25.9,5
2026-01-05,2026-01-01,TMP2m,ensemble,24.601,23.5,1.101,True,C,NASA+Meteo,23.5,25.9,5
2026-01-05,2026-01-01,RH2m,hqnn,84.606,75.3,9.306,True,%,NASA+Meteo,75.3,64.0,5
2026-01-05,2026-01-01,RH2m,ensemble,84.606,75.3,9.306,True,%,NASA+Meteo,75.3,64.0,5
