forecast_date,made_on,target,model,prediction,actual,error,verified,unit,source,actual_nasa,actual_meteo,horizon
2026-01-01,2026-01-01,TMP2m,hqnn,23.824,24.68,-0.856,True,C,NASA+Meteo,24.68,24.8,1
2026-01-01,2026-01-01,TMP2m,ensemble,23.824,24.68,-0.856,True,C,NASA+Meteo,24.68,24.8,1
2026-01-01,2026-01-01,RH2m,hqnn,82.815,85.81,-2.995,True,%,NASA+Meteo,85.81,87.0,1
2026-01-01,2026-01-01,RH2m,ensemble,82.815,85.81,-2.995,True,%,NASA+Meteo,85.81,87.0,1
2026-01-01,2026-01-01,PRmsl,hqnn,101251.225,101110.0,141.225,True,Pa,NASA+Meteo,101110.0,101160.0,1
2026-01-01,2026-01-01,PRmsl,ensemble,101251.225,101110.0,141.225,True,Pa,NASA+Meteo,101110.0,101160.0,1
2026-01-02,2026-01-01,TMP2m,hqnn,24.4,24.86,-0.46,True,C,NASA+Meteo,24.86,25.5,2
2026-01-02,2026-01-01,TMP2m,ensemble,24.4,24.86,-0.46,True,C,NASA+Meteo,24.86,25.5,2
2026-01-02,2026-01-01,RH2m,hqnn,83.863,83.53,0.333,True,%,NASA+Meteo,83.53,81.0,2
2026-01-02,2026-01-01,RH2m,ensemble,83.863,83.53,0.333,True,%,NASA+Meteo,83.53,81.0,2
2026-01-02,2026-01-01,PRmsl,hqnn,101042.237,101310.0,-267.763,True,Pa,NASA+Meteo,101310.0,101330.0,2
2026-01-02,2026-01-01,PRmsl,ensemble,101042.237,101310.0,-267.763,True,Pa,NASA+Meteo,101310.0,101330.0,2
2026-01-03,2026-01-01,TMP2m,hqnn,23.926,24.14,-0.214,True,C,NASA+Meteo,24.14,25.7,3
2026-01-03,2026-01-01,TMP2m,ensemble,23.926,24.14,-0.214,True,C,NASA+Meteo,24.14,25.7,3
2026-01-03,2026-01-01,RH2m,hqnn,81.811,80.9,0.911,True,%,NASA+Meteo,80.9,74.0,3
2026-01-03,2026-01-01,RH2m,ensemble,81.811,80.9,0.911,True,%,NASA+Meteo,80.9,74.0,3
2026-01-03,2026-01-01,PRmsl,hqnn,101275.033,101410.0,-134.967,True,Pa,NASA+Meteo,101410.0,101430.0,3
2026-01-03,2026-01-01,PRmsl,ensemble,101275.033,101410.0,-134.967,True,Pa,NASA+Meteo,101410.0,101430.0,3
2026-01-04,2026-01-01,TMP2m,hqnn,24.33,23.39,0.94,True,C,NASA+Meteo,23.39,25.4,4
2026-01-04,2026-01-01,TMP2m,ensemble,24.33,23.39,0.94,True,C,NASA+Meteo,23.39,25.4,4
2026-01-04,2026-01-01,RH2m,hqnn,81.926,78.04,3.886,True,%,NASA+Meteo,78.04,67.0,4
2026-01-04,2026-01-01,RH2m,ensemble,81.926,78.04,3.886,True,%,NASA+Meteo,78.04,67.0,4
2026-01-04,2026-01-01,PRmsl,hqnn,100962.965,101500.0,-537.035,True,Pa,NASA+Meteo,101500.0,101500.0,4
2026-01-04,2026-01-01,PRmsl,ensemble,100962.965,101500.0,-537.035,True,Pa,NASA+Meteo,101500.0,101500.0,4
2026-01-05,2026-01-01,TMP2m,hqnn,23.973,23.5,0.473,True,C,NASA+Meteo,23.5,25.9,5
2026-01-05,2026-01-01,TMP2m,ensemble,23.973,23.5,0.473,True,C,NASA+Meteo,23.5,25.9,5
2026-01-05,2026-01-01,RH2m,hqnn,80.631,75.3,5.331,True,%,NASA+Meteo,75.3,64.0,5
2026-01-05,2026-01-01,RH2m,ensemble,80.631,75.3,5.331,True,%,NASA+Meteo,75.3,64.0,5
2026-01-05,2026-01-01,PRmsl,hqnn,101338.57,101560.0,-221.43,True,Pa,NASA+Meteo,101560.0,101550.0,5
2026-01-05,2026-01-01,PRmsl,ensemble,101338.57,101560.0,-221.43,True,Pa,NASA+Meteo,101560.0,101550.0,5
2026-01-06,2026-01-01,TMP2m,hqnn,24.293,23.67,0.623,True,C,NASA+Meteo,23.67,26.0,6
2026-01-06,2026-01-01,TMP2m,ensemble,24.293,23.67,0.623,True,C,NASA+Meteo,23.67,26.0,6
2026-01-06,2026-01-01,RH2m,hqnn,81.043,76.55,4.493,True,%,NASA+Meteo,76.55,64.0,6
2026-01-06,2026-01-01,RH2m,ensemble,81.043,76.55,4.493,True,%,NASA+Meteo,76.55,64.0,6
2026-01-06,2026-01-01,PRmsl,hqnn,100909.099,101570.0,-660.901,True,Pa,NASA+Meteo,101570.0,101550.0,6
2026-01-06,2026-01-01,PRmsl,ensemble,100909.099,101570.0,-660.901,True,Pa,NASA+Meteo,101570.0,101550.0,6
2026-01-07,2026-01-01,TMP2m,hqnn,24.054,23.48,0.574,True,C,NASA+Meteo,23.48,25.6,7
2026-01-07,2026-01-01,TMP2m,ensemble,24.054,23.48,0.574,True,C,NASA+Meteo,23.48,25.6,7
2026-01-07,2026-01-01,RH2m,hqnn,80.49,75.43,5.06,True,%,NASA+Meteo,75.43,60.0,7
2026-01-07,2026-01-01,RH2m,ensemble,80.49,75.43,5.06,True,%,NASA+Meteo,75.43,60.0,7
2026-01-07,2026-01-01,PRmsl,hqnn,101408.231,101640.0,-231.769,True,Pa,NASA+Meteo,101640.0,101620.0,7
2026-01-07,2026-01-01,PRmsl,ensemble,101408.231,101640.0,-231.769,True,Pa,NASA+Meteo,101640.0,101620.0,7
2026-01-08,2026-01-01,TMP2m,hqnn,24.296,23.55,0.746,True,C,NASA+Meteo,23.55,25.6,8
2026-01-08,2026-01-01,TMP2m,ensemble,24.296,23.55,0.746,True,C,NASA+Meteo,23.55,25.6,8
2026-01-08,2026-01-01,RH2m,hqnn,80.991,72.86,8.131,True,%,NASA+Meteo,72.86,62.0,8
2026-01-08,2026-01-01,RH2m,ensemble,80.991,72.86,8.131,True,%,NASA+Meteo,72.86,62.0,8
2026-01-08,2026-01-01,PRmsl,hqnn,100852.841,101660.0,-807.159,True,Pa,NASA+Meteo,101660.0,101620.0,8
