run_date,data_through,city,mode,forecast_date,horizon,target,model,prediction,unit
2026-07-01,2026-07-01,delhi,multivariate,2026-07-02,1,TMP2m,hqnn,31.713,°C
2026-07-01,2026-07-01,delhi,multivariate,2026-07-02,1,TMP2m,ensemble,31.713,°C
2026-07-01,2026-07-01,delhi,multivariate,2026-07-02,1,RH2m,hqnn,66.368,%
2026-07-01,2026-07-01,delhi,multivariate,2026-07-02,1,RH2m,ensemble,66.368,%
2026-07-01,2026-07-01,delhi,multivariate,2026-07-02,1,PRmsl,hqnn,99945.164,Pa
2026-07-01,2026-07-01,delhi,multivariate,2026-07-02,1,PRmsl,ensemble,99945.164,Pa
2026-07-01,2026-07-01,delhi,multivariate,2026-07-03,2,TMP2m,hqnn,30.479,°C
2026-07-01,2026-07-01,delhi,multivariate,2026-07-03,2,TMP2m,ensemble,30.479,°C
2026-07-01,2026-07-01,delhi,multivariate,2026-07-03,2,RH2m,hqnn,68.67,%
2026-07-01,2026-07-01,delhi,multivariate,2026-07-03,2,RH2m,ensemble,68.67,%
2026-07-01,2026-07-01,delhi,multivariate,2026-07-03,2,PRmsl,hqnn,99903.602,Pa
2026-07-01,2026-07-01,delhi,multivariate,2026-07-03,2,PRmsl,ensemble,99903.602,Pa
2026-07-01,2026-07-01,delhi,multivariate,2026-07-04,3,TMP2m,hqnn,30.949,°C
2026-07-01,2026-07-01,delhi,multivariate,2026-07-04,3,TMP2m,ensemble,30.949,°C
2026-07-01,2026-07-01,delhi,multivariate,2026-07-04,3,RH2m,hqnn,68.92,%
2026-07-01,2026-07-01,delhi,multivariate,2026-07-04,3,RH2m,ensemble,68.92,%
2026-07-01,2026-07-01,delhi,multivariate,2026-07-04,3,PRmsl,hqnn,99941.594,Pa
2026-07-01,2026-07-01,delhi,multivariate,2026-07-04,3,PRmsl,ensemble,99941.594,Pa
2026-07-01,2026-07-01,delhi,multivariate,2026-07-05,4,TMP2m,hqnn,31.263,°C
2026-07-01,2026-07-01,delhi,multivariate,2026-07-05,4,TMP2m,ensemble,31.263,°C
2026-07-01,2026-07-01,delhi,multivariate,2026-07-05,4,RH2m,hqnn,69.975,%
2026-07-01,2026-07-01,delhi,multivariate,2026-07-05,4,RH2m,ensemble,69.975,%
2026-07-01,2026-07-01,delhi,multivariate,2026-07-05,4,PRmsl,hqnn,99965.945,Pa
2026-07-01,2026-07-01,delhi,multivariate,2026-07-05,4,PRmsl,ensemble,99965.945,Pa
2026-07-01,2026-07-01,delhi,multivariate,2026-07-06,5,TMP2m,hqnn,31.35,°C
2026-07-01,2026-07-01,delhi,multivariate,2026-07-06,5,TMP2m,ensemble,31.35,°C
2026-07-01,2026-07-01,delhi,multivariate,2026-07-06,5,RH2m,hqnn,70.018,%
2026-07-01,2026-07-01,delhi,multivariate,2026-07-06,5,RH2m,ensemble,70.018,%
2026-07-01,2026-07-01,delhi,multivariate,2026-07-06,5,PRmsl,hqnn,99933.789,Pa
2026-07-01,2026-07-01,delhi,multivariate,2026-07-06,5,PRmsl,ensemble,99933.789,Pa
2026-07-01,2026-07-01,delhi,univariate,2026-07-02,1,TMP2m,hqnn,33.267,°C
2026-07-01,2026-07-01,delhi,univariate,2026-07-02,1,TMP2m,ensemble,33.267,°C
2026-07-01,2026-07-01,delhi,univariate,2026-07-02,1,RH2m,hqnn,55.171,%
2026-07-01,2026-07-01,delhi,univariate,2026-07-02,1,RH2m,ensemble,55.171,%
2026-07-01,2026-07-01,delhi,univariate,2026-07-02,1,PRmsl,hqnn,99940.398,Pa
2026-07-01,2026-07-01,delhi,univariate,2026-07-02,1,PRmsl,ensemble,99940.398,Pa
2026-07-01,2026-07-01,delhi,univariate,2026-07-03,2,TMP2m,hqnn,31.292,°C
2026-07-01,2026-07-01,delhi,univariate,2026-07-03,2,TMP2m,ensemble,31.292,°C
2026-07-01,2026-07-01,delhi,univariate,2026-07-03,2,RH2m,hqnn,67.937,%
2026-07-01,2026-07-01,delhi,univariate,2026-07-03,2,RH2m,ensemble,67.937,%
2026-07-01,2026-07-01,delhi,univariate,2026-07-03,2,PRmsl,hqnn,99987.992,Pa
2026-07-01,2026-07-01,delhi,univariate,2026-07-03,2,PRmsl,ensemble,99987.992,Pa
2026-07-01,2026-07-01,delhi,univariate,2026-07-04,3,TMP2m,hqnn,33.794,°C
2026-07-01,2026-07-01,delhi,univariate,2026-07-04,3,TMP2m,ensemble,33.794,°C
2026-07-01,2026-07-01,delhi,univariate,2026-07-04,3,RH2m,hqnn,51.929,%
2026-07-01,2026-07-01,delhi,univariate,2026-07-04,3,RH2m,ensemble,51.929,%
2026-07-01,2026-07-01,delhi,univariate,2026-07-04,3,PRmsl,hqnn,99922.461,Pa
2026-07-01,2026-07-01,delhi,univariate,2026-07-04,3,PRmsl,ensemble,99922.461,Pa
2026-07-01,2026-07-01,delhi,univariate,2026-07-05,4,TMP2m,hqnn,31.728,°C
2026-07-01,2026-07-01,delhi,univariate,2026-07-05,4,TMP2m,ensemble,31.728,°C
2026-07-01,2026-07-01,delhi,univariate,2026-07-05,4,RH2m,hqnn,66.16,%
2026-07-01,2026-07-01,delhi,univariate,2026-07-05,4,RH2m,ensemble,66.16,%
2026-07-01,2026-07-01,delhi,univariate,2026-07-05,4,PRmsl,hqnn,99984.141,Pa
2026-07-01,2026-07-01,delhi,univariate,2026-07-05,4,PRmsl,ensemble,99984.141,Pa
2026-07-01,2026-07-01,delhi,univariate,2026-07-06,5,TMP2m,hqnn,33.957,°C
2026-07-01,2026-07-01,delhi,univariate,2026-07-06,5,TMP2m,ensemble,33.957,°C
2026-07-01,2026-07-01,delhi,univariate,2026-07-06,5,RH2m,hqnn,52.01,%
2026-07-01,2026-07-01,delhi,univariate,2026-07-06,5,RH2m,ensemble,52.01,%
2026-07-01,2026-07-01,delhi,univariate,2026-07-06,5,PRmsl,hqnn,99929.766,Pa
2026-07-01,2026-07-01,delhi,univariate,2026-07-06,5,PRmsl,ensemble,99929.766,Pa
2026-07-02,2026-07-02,delhi,multivariate,2026-07-03,1,TMP2m,hqnn,31.948,°C
2026-07-02,2026-07-02,delhi,multivariate,2026-07-03,1,TMP2m,ensemble,31.948,°C
2026-07-02,2026-07-02,delhi,multivariate,2026-07-03,1,RH2m,hqnn,63.052,%
2026-07-02,2026-07-02,delhi,multivariate,2026-07-03,1,RH2m,ensemble,63.052,%
2026-07-02,2026-07-02,delhi,multivariate,2026-07-03,1,PRmsl,hqnn,99927.984,Pa
2026-07-02,2026-07-02,delhi,multivariate,2026-07-03,1,PRmsl,ensemble,99927.984,Pa
2026-07-02,2026-07-02,delhi,multivariate,2026-07-04,2,TMP2m,hqnn,32.477,°C
2026-07-02,2026-07-02,delhi,multivariate,2026-07-04,2,TMP2m,ensemble,32.477,°C
2026-07-02,2026-07-02,delhi,multivariate,2026-07-04,2,RH2m,hqnn,63.089,%
2026-07-02,2026-07-02,delhi,multivariate,2026-07-04,2,RH2m,ensemble,63.089,%
2026-07-02,2026-07-02,delhi,multivariate,2026-07-04,2,PRmsl,hqnn,99853.031,Pa
2026-07-02,2026-07-02,delhi,multivariate,2026-07-04,2,PRmsl,ensemble,99853.031,Pa
2026-07-02,2026-07-02,delhi,multivariate,2026-07-05,3,TMP2m,hqnn,32.239,°C
2026-07-02,2026-07-02,delhi,multivariate,2026-07-05,3,TMP2m,ensemble,32.239,°C
2026-07-02,2026-07-02,delhi,multivariate,2026-07-05,3,RH2m,hqnn,64.707,%
2026-07-02,2026-07-02,delhi,multivariate,2026-07-05,3,RH2m,ensemble,64.707,%
2026-07-02,2026-07-02,delhi,multivariate,2026-07-05,3,PRmsl,hqnn,99956.883,Pa
2026-07-02,2026-07-02,delhi,multivariate,2026-07-05,3,PRmsl,ensemble,99956.883,Pa
2026-07-02,2026-07-02,delhi,multivariate,2026-07-06,4,TMP2m,hqnn,32.32,°C
2026-07-02,2026-07-02,delhi,multivariate,2026-07-06,4,TMP2m,ensemble,32.32,°C
2026-07-02,2026-07-02,delhi,multivariate,2026-07-06,4,RH2m,hqnn,63.74,%
2026-07-02,2026-07-02,delhi,multivariate,2026-07-06,4,RH2m,ensemble,63.74,%
2026-07-02,2026-07-02,delhi,multivariate,2026-07-06,4,PRmsl,hqnn,99934.914,Pa
2026-07-02,2026-07-02,delhi,multivariate,2026-07-06,4,PRmsl,ensemble,99934.914,Pa
2026-07-02,2026-07-02,delhi,multivariate,2026-07-07,5,TMP2m,hqnn,32.896,°C
2026-07-02,2026-07-02,delhi,multivariate,2026-07-07,5,TMP2m,ensemble,32.896,°C
2026-07-02,2026-07-02,delhi,multivariate,2026-07-07,5,RH2m,hqnn,63.819,%
2026-07-02,2026-07-02,delhi,multivariate,2026-07-07,5,RH2m,ensemble,63.819,%
2026-07-02,2026-07-02,delhi,multivariate,2026-07-07,5,PRmsl,hqnn,99876.734,Pa
2026-07-02,2026-07-02,delhi,multivariate,2026-07-07,5,PRmsl,ensemble,99876.734,Pa
2026-07-02,2026-07-02,delhi,univariate,2026-07-03,1,TMP2m,hqnn,30.726,°C
2026-07-02,2026-07-02,delhi,univariate,2026-07-03,1,TMP2m,ensemble,30.726,°C
2026-07-02,2026-07-02,delhi,univariate,2026-07-03,1,RH2m,hqnn,68.751,%
2026-07-02,2026-07-02,delhi,univariate,2026-07-03,1,RH2m,ensemble,68.751,%
