run_date,data_through,city,mode,forecast_date,horizon,target,model,prediction,unit
2026-07-27,2026-07-26,delhi,multivariate,2026-07-27,1,TMP2m,hqnn,29.849,C
2026-07-27,2026-07-26,delhi,multivariate,2026-07-27,1,TMP2m,ensemble,29.849,C
2026-07-27,2026-07-26,delhi,multivariate,2026-07-27,1,RH2m,hqnn,79.71,%
2026-07-27,2026-07-26,delhi,multivariate,2026-07-27,1,RH2m,ensemble,79.71,%
2026-07-27,2026-07-26,delhi,multivariate,2026-07-27,1,PRmsl,hqnn,99828.449,Pa
2026-07-27,2026-07-26,delhi,multivariate,2026-07-27,1,PRmsl,ensemble,99828.449,Pa
2026-07-27,2026-07-26,delhi,multivariate,2026-07-28,2,TMP2m,hqnn,29.468,C
2026-07-27,2026-07-26,delhi,multivariate,2026-07-28,2,TMP2m,ensemble,29.468,C
2026-07-27,2026-07-26,delhi,multivariate,2026-07-28,2,RH2m,hqnn,81.363,%
2026-07-27,2026-07-26,delhi,multivariate,2026-07-28,2,RH2m,ensemble,81.363,%
2026-07-27,2026-07-26,delhi,multivariate,2026-07-28,2,PRmsl,hqnn,99829.935,Pa
2026-07-27,2026-07-26,delhi,multivariate,2026-07-28,2,PRmsl,ensemble,99829.935,Pa
2026-07-27,2026-07-26,delhi,multivariate,2026-07-29,3,TMP2m,hqnn,29.367,C
2026-07-27,2026-07-26,delhi,multivariate,2026-07-29,3,TMP2m,ensemble,29.367,C
2026-07-27,2026-07-26,delhi,multivariate,2026-07-29,3,RH2m,hqnn,81.875,%
2026-07-27,2026-07-26,delhi,multivariate,2026-07-29,3,RH2m,ensemble,81.875,%
2026-07-27,2026-07-26,delhi,multivariate,2026-07-29,3,PRmsl,hqnn,100021.234,Pa
2026-07-27,2026-07-26,delhi,multivariate,2026-07-29,3,PRmsl,ensemble,100021.234,Pa
2026-07-27,2026-07-26,delhi,multivariate,2026-07-30,4,TMP2m,hqnn,29.541,C
2026-07-27,2026-07-26,delhi,multivariate,2026-07-30,4,TMP2m,ensemble,29.541,C
2026-07-27,2026-07-26,delhi,multivariate,2026-07-30,4,RH2m,hqnn,81.258,%
2026-07-27,2026-07-26,delhi,multivariate,2026-07-30,4,RH2m,ensemble,81.258,%
2026-07-27,2026-07-26,delhi,multivariate,2026-07-30,4,PRmsl,hqnn,99883.824,Pa
2026-07-27,2026-07-26,delhi,multivariate,2026-07-30,4,PRmsl,ensemble,99883.824,Pa
2026-07-27,2026-07-26,delhi,multivariate,2026-07-31,5,TMP2m,hqnn,29.431,C
2026-07-27,2026-07-26,delhi,multivariate,2026-07-31,5,TMP2m,ensemble,29.431,C
2026-07-27,2026-07-26,delhi,multivariate,2026-07-31,5,RH2m,hqnn,81.819,%
2026-07-27,2026-07-26,delhi,multivariate,2026-07-31,5,RH2m,ensemble,81.819,%
2026-07-27,2026-07-26,delhi,multivariate,2026-07-31,5,PRmsl,hqnn,99778.919,Pa
2026-07-27,2026-07-26,delhi,multivariate,2026-07-31,5,PRmsl,ensemble,99778.919,Pa
2026-07-27,2026-07-26,delhi,univariate,2026-07-27,1,TMP2m,hqnn,29.87,C
2026-07-27,2026-07-26,delhi,univariate,2026-07-27,1,TMP2m,ensemble,29.87,C
2026-07-27,2026-07-26,delhi,univariate,2026-07-27,1,RH2m,hqnn,81.777,%
2026-07-27,2026-07-26,delhi,univariate,2026-07-27,1,RH2m,ensemble,81.777,%
2026-07-27,2026-07-26,delhi,univariate,2026-07-27,1,PRmsl,hqnn,100004.847,Pa
2026-07-27,2026-07-26,delhi,univariate,2026-07-27,1,PRmsl,ensemble,100004.847,Pa
2026-07-27,2026-07-26,delhi,univariate,2026-07-28,2,TMP2m,hqnn,29.913,C
2026-07-27,2026-07-26,delhi,univariate,2026-07-28,2,TMP2m,ensemble,29.913,C
2026-07-27,2026-07-26,delhi,univariate,2026-07-28,2,RH2m,hqnn,83.92,%
2026-07-27,2026-07-26,delhi,univariate,2026-07-28,2,RH2m,ensemble,83.92,%
2026-07-27,2026-07-26,delhi,univariate,2026-07-28,2,PRmsl,hqnn,99988.495,Pa
2026-07-27,2026-07-26,delhi,univariate,2026-07-28,2,PRmsl,ensemble,99988.495,Pa
2026-07-27,2026-07-26,delhi,univariate,2026-07-29,3,TMP2m,hqnn,29.58,C
2026-07-27,2026-07-26,delhi,univariate,2026-07-29,3,TMP2m,ensemble,29.58,C
2026-07-27,2026-07-26,delhi,univariate,2026-07-29,3,RH2m,hqnn,85.315,%
2026-07-27,2026-07-26,delhi,univariate,2026-07-29,3,RH2m,ensemble,85.315,%
2026-07-27,2026-07-26,delhi,univariate,2026-07-29,3,PRmsl,hqnn,99951.096,Pa
2026-07-27,2026-07-26,delhi,univariate,2026-07-29,3,PRmsl,ensemble,99951.096,Pa
2026-07-27,2026-07-26,delhi,univariate,2026-07-30,4,TMP2m,hqnn,30.049,C
2026-07-27,2026-07-26,delhi,univariate,2026-07-30,4,TMP2m,ensemble,30.049,C
2026-07-27,2026-07-26,delhi,univariate,2026-07-30,4,RH2m,hqnn,85.776,%
2026-07-27,2026-07-26,delhi,univariate,2026-07-30,4,RH2m,ensemble,85.776,%
2026-07-27,2026-07-26,delhi,univariate,2026-07-30,4,PRmsl,hqnn,99959.8,Pa
2026-07-27,2026-07-26,delhi,univariate,2026-07-30,4,PRmsl,ensemble,99959.8,Pa
2026-07-27,2026-07-26,delhi,univariate,2026-07-31,5,TMP2m,hqnn,29.726,C
2026-07-27,2026-07-26,delhi,univariate,2026-07-31,5,TMP2m,ensemble,29.726,C
2026-07-27,2026-07-26,delhi,univariate,2026-07-31,5,RH2m,hqnn,86.509,%
2026-07-27,2026-07-26,delhi,univariate,2026-07-31,5,RH2m,ensemble,86.509,%
2026-07-27,2026-07-26,delhi,univariate,2026-07-31,5,PRmsl,hqnn,99934.643,Pa
2026-07-27,2026-07-26,delhi,univariate,2026-07-31,5,PRmsl,ensemble,99934.643,Pa
