forecast_date,made_on,target,model,prediction,actual,error,verified,unit,source,actual_nasa,actual_meteo,horizon
2026-01-01,2026-01-01,TMP2m,lstm,14.376,13.32,1.056,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,TMP2m,qlstm,14.023,13.32,0.703,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,TMP2m,gru,13.643,13.32,0.323,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,TMP2m,qgru,13.835,13.32,0.515,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,TMP2m,ann,13.662,13.32,0.342,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,TMP2m,hqnn,14.09,13.32,0.77,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,TMP2m,ensemble,13.938,13.32,0.618,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,RH2m,lstm,57.896,68.94,-11.044,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,RH2m,qlstm,57.12,68.94,-11.82,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,RH2m,gru,59.902,68.94,-9.038,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,RH2m,qgru,60.273,68.94,-8.667,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,RH2m,ann,65.488,68.94,-3.452,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,RH2m,hqnn,61.567,68.94,-7.373,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,RH2m,ensemble,60.374,68.94,-8.566,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,PRmsl,lstm,101353.227,101450.0,-96.773,True,Pa,NASA+Meteo,101450.0,101530.0,1
2026-01-01,2026-01-01,PRmsl,qlstm,101471.169,101450.0,21.169,True,Pa,NASA+Meteo,101450.0,101530.0,1
