forecast_date,made_on,target,model,prediction,actual,error,verified,unit,source,actual_nasa,actual_meteo,horizon
2026-01-01,2026-01-01,TMP2m,lstm,14.059,13.32,0.739,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,TMP2m,qlstm,14.734,13.32,1.414,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,TMP2m,gru,14.129,13.32,0.809,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,TMP2m,qgru,13.743,13.32,0.423,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,TMP2m,ann,13.652,13.32,0.332,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,TMP2m,hqnn,13.959,13.32,0.639,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,TMP2m,ensemble,14.046,13.32,0.726,True,C,NASA+Meteo,13.32,13.3,1
2026-01-01,2026-01-01,RH2m,lstm,43.528,68.94,-25.412,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,RH2m,qlstm,47.987,68.94,-20.953,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,RH2m,gru,50.369,68.94,-18.571,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,RH2m,qgru,50.593,68.94,-18.347,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,RH2m,ann,45.698,68.94,-23.242,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,RH2m,hqnn,48.887,68.94,-20.053,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,RH2m,ensemble,47.844,68.94,-21.096,True,%,NASA+Meteo,68.94,90.0,1
2026-01-01,2026-01-01,PRmsl,lstm,101521.781,101450.0,71.781,True,Pa,NASA+Meteo,101450.0,101540.0,1
2026-01-01,2026-01-01,PRmsl,qlstm,101545.19,101450.0,95.19,True,Pa,NASA+Meteo,101450.0,101540.0,1
2026-01-01,2026-01-01,PRmsl,gru,101573.606,101450.0,123.606,True,Pa,NASA+Meteo,101450.0,101540.0,1
2026-01-01,2026-01-01,PRmsl,qgru,101498.154,101450.0,48.154,True,Pa,NASA+Meteo,101450.0,101540.0,1
2026-01-01,2026-01-01,PRmsl,ann,101401.472,101450.0,-48.528,True,Pa,NASA+Meteo,101450.0,101540.0,1
2026-01-01,2026-01-01,PRmsl,hqnn,101468.808,101450.0,18.808,True,Pa,NASA+Meteo,101450.0,101540.0,1
2026-01-01,2026-01-01,PRmsl,ensemble,101501.502,101450.0,51.502,True,Pa,NASA+Meteo,101450.0,101540.0,1
