run_date,data_through,city,mode,forecast_date,horizon,target,model,prediction,unit
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-02,1,TMP2m,hqnn,26.524,°C
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-02,1,TMP2m,ensemble,26.524,°C
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-02,1,RH2m,hqnn,90.598,%
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-02,1,RH2m,ensemble,90.598,%
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-02,1,PRmsl,hqnn,101046.203,Pa
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-02,1,PRmsl,ensemble,101046.203,Pa
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-03,2,TMP2m,hqnn,26.555,°C
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-03,2,TMP2m,ensemble,26.555,°C
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-03,2,RH2m,hqnn,90.439,%
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-03,2,RH2m,ensemble,90.439,%
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-03,2,PRmsl,hqnn,101088.422,Pa
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-03,2,PRmsl,ensemble,101088.422,Pa
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-04,3,TMP2m,hqnn,27.018,°C
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-04,3,TMP2m,ensemble,27.018,°C
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-04,3,RH2m,hqnn,90.59,%
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-04,3,RH2m,ensemble,90.59,%
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-04,3,PRmsl,hqnn,100972.016,Pa
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-04,3,PRmsl,ensemble,100972.016,Pa
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-05,4,TMP2m,hqnn,27.152,°C
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-05,4,TMP2m,ensemble,27.152,°C
2026-07-01,2026-07-01,mumbai,multivariate,2026-07-05,4,RH2m,hqnn,91.27,%
