run_date,data_through,city,mode,forecast_date,horizon,target,model,prediction,unit
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-08,1,TMP2m,hqnn,25.828,C
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-08,1,TMP2m,ensemble,25.828,C
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-08,1,RH2m,hqnn,87.894,%
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-08,1,RH2m,ensemble,87.894,%
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-08,1,PRmsl,hqnn,100475.171,Pa
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-08,1,PRmsl,ensemble,100475.171,Pa
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-09,2,TMP2m,hqnn,25.828,C
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-09,2,TMP2m,ensemble,25.828,C
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-09,2,RH2m,hqnn,87.894,%
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-09,2,RH2m,ensemble,87.894,%
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-09,2,PRmsl,hqnn,100475.171,Pa
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-09,2,PRmsl,ensemble,100475.171,Pa
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-10,3,TMP2m,hqnn,25.828,C
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-10,3,TMP2m,ensemble,25.828,C
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-10,3,RH2m,hqnn,87.894,%
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-10,3,RH2m,ensemble,87.894,%
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-10,3,PRmsl,hqnn,100475.171,Pa
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-10,3,PRmsl,ensemble,100475.171,Pa
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-11,4,TMP2m,hqnn,25.951,C
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-11,4,TMP2m,ensemble,25.951,C
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-11,4,RH2m,hqnn,88.646,%
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-11,4,RH2m,ensemble,88.646,%
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-11,4,PRmsl,hqnn,100879.699,Pa
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-11,4,PRmsl,ensemble,100879.699,Pa
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-12,5,TMP2m,hqnn,25.951,C
2026-07-07,2026-07-07,mumbai,multivariate,2026-07-12,5,TMP2m,ensemble,25.951,C
