forecast_date,made_on,target,model,prediction,actual,error,verified,unit,source,actual_nasa,actual_meteo,horizon
2026-01-01,2026-01-01,TMP2m,hqnn,21.735,21.6,0.135,True,C,NASA+Meteo,21.6,23.5,1
2026-01-01,2026-01-01,TMP2m,ensemble,21.735,21.6,0.135,True,C,NASA+Meteo,21.6,23.5,1
2026-01-01,2026-01-01,RH2m,hqnn,62.431,79.27,-16.839,True,%,NASA+Meteo,79.27,76.0,1
2026-01-01,2026-01-01,RH2m,ensemble,62.431,79.27,-16.839,True,%,NASA+Meteo,79.27,76.0,1
2026-01-01,2026-01-01,PRmsl,hqnn,101286.274,101210.0,76.274,True,Pa,NASA+Meteo,101210.0,101220.0,1
2026-01-01,2026-01-01,PRmsl,ensemble,101286.274,101210.0,76.274,True,Pa,NASA+Meteo,101210.0,101220.0,1
2026-01-02,2026-01-01,TMP2m,hqnn,21.611,22.15,-0.539,True,C,NASA+Meteo,22.15,23.8,2
2026-01-02,2026-01-01,TMP2m,ensemble,21.611,22.15,-0.539,True,C,NASA+Meteo,22.15,23.8,2
2026-01-02,2026-01-01,RH2m,hqnn,69.096,74.63,-5.534,True,%,NASA+Meteo,74.63,75.0,2
2026-01-02,2026-01-01,RH2m,ensemble,69.096,74.63,-5.534,True,%,NASA+Meteo,74.63,75.0,2
2026-01-02,2026-01-01,PRmsl,hqnn,101204.134,101350.0,-145.866,True,Pa,NASA+Meteo,101350.0,101360.0,2
2026-01-02,2026-01-01,PRmsl,ensemble,101204.134,101350.0,-145.866,True,Pa,NASA+Meteo,101350.0,101360.0,2
2026-01-03,2026-01-01,TMP2m,hqnn,22.342,22.55,-0.208,True,C,NASA+Meteo,22.55,24.5,3
2026-01-03,2026-01-01,TMP2m,ensemble,22.342,22.55,-0.208,True,C,NASA+Meteo,22.55,24.5,3
2026-01-03,2026-01-01,RH2m,hqnn,60.731,70.22,-9.489,True,%,NASA+Meteo,70.22,66.0,3
2026-01-03,2026-01-01,RH2m,ensemble,60.731,70.22,-9.489,True,%,NASA+Meteo,70.22,66.0,3
2026-01-03,2026-01-01,PRmsl,hqnn,101286.109,101320.0,-33.891,True,Pa,NASA+Meteo,101320.0,101370.0,3
2026-01-03,2026-01-01,PRmsl,ensemble,101286.109,101320.0,-33.891,True,Pa,NASA+Meteo,101320.0,101370.0,3
2026-01-04,2026-01-01,TMP2m,hqnn,21.834,23.77,-1.936,True,C,NASA+Meteo,23.77,25.4,4
2026-01-04,2026-01-01,TMP2m,ensemble,21.834,23.77,-1.936,True,C,NASA+Meteo,23.77,25.4,4
2026-01-04,2026-01-01,RH2m,hqnn,66.422,65.73,0.692,True,%,NASA+Meteo,65.73,66.0,4
2026-01-04,2026-01-01,RH2m,ensemble,66.422,65.73,0.692,True,%,NASA+Meteo,65.73,66.0,4
2026-01-04,2026-01-01,PRmsl,hqnn,101199.788,101380.0,-180.212,True,Pa,NASA+Meteo,101380.0,101430.0,4
2026-01-04,2026-01-01,PRmsl,ensemble,101199.788,101380.0,-180.212,True,Pa,NASA+Meteo,101380.0,101430.0,4
2026-01-05,2026-01-01,TMP2m,hqnn,22.748,23.91,-1.162,True,C,NASA+Meteo,23.91,25.8,5
2026-01-05,2026-01-01,TMP2m,ensemble,22.748,23.91,-1.162,True,C,NASA+Meteo,23.91,25.8,5
2026-01-05,2026-01-01,RH2m,hqnn,58.915,67.35,-8.435,True,%,NASA+Meteo,67.35,60.0,5
2026-01-05,2026-01-01,RH2m,ensemble,58.915,67.35,-8.435,True,%,NASA+Meteo,67.35,60.0,5
2026-01-05,2026-01-01,PRmsl,hqnn,101298.777,101470.0,-171.223,True,Pa,NASA+Meteo,101470.0,101520.0,5
2026-01-05,2026-01-01,PRmsl,ensemble,101298.777,101470.0,-171.223,True,Pa,NASA+Meteo,101470.0,101520.0,5
2026-01-06,2026-01-01,TMP2m,hqnn,21.833,23.23,-1.397,True,C,NASA+Meteo,23.23,25.5,6
2026-01-06,2026-01-01,TMP2m,ensemble,21.833,23.23,-1.397,True,C,NASA+Meteo,23.23,25.5,6
2026-01-06,2026-01-01,RH2m,hqnn,63.809,65.98,-2.171,True,%,NASA+Meteo,65.98,60.0,6
2026-01-06,2026-01-01,RH2m,ensemble,63.809,65.98,-2.171,True,%,NASA+Meteo,65.98,60.0,6
2026-01-06,2026-01-01,PRmsl,hqnn,101194.068,101530.0,-335.932,True,Pa,NASA+Meteo,101530.0,101580.0,6
