run_date,data_through,mode,forecast_date,horizon,target,model,prediction,unit
2026-06-25,2026-06-20,multivariate,2026-06-21,1,TMP2m,lstm,-0.717,°C
2026-06-25,2026-06-20,multivariate,2026-06-21,1,TMP2m,qlstm,0.879,°C
2026-06-25,2026-06-20,multivariate,2026-06-21,1,TMP2m,gru,-0.228,°C
2026-06-25,2026-06-20,multivariate,2026-06-21,1,TMP2m,qgru,-4.074,°C
2026-06-25,2026-06-20,multivariate,2026-06-21,1,TMP2m,ann,10.072,°C
2026-06-25,2026-06-20,multivariate,2026-06-21,1,TMP2m,hqnn,-1921.362,°C
2026-06-25,2026-06-20,multivariate,2026-06-21,1,TMP2m,ensemble,-319.239,°C
2026-06-25,2026-06-20,multivariate,2026-06-21,1,RH2m,lstm,6.621,%
2026-06-25,2026-06-20,multivariate,2026-06-21,1,RH2m,qlstm,44.242,%
2026-06-25,2026-06-20,multivariate,2026-06-21,1,RH2m,gru,54.808,%
2026-06-25,2026-06-20,multivariate,2026-06-21,1,RH2m,qgru,13.999,%
2026-06-25,2026-06-20,multivariate,2026-06-21,1,RH2m,ann,-144.451,%
2026-06-25,2026-06-20,multivariate,2026-06-21,1,RH2m,hqnn,27.726,%
2026-06-25,2026-06-20,multivariate,2026-06-21,1,RH2m,ensemble,0.491,%
2026-06-25,2026-06-20,multivariate,2026-06-21,1,PRmsl,lstm,102927.5,hPa
2026-06-25,2026-06-20,multivariate,2026-06-21,1,PRmsl,qlstm,102430.812,hPa
2026-06-25,2026-06-20,multivariate,2026-06-21,1,PRmsl,gru,103000.906,hPa
2026-06-25,2026-06-20,multivariate,2026-06-21,1,PRmsl,qgru,103169.523,hPa
2026-06-25,2026-06-20,multivariate,2026-06-21,1,PRmsl,ann,672878.5,hPa
2026-06-25,2026-06-20,multivariate,2026-06-21,1,PRmsl,hqnn,470595.188,hPa
2026-06-25,2026-06-20,multivariate,2026-06-21,1,PRmsl,ensemble,259167.072,hPa
2026-06-25,2026-06-20,multivariate,2026-06-22,2,TMP2m,lstm,-3.199,°C
2026-06-25,2026-06-20,multivariate,2026-06-22,2,TMP2m,qlstm,1.023,°C
2026-06-25,2026-06-20,multivariate,2026-06-22,2,TMP2m,gru,0.165,°C
2026-06-25,2026-06-20,multivariate,2026-06-22,2,TMP2m,qgru,-3.928,°C
2026-06-25,2026-06-20,multivariate,2026-06-22,2,TMP2m,ann,10.072,°C
2026-06-25,2026-06-20,multivariate,2026-06-22,2,TMP2m,hqnn,-2160.361,°C
2026-06-25,2026-06-20,multivariate,2026-06-22,2,TMP2m,ensemble,-359.371,°C
2026-06-25,2026-06-20,multivariate,2026-06-22,2,RH2m,lstm,6.529,%
2026-06-25,2026-06-20,multivariate,2026-06-22,2,RH2m,qlstm,43.966,%
2026-06-25,2026-06-20,multivariate,2026-06-22,2,RH2m,gru,53.804,%
2026-06-25,2026-06-20,multivariate,2026-06-22,2,RH2m,qgru,14.009,%
2026-06-25,2026-06-20,multivariate,2026-06-22,2,RH2m,ann,-145.903,%
2026-06-25,2026-06-20,multivariate,2026-06-22,2,RH2m,hqnn,29.584,%
2026-06-25,2026-06-20,multivariate,2026-06-22,2,RH2m,ensemble,0.331,%
2026-06-25,2026-06-20,multivariate,2026-06-22,2,PRmsl,lstm,102928.602,hPa
2026-06-25,2026-06-20,multivariate,2026-06-22,2,PRmsl,qlstm,102465.797,hPa
2026-06-25,2026-06-20,multivariate,2026-06-22,2,PRmsl,gru,103002.492,hPa
2026-06-25,2026-06-20,multivariate,2026-06-22,2,PRmsl,qgru,103177.984,hPa
2026-06-25,2026-06-20,multivariate,2026-06-22,2,PRmsl,ann,678741.375,hPa
2026-06-25,2026-06-20,multivariate,2026-06-22,2,PRmsl,hqnn,474165.656,hPa
2026-06-25,2026-06-20,multivariate,2026-06-22,2,PRmsl,ensemble,260746.984,hPa
2026-06-25,2026-06-20,multivariate,2026-06-23,3,TMP2m,lstm,-3.377,°C
2026-06-25,2026-06-20,multivariate,2026-06-23,3,TMP2m,qlstm,1.03,°C
2026-06-25,2026-06-20,multivariate,2026-06-23,3,TMP2m,gru,0.186,°C
2026-06-25,2026-06-20,multivariate,2026-06-23,3,TMP2m,qgru,-3.928,°C
2026-06-25,2026-06-20,multivariate,2026-06-23,3,TMP2m,ann,10.072,°C
2026-06-25,2026-06-20,multivariate,2026-06-23,3,TMP2m,hqnn,-2190.841,°C
2026-06-25,2026-06-20,multivariate,2026-06-23,3,TMP2m,ensemble,-364.477,°C
2026-06-25,2026-06-20,multivariate,2026-06-23,3,RH2m,lstm,6.527,%
2026-06-25,2026-06-20,multivariate,2026-06-23,3,RH2m,qlstm,43.825,%
2026-06-25,2026-06-20,multivariate,2026-06-23,3,RH2m,gru,48.834,%
2026-06-25,2026-06-20,multivariate,2026-06-23,3,RH2m,qgru,14.035,%
2026-06-25,2026-06-20,multivariate,2026-06-23,3,RH2m,ann,-145.091,%
2026-06-25,2026-06-20,multivariate,2026-06-23,3,RH2m,hqnn,29.818,%
2026-06-25,2026-06-20,multivariate,2026-06-23,3,RH2m,ensemble,-0.342,%
2026-06-25,2026-06-20,multivariate,2026-06-23,3,PRmsl,lstm,102928.398,hPa
2026-06-25,2026-06-20,multivariate,2026-06-23,3,PRmsl,qlstm,102470.914,hPa
2026-06-25,2026-06-20,multivariate,2026-06-23,3,PRmsl,gru,103003.117,hPa
2026-06-25,2026-06-20,multivariate,2026-06-23,3,PRmsl,qgru,103191.766,hPa
2026-06-25,2026-06-20,multivariate,2026-06-23,3,PRmsl,ann,679237.938,hPa
2026-06-25,2026-06-20,multivariate,2026-06-23,3,PRmsl,hqnn,474506.062,hPa
2026-06-25,2026-06-20,multivariate,2026-06-23,3,PRmsl,ensemble,260889.699,hPa
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,lstm,-3.398,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,qlstm,1.035,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,gru,0.221,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,qgru,-3.859,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,ann,10.072,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,hqnn,-2190.92,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,ensemble,-364.475,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,lstm,6.527,%
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,qlstm,43.815,%
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,gru,47.723,%
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,qgru,14.039,%
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,ann,-145.973,%
