run_date,data_through,mode,forecast_date,horizon,target,model,prediction,unit
2026-06-25,2026-06-20,multivariate,2026-06-21,1,TMP2m,hqnn,-1920.031,°C
2026-06-25,2026-06-20,multivariate,2026-06-21,1,TMP2m,ensemble,-1920.031,°C
2026-06-25,2026-06-20,multivariate,2026-06-21,1,RH2m,hqnn,27.679,%
2026-06-25,2026-06-20,multivariate,2026-06-21,1,RH2m,ensemble,27.679,%
2026-06-25,2026-06-20,multivariate,2026-06-21,1,PRmsl,hqnn,470587.438,hPa
2026-06-25,2026-06-20,multivariate,2026-06-21,1,PRmsl,ensemble,470587.438,hPa
2026-06-25,2026-06-20,multivariate,2026-06-22,2,TMP2m,hqnn,-3246.84,°C
2026-06-25,2026-06-20,multivariate,2026-06-22,2,TMP2m,ensemble,-3246.84,°C
2026-06-25,2026-06-20,multivariate,2026-06-22,2,RH2m,hqnn,15.528,%
2026-06-25,2026-06-20,multivariate,2026-06-22,2,RH2m,ensemble,15.528,%
2026-06-25,2026-06-20,multivariate,2026-06-22,2,PRmsl,hqnn,490269.594,hPa
2026-06-25,2026-06-20,multivariate,2026-06-22,2,PRmsl,ensemble,490269.594,hPa
2026-06-25,2026-06-20,multivariate,2026-06-23,3,TMP2m,hqnn,-4105.313,°C
2026-06-25,2026-06-20,multivariate,2026-06-23,3,TMP2m,ensemble,-4105.313,°C
2026-06-25,2026-06-20,multivariate,2026-06-23,3,RH2m,hqnn,116.177,%
2026-06-25,2026-06-20,multivariate,2026-06-23,3,RH2m,ensemble,116.177,%
2026-06-25,2026-06-20,multivariate,2026-06-23,3,PRmsl,hqnn,503549.156,hPa
2026-06-25,2026-06-20,multivariate,2026-06-23,3,PRmsl,ensemble,503549.156,hPa
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,hqnn,-4646.879,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,ensemble,-4646.879,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,hqnn,198.69,%
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,ensemble,198.69,%
2026-06-25,2026-06-20,multivariate,2026-06-24,4,PRmsl,hqnn,511714.406,hPa
2026-06-25,2026-06-20,multivariate,2026-06-24,4,PRmsl,ensemble,511714.406,hPa
2026-06-25,2026-06-20,multivariate,2026-06-25,5,TMP2m,hqnn,-4970.904,°C
2026-06-25,2026-06-20,multivariate,2026-06-25,5,TMP2m,ensemble,-4970.904,°C
2026-06-25,2026-06-20,multivariate,2026-06-25,5,RH2m,hqnn,249.464,%
2026-06-25,2026-06-20,multivariate,2026-06-25,5,RH2m,ensemble,249.464,%
2026-06-25,2026-06-20,multivariate,2026-06-25,5,PRmsl,hqnn,517081.531,hPa
2026-06-25,2026-06-20,multivariate,2026-06-25,5,PRmsl,ensemble,517081.531,hPa
2026-06-25,2026-06-20,univariate,2026-06-21,1,TMP2m,hqnn,32.911,°C
2026-06-25,2026-06-20,univariate,2026-06-21,1,TMP2m,ensemble,32.911,°C
2026-06-25,2026-06-20,univariate,2026-06-21,1,RH2m,hqnn,42.611,%
2026-06-25,2026-06-20,univariate,2026-06-21,1,RH2m,ensemble,42.611,%
2026-06-25,2026-06-20,univariate,2026-06-21,1,PRmsl,hqnn,100088.68,hPa
2026-06-25,2026-06-20,univariate,2026-06-21,1,PRmsl,ensemble,100088.68,hPa
2026-06-25,2026-06-20,univariate,2026-06-22,2,TMP2m,hqnn,34.332,°C
2026-06-25,2026-06-20,univariate,2026-06-22,2,TMP2m,ensemble,34.332,°C
2026-06-25,2026-06-20,univariate,2026-06-22,2,RH2m,hqnn,44.536,%
2026-06-25,2026-06-20,univariate,2026-06-22,2,RH2m,ensemble,44.536,%
2026-06-25,2026-06-20,univariate,2026-06-22,2,PRmsl,hqnn,100055.117,hPa
2026-06-25,2026-06-20,univariate,2026-06-22,2,PRmsl,ensemble,100055.117,hPa
2026-06-25,2026-06-20,univariate,2026-06-23,3,TMP2m,hqnn,32.717,°C
2026-06-25,2026-06-20,univariate,2026-06-23,3,TMP2m,ensemble,32.717,°C
2026-06-25,2026-06-20,univariate,2026-06-23,3,RH2m,hqnn,48.207,%
2026-06-25,2026-06-20,univariate,2026-06-23,3,RH2m,ensemble,48.207,%
2026-06-25,2026-06-20,univariate,2026-06-23,3,PRmsl,hqnn,99949.555,hPa
2026-06-25,2026-06-20,univariate,2026-06-23,3,PRmsl,ensemble,99949.555,hPa
2026-06-25,2026-06-20,univariate,2026-06-24,4,TMP2m,hqnn,33.985,°C
2026-06-25,2026-06-20,univariate,2026-06-24,4,TMP2m,ensemble,33.985,°C
2026-06-25,2026-06-20,univariate,2026-06-24,4,RH2m,hqnn,50.204,%
2026-06-25,2026-06-20,univariate,2026-06-24,4,RH2m,ensemble,50.204,%
2026-06-25,2026-06-20,univariate,2026-06-24,4,PRmsl,hqnn,99987.602,hPa
2026-06-25,2026-06-20,univariate,2026-06-24,4,PRmsl,ensemble,99987.602,hPa
2026-06-25,2026-06-20,univariate,2026-06-25,5,TMP2m,hqnn,32.92,°C
2026-06-25,2026-06-20,univariate,2026-06-25,5,TMP2m,ensemble,32.92,°C
2026-06-25,2026-06-20,univariate,2026-06-25,5,RH2m,hqnn,56.454,%
2026-06-25,2026-06-20,univariate,2026-06-25,5,RH2m,ensemble,56.454,%
2026-06-25,2026-06-20,univariate,2026-06-25,5,PRmsl,hqnn,99907.273,hPa
2026-06-25,2026-06-20,univariate,2026-06-25,5,PRmsl,ensemble,99907.273,hPa
2026-06-25,2026-06-25,multivariate,2026-06-26,1,TMP2m,lstm,-0.574,°C
2026-06-25,2026-06-25,multivariate,2026-06-26,1,TMP2m,qlstm,0.575,°C
2026-06-25,2026-06-25,multivariate,2026-06-26,1,TMP2m,gru,1.429,°C
2026-06-25,2026-06-25,multivariate,2026-06-26,1,TMP2m,qgru,-4.091,°C
2026-06-25,2026-06-25,multivariate,2026-06-26,1,TMP2m,ann,10.072,°C
2026-06-25,2026-06-25,multivariate,2026-06-26,1,TMP2m,hqnn,-1902.705,°C
2026-06-25,2026-06-25,multivariate,2026-06-26,1,TMP2m,ensemble,-315.882,°C
2026-06-25,2026-06-25,multivariate,2026-06-26,1,RH2m,lstm,6.782,%
2026-06-25,2026-06-25,multivariate,2026-06-26,1,RH2m,qlstm,44.245,%
2026-06-25,2026-06-25,multivariate,2026-06-26,1,RH2m,gru,57.099,%
2026-06-25,2026-06-25,multivariate,2026-06-26,1,RH2m,qgru,13.992,%
2026-06-25,2026-06-25,multivariate,2026-06-26,1,RH2m,ann,-135.031,%
2026-06-25,2026-06-25,multivariate,2026-06-26,1,RH2m,hqnn,28.07,%
2026-06-25,2026-06-25,multivariate,2026-06-26,1,RH2m,ensemble,2.526,%
2026-06-25,2026-06-25,multivariate,2026-06-26,1,PRmsl,lstm,102927.594,Pa
2026-06-25,2026-06-25,multivariate,2026-06-26,1,PRmsl,qlstm,102516.766,Pa
2026-06-25,2026-06-25,multivariate,2026-06-26,1,PRmsl,gru,102875.211,Pa
2026-06-25,2026-06-25,multivariate,2026-06-26,1,PRmsl,qgru,103169.453,Pa
2026-06-25,2026-06-25,multivariate,2026-06-26,1,PRmsl,ann,672220.0,Pa
2026-06-25,2026-06-25,multivariate,2026-06-26,1,PRmsl,hqnn,470145.938,Pa
2026-06-25,2026-06-25,multivariate,2026-06-26,1,PRmsl,ensemble,258975.827,Pa
2026-06-25,2026-06-25,multivariate,2026-06-27,2,TMP2m,lstm,-3.251,°C
2026-06-25,2026-06-25,multivariate,2026-06-27,2,TMP2m,qlstm,0.904,°C
2026-06-25,2026-06-25,multivariate,2026-06-27,2,TMP2m,gru,2.065,°C
2026-06-25,2026-06-25,multivariate,2026-06-27,2,TMP2m,qgru,-3.98,°C
2026-06-25,2026-06-25,multivariate,2026-06-27,2,TMP2m,ann,10.072,°C
2026-06-25,2026-06-25,multivariate,2026-06-27,2,TMP2m,hqnn,-2143.627,°C
2026-06-25,2026-06-25,multivariate,2026-06-27,2,TMP2m,ensemble,-356.303,°C
2026-06-25,2026-06-25,multivariate,2026-06-27,2,RH2m,lstm,6.546,%
2026-06-25,2026-06-25,multivariate,2026-06-27,2,RH2m,qlstm,43.994,%
2026-06-25,2026-06-25,multivariate,2026-06-27,2,RH2m,gru,66.038,%
2026-06-25,2026-06-25,multivariate,2026-06-27,2,RH2m,qgru,14.011,%
2026-06-25,2026-06-25,multivariate,2026-06-27,2,RH2m,ann,-135.532,%
2026-06-25,2026-06-25,multivariate,2026-06-27,2,RH2m,hqnn,29.97,%
2026-06-25,2026-06-25,multivariate,2026-06-27,2,RH2m,ensemble,4.171,%
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,lstm,102929.922,Pa
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,qlstm,102588.133,Pa
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,gru,102878.227,Pa
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,qgru,103175.078,Pa
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,ann,677983.25,Pa
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,hqnn,473670.438,Pa
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,ensemble,260537.508,Pa
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,lstm,-3.362,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,qlstm,0.957,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,gru,2.172,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,qgru,-3.974,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,ann,10.072,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,hqnn,-2171.196,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,ensemble,-360.889,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,RH2m,lstm,6.539,%
2026-06-25,2026-06-25,multivariate,2026-06-28,3,RH2m,qlstm,43.905,%
2026-06-25,2026-06-25,multivariate,2026-06-28,3,RH2m,gru,59.096,%
